stage_num,stage_id,candidate_id,split,attempt_name,symbol,period,model,deposit,leverage,optimization,execution_mode,use_local,use_remote,use_cloud,from_date,to_date,report,set_path,set_sha256,ini_path,ini_sha256,fixed_lot,max_positions,max_hold_bars,atr_sltp_enabled,atr_stop_multiplier,atr_take_profit_multiplier,model_backend,feature_count,decision_mode,entry_transition_only,reentry_cooldown,same_direction_reentry_cooldown,spread_identity,commission_identity,slippage_identity,swap_identity,runtime_dd_percent,proxy_dd,dd_basis_read,runtime_dd_gt10,runtime_trade_count,runtime_pf,runtime_net_profit
11,stage_frontier_11__subperiod_stability_first_onnx_scout,f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_c3__f10c_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_c3_lr_c0p50_sw1p60,validation_is,f66_f11_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_e6749184,US100,M5,4,500,1:100,0,0,1,0,0,2025.01.02,2025.10.01,Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f11_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_e6749184,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f11_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_e6749184.set,fc69802fa06d9abd73873c676b8ffa599e4de74360b130455a4d3db41f472d7a,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f11_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_e6749184.ini,aca58ee8ce119f45345ef650ed1c8a07361355be57482243229fde4b955ca6a1,0.1,1,12,false,,,ebm_table,1,argmax,false,0,0,missing,missing,missing,missing,59.46,59.5314950456166,near_aligned_within_1pp,true,92,0.72,-203.19
11,stage_frontier_11__subperiod_stability_first_onnx_scout,f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_c3__f10c_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_c3_lr_c0p50_sw1p60,oos,f66_f11_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_9f762d86,US100,M5,4,500,1:100,0,0,1,0,0,2025.10.01,2026.04.14,Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f11_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_9f762d86,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f11_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_9f762d86.set,6e656d13e8ab2c12043b11600c2217b8f28e5971b8fdc0c4b08a85812d515150,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f11_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_9f762d86.ini,5fb054af9ed823d6939d61c684dbaf26421253cb925c17e4402923c3cd4aaef5,0.1,1,12,false,,,ebm_table,1,argmax,false,0,0,missing,missing,missing,missing,10.87,10.926086978138084,near_aligned_within_1pp,true,61,2.18,282.71
15,stage_frontier_15__score_threshold_density_controlled_onnx_scout,f14b_day_q6_h8__lr_plain__utility_tilt__target5,validation_is,f66_f15_f14b_day_q6_h8__lr_plain__utility_tilt__tar_fd4dcbed,US100,M5,4,500,1:100,0,0,1,0,0,2025.01.02,2025.10.01,Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f15_f14b_day_q6_h8__lr_plain__utility_tilt__tar_fd4dcbed,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f15_f14b_day_q6_h8__lr_plain__utility_tilt__tar_fd4dcbed.set,26c49cf6cf04a08efc522f2af5e65a8478447ecddb5aa70883a3eeeed6da7f8c,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f15_f14b_day_q6_h8__lr_plain__utility_tilt__tar_fd4dcbed.ini,0bdb778438a88a2ba83b15ba9439b70a9844b891d980d41472574ad4d1a6622a,0.1,1,12,false,,,ebm_table,1,argmax,false,0,0,missing,missing,missing,missing,34.81,17.505989631758602,runtime_much_worse_ge10pp,true,200,0.91,-87.01
15,stage_frontier_15__score_threshold_density_controlled_onnx_scout,f14b_day_q6_h8__lr_plain__utility_tilt__target5,oos,f66_f15_f14b_day_q6_h8__lr_plain__utility_tilt__target5_oos,US100,M5,4,500,1:100,0,0,1,0,0,2025.10.01,2026.04.14,Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f15_f14b_day_q6_h8__lr_plain__utility_tilt__target5_oos,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f15_f14b_day_q6_h8__lr_plain__utility_tilt__target5_oos.set,08eb4a7945d6956bc8360c8a0236d4396e5802586c738f0f290c33d5ac107d79,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f15_f14b_day_q6_h8__lr_plain__utility_tilt__target5_oos.ini,407b80a0c89ca4cc694051ee44e3374ab113c8d9e1a1854d551e9b1d2ce91af9,0.1,1,12,false,,,ebm_table,1,argmax,false,0,0,missing,missing,missing,missing,25.75,18.86683855070843,runtime_worse_lt10pp,true,125,1.16,97.98
18,stage_frontier_18__asymmetric_exit_lifecycle_profit_lock_onnx_scout,f18b_hold6_reverse_atr1p5_tp3p0__lr_plain__lifecycle,validation_is,f66_f18_f18b_hold6_reverse_atr1p5_tp3p0__lr_plain___e7ca8060,US100,M5,4,500,1:100,0,0,1,0,0,2025.01.02,2025.10.01,Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f18_f18b_hold6_reverse_atr1p5_tp3p0__lr_plain___e7ca8060,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f18_f18b_hold6_reverse_atr1p5_tp3p0__lr_plain___e7ca8060.set,ac7dd48c6b3e1e41070123d2226c6a9778beb0374070fe56bfcbe982cde0aff2,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f18_f18b_hold6_reverse_atr1p5_tp3p0__lr_plain___e7ca8060.ini,7528b5a162bdf0fe4c6d3f08f4d3675497fa364edcdc0e73c7df0f974394168d,0.1,1,6,true,1.5,3,ebm_table,1,argmax,false,0,0,missing,missing,missing,missing,26.9,8.872623279528657,runtime_breaks_dd10_proxy_under10,true,1067,1.02,51.86
18,stage_frontier_18__asymmetric_exit_lifecycle_profit_lock_onnx_scout,f18b_hold6_reverse_atr1p5_tp3p0__lr_plain__lifecycle,oos,f66_f18_f18b_hold6_reverse_atr1p5_tp3p0__lr_plain___6429794d,US100,M5,4,500,1:100,0,0,1,0,0,2025.10.01,2026.04.14,Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f18_f18b_hold6_reverse_atr1p5_tp3p0__lr_plain___6429794d,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f18_f18b_hold6_reverse_atr1p5_tp3p0__lr_plain___6429794d.set,0877b82e3a761484971f01e56c65d639531593619c592c0cf45ce00b0ec7ebf4,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f18_f18b_hold6_reverse_atr1p5_tp3p0__lr_plain___6429794d.ini,bd697e754f5c2123add4adb065ad79df75471635d34d4e20ef9d7e271a8845d9,0.1,1,6,true,1.5,3,ebm_table,1,argmax,false,0,0,missing,missing,missing,missing,25.53,7.6068409523916465,runtime_breaks_dd10_proxy_under10,true,818,1.1,227.71
19,stage_frontier_19__boosted_backbone_no_repair_stack_onnx_scout,f19b_cat_ordered_depth3_backbone__argmax_nonflat_backbone_only,validation_is,f66_f19_f19b_cat_ordered_depth3_backbone__argmax_no_3a543ee3,US100,M5,4,500,1:100,0,0,1,0,0,2025.01.02,2025.10.01,Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f19_f19b_cat_ordered_depth3_backbone__argmax_no_3a543ee3,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f19_f19b_cat_ordered_depth3_backbone__argmax_no_3a543ee3.set,f317d09909cfd2b315de8dcf953e384b67f6f6f1a6c72627e85cf48945c35481,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f19_f19b_cat_ordered_depth3_backbone__argmax_no_3a543ee3.ini,790395512ce4b32ce1468a73adfa4f8503429ee710693854438a163930492226,0.1,1,12,false,,,ebm_table,1,argmax,false,0,0,missing,missing,missing,missing,37.75,81.26162980005735,proxy_much_worse_ge10pp,true,572,1.12,286.87
19,stage_frontier_19__boosted_backbone_no_repair_stack_onnx_scout,f19b_cat_ordered_depth3_backbone__argmax_nonflat_backbone_only,oos,f66_f19_f19b_cat_ordered_depth3_backbone__argmax_no_bc4c970f,US100,M5,4,500,1:100,0,0,1,0,0,2025.10.01,2026.04.14,Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f19_f19b_cat_ordered_depth3_backbone__argmax_no_bc4c970f,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f19_f19b_cat_ordered_depth3_backbone__argmax_no_bc4c970f.set,403fed2137733ca61ee5a065ea441fb957210f9936b717a1e86b0ff15e4c9d63,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f19_f19b_cat_ordered_depth3_backbone__argmax_no_bc4c970f.ini,d87e83345dabc0c2be3821f74465a15a87c8530c7bff21bd2bc07a0b05652391,0.1,1,12,false,,,ebm_table,1,argmax,false,0,0,missing,missing,missing,missing,35.86,41.17784716541726,proxy_worse_lt10pp,true,445,1.15,290.25
20,stage_frontier_20__train_only_feature_state_rule_atlas_onnx_scout,f20b_pair_0359,validation_is,f66_f20_f20b_pair_0359_validation_is,US100,M5,4,500,1:100,0,0,1,0,0,2025.01.02,2025.10.01,Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f20_f20b_pair_0359_validation_is,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f20_f20b_pair_0359_validation_is.set,a0e2a61a8fa5dbfff2240223cbfc43c029b72b9628975a8330800649ed91a482,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f20_f20b_pair_0359_validation_is.ini,f606da8f3ef80ef50629d23b78bc142c2182551acf666b3bafca406215489739,0.1,1,12,false,,,ebm_table,1,argmax,false,0,0,missing,missing,missing,missing,24.46,31.744253285360656,proxy_worse_lt10pp,true,261,1.32,331.79
20,stage_frontier_20__train_only_feature_state_rule_atlas_onnx_scout,f20b_pair_0359,oos,f66_f20_f20b_pair_0359_oos,US100,M5,4,500,1:100,0,0,1,0,0,2025.10.01,2026.04.14,Project_Obsidian_Prime_v2_frontier66C_proxy_signal_mt5_backfill_v1_f66_f20_f20b_pair_0359_oos,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f20_f20b_pair_0359_oos.set,17f2c37d4cff050924f4bd5a40a7d55c5474bedc839599b5838b070161ba9a84,stages/stage_frontier_66__runtime_probe_backfill_gap_audit_frontier02_to_64/02_runs/frontier66C_proxy_signal_mt5_backfill_v1/mt5/f66_f20_f20b_pair_0359_oos.ini,52699de934879e37f70a723451bed28f6d77b0fe5c1937b0d5de6d337a48e647,0.1,1,12,false,,,ebm_table,1,argmax,false,0,0,missing,missing,missing,missing,46.38,20.776566454978163,runtime_much_worse_ge10pp,true,208,0.95,-49.81
