stage_num,stage_id,candidate_id,split,proxy_dd,runtime_dd_percent,dd_delta_runtime_minus_proxy,runtime_to_proxy_dd_ratio,proxy_dd_bucket,runtime_dd_bucket,dd_basis_read,proxy_dd_field,proxy_dd_family,runtime_dd_field,metric_fields_used,gap_causes,claim_boundary
11,stage_frontier_11__subperiod_stability_first_onnx_scout,f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_c3__f10c_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_c3_lr_c0p50_sw1p60,validation_is,59.5314950456166,59.46,-0.0714950456166008,0.9987990382979326,gte50,gte50,near_aligned_within_1pp,validation_dd,generic_proxy_dd,max_drawdown_percent,"{""proxy_pf"": ""validation_pf"", ""proxy_dd"": ""validation_dd"", ""proxy_trade_count"": """", ""proxy_trades_per_day"": ""validation_density"", ""proxy_net_profit"": """"}","[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
11,stage_frontier_11__subperiod_stability_first_onnx_scout,f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_c3__f10c_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_c3_lr_c0p50_sw1p60,oos,10.926086978138084,10.87,-0.05608697813808483,0.9948666912271238,10_to_20,10_to_20,near_aligned_within_1pp,oos_dd,generic_proxy_dd,max_drawdown_percent,"{""proxy_pf"": ""oos_pf"", ""proxy_dd"": ""oos_dd"", ""proxy_trade_count"": """", ""proxy_trades_per_day"": ""oos_density"", ""proxy_net_profit"": """"}","[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""profitability_repricing_gap(수익성 재가격화 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
15,stage_frontier_15__score_threshold_density_controlled_onnx_scout,f14b_day_q6_h8__lr_plain__utility_tilt__target5,validation_is,17.505989631758602,34.81,17.3040103682414,1.9884622767540785,10_to_20,20_to_50,runtime_much_worse_ge10pp,validation_dd_risk_percent,risk_percent_proxy_dd,max_drawdown_percent,"{""proxy_pf"": ""validation_profit_factor"", ""proxy_dd"": ""validation_dd_risk_percent"", ""proxy_trade_count"": """", ""proxy_trades_per_day"": ""validation_trades_per_day"", ""proxy_net_profit"": ""validation_net_profit""}","[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
15,stage_frontier_15__score_threshold_density_controlled_onnx_scout,f14b_day_q6_h8__lr_plain__utility_tilt__target5,oos,18.86683855070843,25.75,6.8831614492915705,1.3648285551811814,10_to_20,20_to_50,runtime_worse_lt10pp,oos_dd_risk_percent,risk_percent_proxy_dd,max_drawdown_percent,"{""proxy_pf"": ""oos_profit_factor"", ""proxy_dd"": ""oos_dd_risk_percent"", ""proxy_trade_count"": """", ""proxy_trades_per_day"": ""oos_trades_per_day"", ""proxy_net_profit"": ""oos_net_profit""}","[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
18,stage_frontier_18__asymmetric_exit_lifecycle_profit_lock_onnx_scout,f18b_hold6_reverse_atr1p5_tp3p0__lr_plain__lifecycle,validation_is,8.872623279528657,26.9,18.02737672047134,3.031797829404633,lt10,20_to_50,runtime_breaks_dd10_proxy_under10,validation_dd_risk_percent,risk_percent_proxy_dd,max_drawdown_percent,"{""proxy_pf"": ""validation_profit_factor"", ""proxy_dd"": ""validation_dd_risk_percent"", ""proxy_trade_count"": """", ""proxy_trades_per_day"": ""validation_trades_per_day"", ""proxy_net_profit"": ""validation_net_profit""}","[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
18,stage_frontier_18__asymmetric_exit_lifecycle_profit_lock_onnx_scout,f18b_hold6_reverse_atr1p5_tp3p0__lr_plain__lifecycle,oos,7.6068409523916465,25.53,17.923159047608355,3.3561895351542983,lt10,20_to_50,runtime_breaks_dd10_proxy_under10,oos_dd_risk_percent,risk_percent_proxy_dd,max_drawdown_percent,"{""proxy_pf"": ""oos_profit_factor"", ""proxy_dd"": ""oos_dd_risk_percent"", ""proxy_trade_count"": """", ""proxy_trades_per_day"": ""oos_trades_per_day"", ""proxy_net_profit"": ""oos_net_profit""}","[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
19,stage_frontier_19__boosted_backbone_no_repair_stack_onnx_scout,f19b_cat_ordered_depth3_backbone__argmax_nonflat_backbone_only,validation_is,81.26162980005735,37.75,-43.51162980005735,0.4645488909450024,gte50,20_to_50,proxy_much_worse_ge10pp,validation_max_drawdown_percent,drawdown_named_proxy_dd,max_drawdown_percent,"{""proxy_pf"": ""validation_profit_factor"", ""proxy_dd"": ""validation_max_drawdown_percent"", ""proxy_trade_count"": ""validation_trade_count"", ""proxy_trades_per_day"": ""validation_trades_per_day"", ""proxy_net_profit"": ""validation_net_profit""}","[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
19,stage_frontier_19__boosted_backbone_no_repair_stack_onnx_scout,f19b_cat_ordered_depth3_backbone__argmax_nonflat_backbone_only,oos,41.17784716541726,35.86,-5.3178471654172625,0.8708566005392483,20_to_50,20_to_50,proxy_worse_lt10pp,oos_max_drawdown_percent,drawdown_named_proxy_dd,max_drawdown_percent,"{""proxy_pf"": ""oos_profit_factor"", ""proxy_dd"": ""oos_max_drawdown_percent"", ""proxy_trade_count"": ""oos_trade_count"", ""proxy_trades_per_day"": ""oos_trades_per_day"", ""proxy_net_profit"": ""oos_net_profit""}","[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
20,stage_frontier_20__train_only_feature_state_rule_atlas_onnx_scout,f20b_pair_0359,validation_is,31.744253285360656,24.46,-7.284253285360656,0.7705331664323666,20_to_50,20_to_50,proxy_worse_lt10pp,validation_dd_risk,other_proxy_dd_field,max_drawdown_percent,"{""proxy_pf"": ""validation_profit_factor"", ""proxy_dd"": ""validation_dd_risk"", ""proxy_trade_count"": ""validation_trade_count"", ""proxy_trades_per_day"": ""validation_trades_per_day"", ""proxy_net_profit"": ""validation_net_profit""}","[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
20,stage_frontier_20__train_only_feature_state_rule_atlas_onnx_scout,f20b_pair_0359,oos,20.776566454978163,46.38,25.60343354502184,2.23232265545432,20_to_50,20_to_50,runtime_much_worse_ge10pp,oos_dd_risk,other_proxy_dd_field,max_drawdown_percent,"{""proxy_pf"": ""oos_profit_factor"", ""proxy_dd"": ""oos_dd_risk"", ""proxy_trade_count"": ""oos_trade_count"", ""proxy_trades_per_day"": ""oos_trades_per_day"", ""proxy_net_profit"": ""oos_net_profit""}","[""signal_handoff_exact(신호 인계 정확)"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극)"", ""profitability_repricing_gap(수익성 재가격화 간극)"", ""drawdown_basis_gap(손실폭 기준 간극)"", ""account_risk_scaling_gap(계좌 위험 스케일 간극)""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
