adapter_id,split,segment,trade_count,profit_factor,net_profit,max_drawdown_amount,flags
s161_cal050_both_risk0300_h3_cd5_sht54_lng52,validation_is,mid,90,1.351486257,157.03,101.42,acceptable_measurement_only
s161_cal050_both_risk0300_h3_cd5_sht54_lng52,oos,early,63,1.801703533,184.48,49.38,acceptable_measurement_only
s161_cal050_both_risk0300_h3_cd5_sht54_lng52,oos,mid,63,1.620344597,176.06,46.21,acceptable_measurement_only
s161_cal050_both_risk0300_h3_cd5_sht54_lng52,oos,late,63,2.080275434,362.4,49.67,acceptable_measurement_only
s161_cal050_shortgate_risk0300_h3_cd5_sht54_lng52,validation_is,mid,108,1.508217214,276.46,102.41,acceptable_measurement_only
s161_cal050_shortgate_risk0300_h3_cd5_sht54_lng52,oos,early,80,1.729932025,191.14,52.94,acceptable_measurement_only
s161_cal050_shortgate_risk0300_h3_cd5_sht54_lng52,oos,mid,80,1.332531701,121.68,64.21,acceptable_measurement_only
s161_cal050_shortgate_risk0300_h3_cd5_sht54_lng52,oos,late,79,1.756125445,291.01,72.2,acceptable_measurement_only
s161_cal050_shortprob_risk0300_h3_cd5_sht58_lng52,validation_is,mid,36,1.166180758,17.67,33.94,acceptable_measurement_only
s161_cal050_shortprob_risk0300_h3_cd5_sht58_lng52,oos,early,28,0.9786266485,-1.41,34.09,weak_pf;negative_or_flat_net;oos_early_damage
s161_cal050_shortprob_risk0300_h3_cd5_sht58_lng52,oos,mid,28,4.177558177,99.68,10.15,acceptable_measurement_only
s161_cal050_shortprob_risk0300_h3_cd5_sht58_lng52,oos,late,27,1.944847229,72.98,23.76,acceptable_measurement_only
