run_id,group_column,group_value,trade_count,net_profit_after_cost,gross_profit_after_cost,gross_loss_after_cost,profit_factor_after_cost,expectancy_after_cost,win_count_after_cost,loss_count_after_cost,win_rate_after_cost_percent,min_trade_after_cost,max_trade_after_cost,median_hold_m5_calendar,max_hold_m5_calendar,claim_boundary
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,entry_month,2025-11,83,244.44,441.71,-197.27,2.239113905,2.94506,50,33,60.240964,-28.92,60.88,6.0,806,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,entry_month,2025-04,120,220.1,697.97,-477.87,1.460585515,1.834167,61,59,50.833333,-42.71,102.29,6.0,804,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,entry_month,2026-02,90,140.86,360.33,-219.47,1.641818927,1.565111,55,35,61.111111,-28.51,17.04,6.0,230,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,entry_month,2025-02,73,70.18,248.92,-178.74,1.39263735,0.96137,39,34,53.424658,-16.75,29.79,6.0,805,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,entry_month,2025-06,67,58.72,170.85,-112.13,1.523677874,0.876418,36,31,53.731343,-9.6,27.04,6.0,228,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,entry_month,2025-05,75,46.19,200.88,-154.69,1.298597194,0.615867,41,34,54.666667,-18.32,30.2,6.0,804,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,entry_month,2025-01,88,42.49,282.74,-240.25,1.17685744,0.482841,44,44,50.0,-17.23,34.11,6.0,1098,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,entry_month,2026-01,81,38.41,212.48,-174.07,1.220658356,0.474198,39,42,48.148148,-12.04,18.49,6.0,228,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,entry_month,2025-09,51,34.97,132.75,-97.78,1.357639599,0.685686,23,28,45.098039,-11.68,27.47,7.0,230,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,entry_month,2025-10,78,32.35,236.32,-203.97,1.158601755,0.414744,43,35,55.128205,-15.26,30.08,6.0,229,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,entry_month,2026-04,46,23.29,123.69,-100.4,1.231972112,0.506304,26,20,56.521739,-16.31,20.64,6.0,7,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,entry_month,2025-07,34,12.09,79.95,-67.86,1.17816092,0.355588,18,16,52.941176,-10.78,19.96,7.0,230,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,entry_month,2025-03,8,8.71,21.76,-13.05,1.66743295,1.08875,4,4,50.0,-6.47,7.22,6.0,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,entry_month,2026-03,4,8.34,8.71,-0.37,23.540540541,2.085,2,2,50.0,-0.31,6.22,6.0,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,entry_month,2025-08,46,7.49,110.34,-102.85,1.072824502,0.162826,20,26,43.478261,-14.09,22.72,6.0,247,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,entry_month,2025-12,62,-28.99,141.77,-170.76,0.830229562,-0.467581,32,30,51.612903,-16.94,18.34,6.0,229,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
