run_id,group_type,group_value,cycle_rows,long_signal_count,short_signal_count,flat_signal_count,order_attempt_count,order_fill_count,time_margin_guard_block_count,claim_boundary
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,bar_hour,16,1499,447,0,1052,188,188,0,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,bar_hour,17,3535,1233,77,2225,598,598,0,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,bar_hour,18,3388,861,55,2472,471,471,0,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,bar_hour,19,3138,507,38,2593,294,294,54,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,bar_hour,20,3035,379,19,2637,240,240,0,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,bar_hour,21,2572,295,10,2267,193,193,0,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,bar_hour,22,261,22,0,239,16,16,0,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,bar_month,2025-01,1103,325,13,765,172,172,3,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,bar_month,2025-02,1056,221,21,814,144,144,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,bar_month,2025-03,1111,0,12,1099,17,17,0,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,bar_month,2025-04,1378,503,32,843,236,236,8,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,bar_month,2025-05,1125,264,7,854,150,150,1,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,bar_month,2025-06,1094,251,1,842,135,135,2,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,bar_month,2025-07,943,76,2,865,68,68,1,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,bar_month,2025-08,1057,160,3,894,92,92,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
