attempt_name,model_id,bar_time,source_time,expected_found,hash_match,probability_match,decision_match,mt5_input_hash,expected_mql_input_hash,expected_source_input_hash,mt5_p_short,expected_p_short,abs_diff_p_short,mt5_p_flat,expected_p_flat,abs_diff_p_flat,mt5_p_long,expected_p_long,abs_diff_p_long,mt5_decision,expected_decision,comparison_status,claim_boundary
run364F_rf_depth3_balanced_density_3_0_keep_long_p3,rf_depth3_balanced,2025.10.01 16:55:00,2025.10.01 16:55:00,True,True,True,True,E0FF7285B48FD298,E0FF7285B48FD298,B0EE524EF4B95DD1,0.0,0.0,0.0,0.0,0.0,0.0,0.4717005789,0.471700549126,2.977399998771446e-08,long,long,matched,research_development_mt5_runtime_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364F_rf_depth3_balanced_density_3_0_keep_long_p3,rf_depth3_balanced,2025.10.01 17:20:00,2025.10.01 17:20:00,True,True,True,True,5E47AAEDBAA6F8BC,5E47AAEDBAA6F8BC,3A170539E808240F,0.0,0.0,0.0,0.0,0.0,0.0,0.5572930574,0.557292997837,5.956299997667003e-08,long,long,matched,research_development_mt5_runtime_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364F_rf_depth3_balanced_density_3_0_keep_long_p3,rf_depth3_balanced,2025.10.01 18:40:00,2025.10.01 18:40:00,True,True,True,True,2269CB25AE90AE5,2269CB25AE90AE5,83845459D2780C34,0.0,0.0,0.0,0.0,0.0,0.0,0.455033958,0.455033868551,8.944900004026479e-08,long,long,matched,research_development_mt5_runtime_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364F_rf_depth3_balanced_density_3_0_keep_long_p3,rf_depth3_balanced,2025.10.02 18:00:00,2025.10.02 18:00:00,True,True,True,True,304725CF2A85A0E0,304725CF2A85A0E0,C0595A4324662FE2,0.0,0.0,0.0,0.0,0.0,0.0,0.560911119,0.560911118984,1.5999979119385443e-11,long,long,matched,research_development_mt5_runtime_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364F_rf_depth3_balanced_density_3_0_keep_long_p3,rf_depth3_balanced,2025.10.03 16:45:00,2025.10.03 16:45:00,True,True,True,True,7BB71482221F1442,7BB71482221F1442,CAFA461FCF49AC4A,0.0,0.0,0.0,0.0,0.0,0.0,0.4453777969,0.445377677679,1.1922100001671154e-07,long,long,matched,research_development_mt5_runtime_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364F_rf_depth3_balanced_density_3_0_keep_long_p3,rf_depth3_balanced,2025.10.03 17:20:00,2025.10.03 17:20:00,True,True,True,True,6D15D8D980215F9B,6D15D8D980215F9B,D2DA5080CA1EEE21,0.0,0.0,0.0,0.0,0.0,0.0,0.5368064642,0.536806583405,1.19204999982081e-07,long,long,matched,research_development_mt5_runtime_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364F_rf_depth3_balanced_density_3_0_keep_long_p3,rf_depth3_balanced,2025.10.06 16:50:00,2025.10.06 16:50:00,True,True,True,True,1503B5C51A043F3,1503B5C51A043F3,F832EF7FB0545D1,0.0,0.0,0.0,0.0,0.0,0.0,0.5408203006,0.540820360184,5.958400006722542e-08,long,long,matched,research_development_mt5_runtime_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364F_rf_depth3_balanced_density_3_0_keep_long_p3,rf_depth3_balanced,2025.10.08 16:35:00,2025.10.08 16:35:00,True,True,True,True,D1827EF52A757050,D1827EF52A757050,F71C57774DFA1387,0.0,0.0,0.0,0.0,0.0,0.0,0.4809243381,0.4809243083,2.98000000231724e-08,long,long,matched,research_development_mt5_runtime_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364F_rf_depth3_balanced_density_3_0_keep_long_p3,rf_depth3_balanced,2025.10.08 17:05:00,2025.10.08 17:05:00,True,True,True,True,75A46798E2578F08,75A46798E2578F08,46A6E2DB2DEE9B3B,0.0,0.0,0.0,0.0,0.0,0.0,0.6013104916,0.601310551167,5.956699999920545e-08,long,long,matched,research_development_mt5_runtime_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364F_rf_depth3_balanced_density_3_0_keep_long_p3,rf_depth3_balanced,2025.10.09 16:50:00,2025.10.09 16:50:00,True,True,True,True,DA32B6EA99E0188,DA32B6EA99E0188,EFB6BA1DF78188EA,0.0,0.0,0.0,0.0,0.0,0.0,0.5190691948,0.519069075584,1.19216000071809e-07,long,long,matched,research_development_mt5_runtime_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
