bar_time_server,stage56_context_et_event_signal,stage258_source_feature_rank_bucket,stage258_source_feature_gate_short_tight_control,atr_14,atr_50,atr_14_over_atr_50,bollinger_width_20,bb_position_20,bb_squeeze,historical_vol_20,historical_vol_5_over_20,adx_14,di_spread_14,supertrend_10_3,vortex_indicator,ema9_ema20_diff,ema20_ema50_diff,ema50_ema200_diff,sma50_sma200_ratio,close_ema20_ratio,close_ema50_ratio,minutes_from_cash_open,is_us_cash_open,is_first_30m_after_open,is_last_30m_before_cash_close
2024.01.02 16:40:00,-1,3,0,17.2480773926,11.7504081726,1.46787059307,0.00412173336372,-0.0887446179986,0,0.210085228086,1.24144780636,41.414806366,-24.3526859283,-1,-0.0521755889058,-5.47098016739,-30.2271652222,-85.8503952026,0.993622481823,0.997215330601,0.995408594608,10,1,1,0
2024.01.02 16:45:00,0,3,0,18.383928299,12.1784000397,1.50955212116,0.00528296409175,-0.193502694368,0,0.222114995122,1.07819473743,42.5371665955,-31.9785556793,-1,-0.382098525763,-11.6654758453,-32.9394836426,-87.9168777466,0.993442893028,0.996218621731,0.994251251221,15,1,1,0
2024.01.02 16:50:00,0,3,0,20.3100776672,12.8418321609,1.58155608177,0.00746897934005,-0.273680865765,0,0.257892906666,0.692336022854,44.1622314453,-37.9389076233,-1,-0.557797551155,-20.0911979675,-37.4011154175,-91.0115737915,0.993220746517,0.994415044785,0.992184519768,20,1,1,0
2024.01.02 16:55:00,0,3,0,20.6343574524,13.0819950104,1.57730960846,0.00912415981293,-0.130977123976,0,0.257611334324,0.763819098473,45.7372894287,-36.1292266846,-1,-0.624793410301,-26.2261734009,-41.3639335632,-94.0368652344,0.992991447449,0.994726479053,0.992258131504,25,1,1,0
2024.01.02 17:00:00,0,3,0,22.2997608185,13.6993551254,1.6277962923,0.00973590835929,0.118385210633,0,0.286162853241,1.43381023407,47.3827056885,-34.886806488,-1,-0.59905731678,-26.9143238068,-42.9147491455,-95.9692077637,0.992795228958,0.996917247772,0.994350075722,30,1,1,0
2024.01.02 17:05:00,0,1,0,22.8176345825,14.0163679123,1.62792778015,0.0100460844114,0.231629744172,0,0.292628675699,1.41122996807,47.1980323792,-24.0370998383,-1,-0.385991692543,-25.3597602844,-43.2790374756,-97.3396530151,0.992621600628,0.998010516167,0.995418250561,35,1,0,0
2024.01.02 17:10:00,0,2,0,23.6020889282,14.4120407104,1.63766467571,0.0105754351243,0.159308716655,0,0.297081828117,1.35495662689,47.3072738647,-25.270483017,-1,-0.453040093184,-25.6843662262,-44.4676818848,-99.1452178955,0.992443084717,0.997194766998,0.994532883167,40,1,0,0
2024.01.02 17:15:00,0,1,0,23.8162250519,14.6557998657,1.62503755093,0.0111019723117,0.134984016418,0,0.284489035606,1.04470539093,47.4930305481,-24.3791503906,-1,-0.4506329,-26.739616394,-46.0351486206,-101.189849854,0.99225217104,0.996780097485,0.99402487278,45,1,0,0
2024.01.02 17:20:00,0,1,0,23.4293518066,14.7306842804,1.590513587,0.0117961913347,0.114232078195,0,0.285435289145,1.09836161137,47.8622627258,-25.6944217682,-1,-0.521389365196,-28.4031391144,-47.9792823792,-103.488883972,0.992077410221,0.996352672577,0.993481516838,50,1,0,0
2024.01.02 17:25:00,0,1,0,23.5629711151,14.9420700073,1.57695484161,0.0119676943868,0.244848996401,0,0.296553611755,0.881063520908,47.812538147,-22.041387558,-1,-0.560574173927,-26.9342956543,-48.3500328064,-105.039848328,0.991939246655,0.997808516026,0.994910359383,55,1,0,0
