attempt_name,artifact_slug,probability_column,bar_time_server,decision_proxy,decision_mt5,proxy_value,mt5_value,abs_diff,claim_boundary
c56_bal_rf,c56_bal,p_short,2026.04.30 17:10:00,short,short,0.499889165163,0.4998892844,1.19236959861e-07,research_development_only_stage335L_runtime_parity_proxy_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal_rf,c56_bal,p_flat,2026.04.14 21:05:00,flat,flat,0.553348600864,0.5533487201,1.19235589624e-07,research_development_only_stage335L_runtime_parity_proxy_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_bal_rf,c56_bal,p_long,2026.05.18 18:45:00,long,long,0.46665379405,0.4666539133,1.19249783326e-07,research_development_only_stage335L_runtime_parity_proxy_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain_rf,c56_plain,p_short,2026.04.23 20:45:00,short,short,0.491192191839,0.4911920428,1.49039218134e-07,research_development_only_stage335L_runtime_parity_proxy_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain_rf,c56_plain,p_flat,2026.05.01 18:45:00,flat,flat,0.51732724905,0.5173273683,1.19249859654e-07,research_development_only_stage335L_runtime_parity_proxy_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
c56_plain_rf,c56_plain,p_long,2026.05.12 20:05:00,flat,flat,0.421924322844,0.4219244421,1.19256448383e-07,research_development_only_stage335L_runtime_parity_proxy_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,m48_bal,p_short,2026.04.30 16:55:00,short,short,0.564506232738,0.5645061135,1.19238494856e-07,research_development_only_stage335L_runtime_parity_proxy_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,m48_bal,p_flat,2026.05.13 06:15:00,flat,flat,0.758873045444,0.7588731647,1.19255511466e-07,research_development_only_stage335L_runtime_parity_proxy_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,m48_bal,p_long,2026.05.15 08:35:00,flat,flat,0.426157534122,0.4261574149,1.19222467065e-07,research_development_only_stage335L_runtime_parity_proxy_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,m48_plain,p_short,2026.04.23 20:55:00,flat,flat,0.450017273426,0.4500171542,1.19226055917e-07,research_development_only_stage335L_runtime_parity_proxy_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,m48_plain,p_flat,2026.05.08 21:55:00,flat,flat,0.569985806942,0.5699859262,1.19258013909e-07,research_development_only_stage335L_runtime_parity_proxy_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,m48_plain,p_long,2026.04.30 07:15:00,long,long,0.577671468258,0.577671349,1.19257904108e-07,research_development_only_stage335L_runtime_parity_proxy_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal_rf,u42_bal,p_short,2026.05.18 17:35:00,short,short,0.489116758108,0.4891168773,1.19191860937e-07,research_development_only_stage335L_runtime_parity_proxy_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal_rf,u42_bal,p_flat,2026.05.01 05:10:00,flat,flat,0.800090134144,0.8000902534,1.19256170605e-07,research_development_only_stage335L_runtime_parity_proxy_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
u42_bal_rf,u42_bal,p_long,2026.05.18 17:35:00,short,short,0.419322341681,0.4193221927,1.48980526748e-07,research_development_only_stage335L_runtime_parity_proxy_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
