entry_month,side,segment_trade_count,segment_trade_per_business_day,segment_net_profit,segment_profit_factor,segment_expectancy,segment_max_drawdown,segment_recovery_factor,segment_long_count,segment_short_count,segment_long_short_balance,segment_business_days,run_id,claim_boundary(주장 경계),review_status
2025-04,long,87,3.9545454545,175.964,1.435582488,2.0225747126,-125.966,1.3969166283,87,0,0.0,22,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,positive_pf_segment(양수 PF 세그먼트)
2025-11,long,59,3.2777777778,112.066,1.4471728981,1.8994237288,-68.046,1.646915322,59,0,0.0,18,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,positive_pf_segment(양수 PF 세그먼트)
2025-05,long,59,2.6818181818,93.222,1.9164929805,1.5800338983,-34.864,2.673875631,59,0,0.0,22,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,positive_pf_segment(양수 PF 세그먼트)
2026-03,long,78,3.5454545455,86.985,1.353705398,1.1151923077,-87.145,0.9981639796,78,0,0.0,22,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,positive_pf_segment(양수 PF 세그먼트)
2025-06,long,60,2.8571428571,85.534,1.7558611182,1.4255666667,-20.151,4.2446528708,60,0,0.0,21,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,positive_pf_segment(양수 PF 세그먼트)
2025-10,long,62,2.6956521739,73.454,1.4761978853,1.1847419355,-39.437,1.862565611,62,0,0.0,23,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,positive_pf_segment(양수 PF 세그먼트)
2026-02,short,11,0.6111111111,60.988,2.8773047681,5.5443636364,-12.862,4.7417197947,0,11,0.0,18,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,positive_pf_segment(양수 PF 세그먼트)
2026-01,long,67,3.1904761905,52.2,1.3646015227,0.7791044776,-53.165,0.9818489608,67,0,0.0,21,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,positive_pf_segment(양수 PF 세그먼트)
2026-04,long,40,4.4444444444,40.62,1.3865994099,1.0155,-62.47,0.6502321114,40,0,0.0,9,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,positive_pf_segment(양수 PF 세그먼트)
2025-02,short,12,0.75,36.246,2.1109885057,3.0205,-14.95,2.4244816054,0,12,0.0,16,run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,positive_pf_segment(양수 PF 세그먼트)
