run_id,queue_id,axis_id,variant_id,review_status,source_candidate_status,combined_net_profit,combined_profit_factor,combined_trade_count,combined_trade_per_business_day,combined_expectancy,combined_max_drawdown,combined_recovery_factor,combined_long_count,combined_short_count,combined_long_short_balance,validation_net_profit,validation_profit_factor,validation_trade_per_business_day,oos_net_profit,oos_profit_factor,oos_trade_per_business_day,net_delta_vs_run364AG_selected,pf_delta_vs_run364AG_selected,dd_delta_vs_run364AG_selected,density_delta_vs_run364AG_selected,selection_score,claim_boundary(주장 경계)
run364AK_review_session_side_pf_lift_density_repair_scout_without_db_v1,selected_control_full_session(선택 대조 전체 세션),control(대조),selected_control_full_session_선택_대조_전체_세션__ps0_45__floor0_0__hold8,near_pf_density_safe_seed(PF 근접 밀도 안전 씨앗),watch_density_safe_pf_below_reference(밀도 안전이나 PF 기준 미달 관찰),840.055,1.2739357721,1001.0,3.006006006,0.8392157842,-142.323,5.9024542765,882.0,119.0,0.1349206349,339.043,1.2146673268,2.6597938144,501.012,1.3368770697,3.4892086331,0.0,0.0,0.0,0.0,850.82288605,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AK_review_session_side_pf_lift_density_repair_scout_without_db_v1,validation_pf_repair_selected_split_guard(선택 후보 검증 PF 수리 분할 가드),split_guardrail(분할 가드레일),validation_pf_repair_selected_split_guard_선택_후보_검증_PF_수리_분할_가드__ps0_45__floor0_0__hold8,near_pf_density_safe_seed(PF 근접 밀도 안전 씨앗),watch_density_safe_pf_below_reference(밀도 안전이나 PF 기준 미달 관찰),840.055,1.2739357721,1001.0,3.006006006,0.8392157842,-142.323,5.9024542765,882.0,119.0,0.1349206349,339.043,1.2146673268,2.6597938144,501.012,1.3368770697,3.4892086331,0.0,0.0,0.0,0.0,850.82288605,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AK_review_session_side_pf_lift_density_repair_scout_without_db_v1,month_positive_pocket_observation_only(월 양수 포켓 관찰 전용),market_behavior_observation(시장 현상 관찰),month_positive_pocket_observation_only_월_양수_포켓_관찰_전용__ps0_45__floor0_0__hold8,near_pf_density_safe_seed(PF 근접 밀도 안전 씨앗),watch_density_safe_pf_below_reference(밀도 안전이나 PF 기준 미달 관찰),840.055,1.2739357721,1001.0,3.006006006,0.8392157842,-142.323,5.9024542765,882.0,119.0,0.1349206349,339.043,1.2146673268,2.6597938144,501.012,1.3368770697,3.4892086331,0.0,0.0,0.0,0.0,850.82288605,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AK_review_session_side_pf_lift_density_repair_scout_without_db_v1,oos_locked_replay_control(표본외 잠금 재생 대조),split_guardrail(분할 가드레일),oos_locked_replay_control_표본외_잠금_재생_대조__ps0_45__floor0_0__hold8,near_pf_density_safe_seed(PF 근접 밀도 안전 씨앗),watch_density_safe_pf_below_reference(밀도 안전이나 PF 기준 미달 관찰),840.055,1.2739357721,1001.0,3.006006006,0.8392157842,-142.323,5.9024542765,882.0,119.0,0.1349206349,339.043,1.2146673268,2.6597938144,501.012,1.3368770697,3.4892086331,0.0,0.0,0.0,0.0,850.82288605,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AK_review_session_side_pf_lift_density_repair_scout_without_db_v1,pfpass_block_premarket_short_restore_density(PF 통과 프리마켓 숏 차단 밀도 복원),pf_pass_density_bridge(PF 통과 밀도 연결),pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원__ps0_5__floor0_0__hold8,pf_pass_density_fail_seed(PF 통과 밀도 실패 씨앗),fail_density_floor(밀도 하한 실패),845.554,1.3287468527,887.0,2.6636636637,0.9532739572,-120.303,7.0285362792,881.0,6.0,0.0068104427,362.958,1.2765158326,2.3350515464,482.596,1.383183002,3.1223021583,5.499,0.0548110806,22.02,-0.3423423423,433.607842402,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AK_review_session_side_pf_lift_density_repair_scout_without_db_v1,pfpass_core_plus_premarket_long_restore(PF 통과 핵심 + 프리마켓 롱 복원),pf_pass_density_bridge(PF 통과 밀도 연결),pfpass_core_plus_premarket_long_restore_PF_통과_핵심_프리마켓_롱_복원__ps0_5__floor0_0__hold8,dd_improved_density_fail_seed(낙폭 개선 밀도 실패 씨앗),fail_density_floor(밀도 하한 실패),761.975,1.2958707973,885.0,2.6576576577,0.8609887006,-120.303,6.3337988246,879.0,6.0,0.0068259386,313.769,1.2384717754,2.324742268,448.206,1.3558277728,3.1223021583,-78.08,0.0219350252,22.02,-0.3483483483,303.163327494,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AK_review_session_side_pf_lift_density_repair_scout_without_db_v1,core_plus_late_long(핵심 세션 + 후반 롱),session_density_restore(세션 밀도 복원),core_plus_late_long_핵심_세션_후반_롱__ps0_45__floor0_0__hold8,dd_improved_density_fail_seed(낙폭 개선 밀도 실패 씨앗),fail_density_floor(밀도 하한 실패),725.57,1.2757971879,904.0,2.7147147147,0.8026216814,-103.533,7.0081036964,805.0,99.0,0.1229813665,284.493,1.201047167,2.412371134,441.077,1.3628011917,3.1366906475,-114.485,0.0018614158,38.79,-0.2912912913,359.678347586,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AK_review_session_side_pf_lift_density_repair_scout_without_db_v1,pfpass_core_restore(통과 PF 핵심 복원),pf_pass_density_bridge(PF 통과 밀도 연결),pfpass_core_restore_통과_PF_핵심_복원__ps0_5__floor0_0__hold8,dd_improved_density_fail_seed(낙폭 개선 밀도 실패 씨앗),fail_density_floor(밀도 하한 실패),615.722,1.2713337758,815.0,2.4474474474,0.7554871166,-96.138,6.4045642722,804.0,11.0,0.013681592,278.811,1.2340542165,2.1597938144,336.911,1.3125281767,2.8489208633,-224.333,-0.0026019963,46.185,-0.5585585586,-139.96443574,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AK_review_session_side_pf_lift_density_repair_scout_without_db_v1,core_session_only_dual_side(핵심 세션 양방향만),session_side_pf_lift(세션 방향 PF 상승),core_session_only_dual_side_핵심_세션_양방향만__ps0_45__floor0_0__hold8,dd_improved_density_fail_seed(낙폭 개선 밀도 실패 씨앗),fail_density_floor(밀도 하한 실패),645.703,1.2448583586,902.0,2.7087087087,0.7158569845,-103.533,6.2366878193,803.0,99.0,0.1232876712,235.141,1.1657740212,2.4020618557,410.562,1.3369117449,3.1366906475,-194.352,-0.0290774135,38.79,-0.2972972973,255.33787148,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AK_review_session_side_pf_lift_density_repair_scout_without_db_v1,block_premarket_short_only(프리마켓 숏만 차단),session_side_pf_lift(세션 방향 PF 상승),block_premarket_short_only_프리마켓_숏만_차단__ps0_45__floor0_0__hold8,reject_density_floor(밀도 하한 탈락),fail_density_floor(밀도 하한 실패),805.222,1.2676271111,979.0,2.9399399399,0.822494382,-133.361,6.0379121332,881.0,98.0,0.1112372304,305.662,1.1945720569,2.5979381443,499.56,1.3474472476,3.4172661871,-34.833,-0.006308661,8.962,-0.0660660661,730.37677141,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
