candidate_id,direction,horizon,target_atr_mult,stop_atr_mult,context_gate,session_gate,feature_bundle,feature_count,model_family,target_trades_day,validation_threshold,train_rows,train_positive_rate,validation_rows,oos_rows,validation_net_profit,validation_gross_profit,validation_gross_loss,validation_profit_factor,validation_max_drawdown_amount,validation_max_drawdown_percent,validation_trade_count,validation_trades_day,validation_win_rate,validation_average_win,validation_average_loss,validation_payoff_ratio,validation_expectancy,validation_recovery_factor,validation_max_consecutive_loss,validation_avg_hold_bars,validation_time_under_water_bars,selected_validation_indices,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_max_drawdown_amount,oos_max_drawdown_percent,oos_trade_count,oos_trades_day,oos_win_rate,oos_average_win,oos_average_loss,oos_payoff_ratio,oos_expectancy,oos_recovery_factor,oos_max_consecutive_loss,oos_avg_hold_bars,oos_time_under_water_bars,selected_oos_indices,scout_clue,meaningful_signal,final_like_reference_only,joint_score
f75c_0286,short,12,1.0,0.55,repair_rule_score_q70,cash_all,repair_macro,26,logistic_l2_balanced,5.0,0.49289575256578555,4365,0.3640320733104238,1565,1212,40.93627884864793,3429.491170082093,3388.5548912334443,1.0120807483315544,575.4583754444125,5.754583754444124,266,1.453551912568306,0.3609022556390977,35.723866355021805,-19.932675830784966,1.792226325170461,0.15389578514529298,0.07113681996032092,8,1.612781954887218,244,29252;29265;29297;29378;29390;29407;29419;29433;29502;29524;29538;29558;29604;29632;29651;29670;29682;29696;29750;29791,848.9639351844785,3412.5054355621332,2563.541500377656,1.3311683992864596,424.3430620193485,4.243430620193485,198,1.5114503816793894,0.4444444444444444,38.778470858660604,-23.304922730705965,1.6639604991080743,4.287696642345851,2.0006546852550375,7,1.6666666666666667,161,39124;39296;39308;39403;39422;39467;39481;39495;39577;39665;39677;39727;39740;39757;39784;39811;39899;39914;39958;39970,0,0,0,6.736489897946889
f75c_0301,short,12,1.0,0.55,repair_rule_score_q70,cash_open_180,repair_core,18,logistic_l2_balanced,3.5,0.48626666934866486,3585,0.3542538354253835,1206,1030,28.32473353385899,1925.1565257263183,1896.831792192459,1.014932654361049,337.2173645305634,3.372173645305634,167,0.912568306010929,0.3592814371257485,32.08594209543864,-17.727399927032327,1.8099632336105376,0.16960918283747897,0.08399547743720001,9,1.6107784431137724,154,29254;29408;29435;29502;29541;29604;29671;29684;29696;29755;29791;29811;30092;30151;30164;30213;30229;30329;30354;30423,438.36096367835967,2035.3538265228276,1596.9928628444668,1.274491498288589,313.3992467880249,3.1339924678802493,132,1.0076335877862594,0.4015151515151515,38.402902387223165,-20.215099529676795,1.8997137427320478,3.320916391502725,1.3987301123759739,9,1.5454545454545454,115,39123;39234;39294;39306;39318;39405;39422;39465;39480;39584;39644;39665;39727;39740;39784;39897;39914;39955;39967;39979,0,0,0,6.013831970560627
f75c_0288,short,12,1.0,0.55,repair_rule_score_q70,cash_all,all58_plus_repair,66,extra_trees_d7_l80,3.5,0.49981678660428497,4365,0.3640320733104238,1565,1212,160.00763221740704,2974.2491289520276,2814.2414967346194,1.0568563971510854,314.6817232131957,3.146817232131957,219,1.1967213114754098,0.3789954337899543,35.83432685484371,-20.6929521818722,1.7317165061752724,0.7306284576137307,0.5084745011040964,8,1.817351598173516,205,29254;29272;29306;29378;29390;29417;29436;29502;29524;29632;29651;29677;29693;29748;29791;29811;30045;30065;30079;30095,321.26684195518465,2599.3141738128666,2278.047331857681,1.1410272901104306,488.49444108009345,4.8849444108009346,165,1.2595419847328244,0.3939393939393939,39.98944882789026,-22.78047331857681,1.7554266001698933,1.9470717694253614,0.6576673446781554,6,1.7636363636363637,153,39127;39294;39307;39319;39424;39465;39487;39661;39674;39713;39727;39740;39757;39784;39811;39900;39963;39979;39996;40036,0,0,0,5.846168578024538
f75c_0291,short,12,1.0,0.55,repair_rule_score_q70,cash_all,all58_plus_repair,66,hist_gbdt_l15,3.5,0.37070100018858254,4365,0.3640320733104238,1565,1212,268.88319339752167,3255.1846446609507,2986.301451263428,1.0900388650595756,375.430090961456,3.75430090961456,230,1.2568306010928962,0.4,35.38244178979294,-21.639865588865423,1.6350582975893633,1.1690573625979204,0.7162004321734745,9,1.5391304347826087,210,29224;29255;29273;29291;29378;29390;29410;29423;29436;29502;29524;29556;29604;29631;29651;29671;29684;29755;29792;29809,129.50310143470733,2887.679101982116,2758.176000547409,1.0469524429945751,322.73390674591076,3.227339067459108,190,1.450381679389313,0.37894736842105264,40.10665419419606,-23.37437288599499,1.715838726018887,0.681595270708986,0.4012689671825076,7,1.7578947368421052,181,39124;39294;39307;39319;39403;39424;39467;39487;39577;39642;39662;39674;39720;39732;39744;39757;39784;39816;39898;39956,0,0,0,5.597245573136849
f75c_0295,short,12,1.0,0.55,repair_rule_score_q70,cash_all,all58_plus_repair,66,logistic_l2_balanced,5.0,0.48916661303676456,4365,0.3640320733104238,1565,1212,10.99907654762228,3409.30364341736,3398.304566869736,1.003236636484809,648.9167016220094,6.489167016220095,255,1.3934426229508197,0.3686274509803922,36.26918769592936,-21.107481781799603,1.7183095582346197,0.043133633520087374,0.016949905157517712,8,1.6,229,29252;29265;29297;29378;29390;29408;29435;29502;29524;29538;29567;29604;29651;29670;29682;29696;29748;29791;29809;30093,317.95420765876736,2970.1915683746333,2652.237360715867,1.1198815054671227,302.9450993537904,3.0294509935379037,199,1.5190839694656488,0.40703517587939697,36.66903170832881,-22.47658780267684,1.6314323166064257,1.597759837481243,1.0495439877951245,7,1.8391959798994975,181,39123;39294;39306;39318;39403;39422;39467;39577;39642;39661;39674;39686;39722;39734;39747;39773;39793;39811;39897;39914,0,0,0,5.513654132757594
f75c_0313,short,12,1.0,0.55,repair_rule_score_q70,cash_open_180,all58_plus_repair,66,logistic_l2_balanced,3.5,0.48935175858951574,3585,0.3542538354253835,1206,1030,114.65621786117515,2272.2620417404187,2157.605823879242,1.0531404840458911,696.3537461566925,6.963537461566925,175,0.9562841530054644,0.3485714285714286,37.250197405580636,-18.926366876133702,1.9681641832988785,0.6551783877781437,0.164652259708495,9,1.502857142857143,149,29254;29295;29408;29442;29502;29538;29604;29670;29682;29696;29748;29791;29809;30093;30151;30164;30213;30245;30325;30423,139.25475935935947,2089.3424606323247,1950.087701272965,1.071409485464914,386.2285261631012,3.862285261631012,153,1.16793893129771,0.38562091503267976,35.41258407851398,-20.745613843329416,1.7069913836220667,0.9101618258781664,0.3605501663555356,13,1.5620915032679739,144,39124;39294;39306;39318;39403;39422;39467;39577;39642;39661;39674;39722;39734;39773;39788;39897;39914;39958;39970;39987,0,0,0,5.369818122886842
f75c_0273,short,12,1.0,0.55,repair_rule_score_q70,cash_all,repair_core,18,hist_gbdt_l15,3.5,0.3633107187003877,4365,0.3640320733104238,1565,1212,-270.44120177269014,3257.581259765627,3528.022461538315,0.923344818599945,688.9087834262848,6.889087834262848,251,1.3715846994535519,0.3426294820717131,37.878851857739846,-21.381954312353425,1.7715336635929175,-1.0774549871421917,-0.3925646011183832,10,1.649402390438247,238,29222;29238;29256;29272;29295;29378;29392;29408;29441;29503;29524;29554;29567;29605;29651;29672;29690;29792;29814;30035,800.9789353561421,2879.6290335845974,2078.6500982284547,1.3853361063696017,288.62204074859625,2.8862204074859625,168,1.282442748091603,0.4226190476190476,40.558155402599965,-21.42938245596345,1.8926422861669208,4.767731758072275,2.7751828421649662,7,1.7023809523809523,145,39124;39294;39307;39405;39424;39467;39487;39577;39641;39662;39674;39706;39722;39757;39773;39811;39900;39914;39955;39968,0,0,0,4.666357276316924
f75c_0270,short,12,1.0,0.55,repair_rule_score_q70,cash_all,repair_core,18,extra_trees_d7_l80,3.5,0.4988347381889985,4365,0.3640320733104238,1565,1212,-438.44253772735635,2785.338956756593,3223.781494483948,0.8639974395046462,522.3735145950316,5.223735145950316,222,1.2131147540983607,0.34234234234234234,36.64919679942885,-22.080695167698273,1.659784554837873,-1.9749663861592628,-0.8393276563174485,10,1.7252252252252251,216,29252;29269;29306;29378;29390;29408;29441;29502;29524;29547;29567;29607;29631;29651;29682;29701;29748;29792;29814;30048,741.2632092475889,2686.0542755126953,1944.791066265106,1.3811531336737142,217.64466648101802,2.17644666481018,151,1.1526717557251909,0.4503311258278146,39.500798169304346,-23.431217665844652,1.6858192661017395,4.909027875811847,3.405841370857753,6,1.9536423841059603,128,39123;39296;39308;39424;39467;39498;39665;39680;39722;39738;39751;39811;39914;39958;39970;39989;40140;40183;40263;40279,0,0,0,4.4465846557367215
f75c_0213,short,9,0.8,0.45,repair_rule_score_q70,cash_all,repair_core,18,logistic_l2_balanced,3.5,0.512760210372266,4965,0.35307150050352465,1772,1372,-521.7048712539672,2301.543160095215,2823.2480313491824,0.8152111095231497,730.7974479293823,7.307974479293823,238,1.3005464480874316,0.36134453781512604,26.762129768549013,-18.57400020624462,1.4408382400874276,-2.1920372741763328,-0.7138843638988461,12,1.4201680672268908,233,29255;29265;29378;29389;29418;29433;29442;29455;29479;29502;29511;29541;29592;29615;29651;29671;29684;29703;29748;29757,738.58326587677,2654.276788330078,1915.6935224533086,1.3855435419183921,229.39699602127075,2.2939699602127073,180,1.3740458015267176,0.43333333333333335,34.02918959397536,-18.78130904365989,1.8118646317394358,4.103240365982056,3.219672788602189,8,1.5166666666666666,151,39125;39134;39205;39223;39304;39313;39422;39476;39486;39495;39512;39668;39681;39728;39738;39751;39760;39816;39974;39985,0,0,0,4.441607214095956
f75c_0323,short,12,1.0,0.55,repair_rule_score_q70,cash_mid_late,all58_plus_repair,66,logistic_l2_balanced,3.5,0.4287657336317285,2086,0.37488015340364333,821,570,-550.3883388900759,2811.7008395385747,3362.0891784286505,0.83629573468146,768.7080099678037,7.687080099678037,207,1.1311475409836065,0.3526570048309179,38.5164498566928,-25.09021774946754,1.5351181979084334,-2.6588808642032653,-0.7159914190475629,7,2.033816425120773,198,29239;29252;29265;29306;29378;29390;29426;29441;29502;29524;29556;29651;29684;29696;29748;29809;30065;30079;30136;30168,621.9059139728544,2473.6959072113036,1851.7899932384494,1.3358404118413298,399.5224206924439,3.9952242069244392,132,1.0076335877862594,0.42424242424242425,44.17314120020185,-24.36565780576907,1.8129262732132332,4.711408439188291,1.5566233126415785,8,2.4015151515151514,112,39304;39317;39422;39476;39488;39661;39674;39722;39734;39747;39811;39917;39974;39987;40140;40190;40270;40287;40320;40336,0,0,0,4.102456756462145
