split,sample_rows,raw_binary_max_abs_diff,patched_three_col_max_abs_diff,patched_long_col_max_abs,passed
train,4096,2.137656978096203e-07,2.137656978096203e-07,0.0,True
validation,4096,2.2055871717885367e-07,2.2055871717885367e-07,0.0,True
oos,4096,2.1441798947474666e-07,2.1441798947474666e-07,0.0,True
