candidate_id,direction,horizon,target_atr_mult,stop_atr_mult,context_gate,session_gate,feature_bundle,feature_count,model_family,target_trades_day,validation_threshold,train_rows,train_positive_rate,validation_rows,oos_rows,validation_net_profit,validation_gross_profit,validation_gross_loss,validation_profit_factor,validation_max_drawdown_amount,validation_max_drawdown_percent,validation_trade_count,validation_trades_day,validation_win_rate,validation_average_win,validation_average_loss,validation_payoff_ratio,validation_expectancy,validation_recovery_factor,validation_max_consecutive_loss,validation_avg_hold_bars,validation_time_under_water_bars,oos_net_profit,oos_gross_profit,oos_gross_loss,oos_profit_factor,oos_max_drawdown_amount,oos_max_drawdown_percent,oos_trade_count,oos_trades_day,oos_win_rate,oos_average_win,oos_average_loss,oos_payoff_ratio,oos_expectancy,oos_recovery_factor,oos_max_consecutive_loss,oos_avg_hold_bars,oos_time_under_water_bars,scout_clue,meaningful_signal,final_like_reference_only,joint_score,selected_validation_indices,selected_oos_indices
f75b_0551,short,18,1.25,0.8,hv_q35_compression,cash_all,all58,58,extra_trees_d7_l80,5.0,0.460506189447791,3076,0.4340052015604681,1058,769,2292.5432052135466,4893.2864264965065,2600.743221282959,1.8814954073330719,264.6917434692373,2.646917434692373,165,0.9016393442622951,0.5151515151515151,57.56807560584125,-32.509290266036984,1.7708192069017148,13.894201243718465,8.661181399789253,7,2.787878787878788,122,514.0272768974303,3132.3257891654966,2618.2985122680666,1.1963211125427256,560.2334429740907,5.602334429740907,131,1.0,0.44274809160305345,54.00561705457753,-35.867102907781735,1.5057145037175683,3.9238723427284756,0.9175233705589451,11,3.045801526717557,112,1,0,0,9.441753222580648,29237;29258;29298;29425;29446;29472;29490;29516;29538;29572;29667;29690;29731;29754;29808;30043;30066;30163;30233;30325,39311;39472;39490;39594;39616;39653;39680;39713;39736;39784;39802;39962;39983;40020;40078;40189;40272;40328;40347;40419
f75b_0564,short,18,1.25,0.8,hv_q35_compression,cash_all,compression_release_core,21,logistic_l2_balanced,2.0,0.49982833272263555,3076,0.4340052015604681,1058,769,1475.9616616058347,2752.3492195892336,1276.3875579833984,2.156358546723653,181.25583190917973,1.8125583190917973,93,0.5081967213114754,0.5698924731182796,51.93111735074026,-31.90968894958496,1.627440412621625,15.870555501138007,8.142974744919556,5,2.978494623655914,59,103.40017337799048,1609.2820352554327,1505.8818618774417,1.0686642000250126,437.0902653694153,4.370902653694153,72,0.549618320610687,0.4305555555555556,51.91232371791718,-36.728825899449795,1.4133945871298554,1.4361135191387566,0.2365648049621966,7,2.7777777777777777,59,0,0,0,8.270351575443813,29237;29298;29425;29506;29538;29690;29735;29754;29815;30048;30066;30165;30233;30353;30461;30565;30583;30626;30692;30729,39311;39475;39493;39661;39680;39713;39736;39784;39816;39969;39989;40189;40276;40328;40347;40540;40977;41051;41069;41102
f75b_0563,short,18,1.25,0.8,hv_q35_compression,cash_all,compression_release_core,21,hist_gbdt_l15,5.0,0.2658629117755299,3076,0.4340052015604681,1058,769,1940.3264210224147,4723.45956234932,2783.1331413269045,1.6971734094249378,264.6917434692384,2.646917434692384,167,0.912568306010929,0.49101796407185627,57.6031653945039,-32.74274283914005,1.7592651195258502,11.618721083966555,7.330513583805507,7,2.8263473053892216,128,153.2274971008298,2991.571956634521,2838.344459533691,1.053984813783315,602.8461024284368,6.0284610242843675,134,1.0229007633587786,0.417910447761194,53.42092779704502,-36.389031532483216,1.468050276341046,1.1434887843345507,0.2541734888615611,9,3.126865671641791,120,0,0,0,8.017532739827965,29237;29258;29298;29425;29446;29472;29490;29516;29538;29572;29667;29690;29731;29754;29808;30043;30066;30163;30233;30325,39311;39472;39490;39586;39613;39653;39680;39713;39736;39785;39816;39962;39983;40020;40078;40189;40272;40328;40347;40417
f75b_0565,short,18,1.25,0.8,hv_q35_compression,cash_all,compression_release_core,21,logistic_l2_balanced,3.5,0.4130232163442186,3076,0.4340052015604681,1058,769,1269.5608426380154,3377.2526967334747,2107.691854095459,1.6023465148243232,228.09095420837411,2.2809095420837413,133,0.726775956284153,0.5037593984962406,50.4067566676638,-31.934725062052408,1.5784308952000796,9.545570245398611,5.5660288986217274,5,2.7669172932330826,98,430.8059586524959,2584.98430185318,2154.1783432006837,1.1999862082042863,421.1169876098636,4.211169876098636,108,0.8244274809160306,0.4537037037037037,52.754781670473065,-36.511497342384466,1.4448813527357736,3.9889440615971843,1.023007789587459,7,3.0925925925925926,93,1,0,0,7.924040823905504,29237;29258;29298;29425;29485;29503;29538;29679;29697;29732;29754;29808;30043;30066;30163;30233;30325;30343;30458;30565,39311;39472;39490;39613;39653;39680;39713;39736;39784;39802;39969;39987;40080;40189;40272;40328;40347;40478;40540;40595
f75b_0582,short,18,1.25,0.8,hv_q35_compression,cash_open_120,compression_macro_mega,19,extra_trees_d7_l80,2.0,0.4880112645178037,1355,0.392619926199262,501,377,1325.5480464935301,2889.217557144165,1563.669510650635,1.847716245322182,258.1344734191894,2.581344734191894,95,0.5191256830601093,0.5157894736842106,58.96362361518704,-33.99281544892685,1.7345907609147013,13.953137331510844,5.135106632351843,8,2.526315789473684,69,109.25955667495712,1699.882310581208,1590.6227539062502,1.0686897986380732,331.7654554367066,3.3176545543670657,75,0.5725190839694656,0.41333333333333333,54.834913244555096,-36.150517134232956,1.5168500367766202,1.4567940889994284,0.32932770692216146,8,2.8266666666666667,66,0,0,0,7.676846634701907,29237;29298;29425;29472;29490;29538;29558;29670;29690;29731;29754;30042;30163;30233;30325;30343;30458;30565;30626;30729,39472;39596;39655;39713;39784;39969;40078;40189;40272;40419;40540;40595;40797;40862;40972;41039;41057;41103;41121;41234
f75b_0568,short,18,1.25,0.8,hv_q35_compression,cash_all,compression_macro_mega,19,extra_trees_d7_l80,3.5,0.49091968339814634,3076,0.4340052015604681,1058,769,1278.0001000404357,3831.704882144928,2553.704782104492,1.5004494290006554,321.3100219726563,3.2131002197265626,131,0.7158469945355191,0.4961832061068702,58.94930587915274,-38.69249669855291,1.5235332663698962,9.755725954507142,3.9774672828262867,6,3.213740458015267,101,394.36904649734464,2668.389163684845,2274.0201171875005,1.1734237281001272,326.93243761062644,3.269324376106264,107,0.816793893129771,0.4485981308411215,55.591440910100935,-38.5427138506356,1.4423333324564063,3.6856920233396697,1.2062707799188608,5,3.392523364485981,91,1,0,0,7.6722757356321,29238;29258;29298;29430;29485;29503;29539;29561;29579;29670;29690;29814;30043;30066;30165;30233;30325;30348;30576;30594,39311;39490;39596;39614;39665;39713;39736;39784;39802;39978;40276;40328;40347;40418;40540;40601;40819;40865;40972;41002
f75b_0554,short,18,1.25,0.8,hv_q35_compression,cash_all,all58,58,hist_gbdt_l15,5.0,0.2878906291310491,3076,0.4340052015604681,1058,769,1444.944213914871,4567.915636491775,3122.971422576905,1.462682496377947,595.1451965332033,5.951451965332033,169,0.9234972677595629,0.47337278106508873,57.09894545614719,-35.08956654580792,1.627234277220466,8.549965762809887,2.427885198993213,9,2.8757396449704142,142,330.05060319900485,2926.402287769318,2596.351684570313,1.127120915537152,436.7106639862061,4.367106639862061,125,0.9541984732824428,0.432,54.19263495869107,-36.56833358549736,1.481955277835885,2.640404825592039,0.7557649272549704,8,2.976,108,0,0,0,7.5555503459254485,29237;29258;29298;29425;29446;29472;29490;29516;29538;29559;29577;29667;29690;29731;29754;29808;30052;30070;30163;30233,39311;39472;39490;39586;39653;39680;39713;39736;39784;39802;39962;39983;40021;40078;40189;40273;40328;40347;40540;40595
f75b_0579,short,18,1.25,0.8,hv_q35_compression,cash_open_120,compression_release_core,21,extra_trees_d7_l80,2.0,0.48218272217222363,1355,0.392619926199262,501,377,1125.9190159320833,2693.2709454059614,1567.3519294738771,1.7183575014387666,233.1471417427063,2.3314714174270628,96,0.5245901639344263,0.4895833333333333,57.30363713629705,-31.98677407089545,1.7914790972446715,11.728323082625868,4.829220755254256,7,2.5,75,83.51756172180168,1823.7911350250247,1740.2735733032227,1.047991053247609,417.1140701293945,4.171140701293945,83,0.6335877862595419,0.40963855421686746,53.64091573603014,-35.51578721026985,1.5103400473274369,1.006235683395201,0.20022715056313825,9,2.6144578313253013,73,0,0,0,7.235542070174939,29237;29298;29425;29472;29538;29667;29731;29754;29808;30042;30163;30233;30325;30343;30458;30565;30626;30692;30729;30748,39472;39592;39653;39713;39784;39962;40020;40078;40189;40272;40417;40478;40540;40595;40797;40862;40972;41039;41057;41102
f75b_0454,short,12,1.0,0.65,hv_q35_compression,cash_open_120,compression_release_core,21,hist_gbdt_l15,2.0,0.3089431899819064,1620,0.3814814814814815,611,528,748.9182365894317,2247.6631032943737,1498.7448667049407,1.4996969485780218,209.73903551101682,2.0973903551101682,114,0.6229508196721312,0.47368421052631576,41.62339080174766,-24.97908111174901,1.666329942864469,6.569458215696769,3.5707146014319004,5,2.0526315789473686,98,302.0806798934935,1816.358625030518,1514.2779451370238,1.1994882649275853,187.88515043258673,1.8788515043258673,100,0.7633587786259542,0.44,41.28087784160268,-27.040677591732567,1.5266214280896542,3.020806798934935,1.6077943317924965,5,1.97,83,1,0,0,7.210663407043889,29298;29425;29472;29485;29539;29551;29613;29667;29731;29745;29808;30043;30107;30163;30325;30340;30398;30445;30626;30692,39083;39131;39421;39472;39595;39653;39713;39784;39844;39918;39962;40020;40078;40189;40417;40478;40540;40600;40741;40800
f75b_0440,short,12,1.0,0.65,hv_q35_compression,cash_all,compression_release_core,21,logistic_l2_balanced,5.0,0.4158982808165164,4075,0.4233128834355828,1394,1108,995.2404703617093,4060.591651725771,3065.3511813640594,1.3246742090799648,265.7452933311464,2.657452933311464,233,1.273224043715847,0.47639484978540775,36.581906772304244,-25.12582935544311,1.455948229799601,4.271418327732658,3.7450916171882516,8,2.1416309012875536,204,439.85057849884015,3343.0906328201295,2903.240054321289,1.1515033446318539,441.6325168609619,4.416325168609619,191,1.4580152671755726,0.44502617801047123,39.330478033178,-27.389057116238575,1.4359924062467826,2.3028826099415713,0.9959651105974093,9,2.492146596858639,173,1,0,0,7.205219495964537,29237;29258;29298;29311;29324;29425;29437;29485;29503;29516;29538;29613;29679;29691;29736;29754;29808;29820;30043;30066,39083;39131;39203;39311;39421;39472;39490;39614;39653;39665;39680;39713;39736;39752;39784;39796;39808;39846;39862;39918
f75b_0558,short,18,1.25,0.8,hv_q35_compression,cash_all,compression_release_core,21,extra_trees_d7_l80,2.0,0.49587536068102656,3076,0.4340052015604681,1058,769,639.1488454818725,2318.268396568299,1679.1195510864259,1.380645228666613,309.61456966400146,3.0961456966400145,96,0.5245901639344263,0.4583333333333333,52.68791810382498,-32.29076059781588,1.6316716338787245,6.657800473769505,2.064337108474859,7,3.15625,81,411.1042326927183,1797.2555342674261,1386.1513015747073,1.296579624623728,190.63102293014532,1.906310229301453,75,0.5725190839694656,0.49333333333333335,48.574473899119624,-36.47766583091335,1.3316223171811261,5.4813897692362445,2.1565442307014373,5,2.6266666666666665,60,1,0,0,7.176827240703578,29258;29300;29440;29490;29746;29813;30053;30071;30165;30325;30352;30460;30591;30626;30692;30750;31021;31071;31137;31164,39311;39472;39660;39680;39713;39746;39798;39816;39962;39983;40189;40328;40347;40540;40824;41003;41050;41112;41143;41419
f75b_0576,short,18,1.25,0.8,hv_q35_compression,cash_open_120,all58,58,extra_trees_d7_l80,2.0,0.4796454559993696,1355,0.392619926199262,501,377,964.8229408740993,2542.8828308582315,1578.059889984131,1.6113981775962907,233.23846559524537,2.3323846559524535,94,0.5136612021857924,0.4787234042553192,56.50850735240515,-32.20530387722716,1.7546335711604055,10.264073839086164,4.136637318427667,7,2.521276595744681,77,183.36889228820795,1763.9942264556885,1580.6253341674806,1.116010346237294,294.0245346069336,2.9402453460693363,78,0.5954198473282443,0.4230769230769231,53.45437049865723,-35.12500742594401,1.5218322903235826,2.3508832344642046,0.6236516708829909,9,2.782051282051282,71,0,0,0,7.173606383818971,29237;29298;29425;29472;29490;29538;29667;29690;29731;29754;30042;30163;30233;30325;30343;30458;30565;30626;30692;30729,39472;39596;39653;39713;39784;39962;40023;40078;40189;40272;40478;40540;40797;40862;40972;41039;41057;41102;41120;41165
f75b_0448,short,12,1.0,0.65,hv_q35_compression,cash_all,compression_macro_mega,19,logistic_l2_balanced,3.5,0.49497411509992534,4075,0.4233128834355828,1394,1108,388.9704003334041,3309.304272079469,2920.3338717460633,1.133193811877695,256.3740890502927,2.563740890502927,183,1.0,0.453551912568306,39.871135808186374,-29.203338717460632,1.3652937492502348,2.12552131329729,1.5171985662603371,7,2.4262295081967213,170,765.1338916778562,3122.264642906189,2357.130751228333,1.3246039241900918,350.4574992179871,3.5045749921798706,156,1.1908396946564885,0.46153846153846156,43.3647867070304,-28.06108037176587,1.5453712448884402,4.9047044338324115,2.183243027714289,10,2.4871794871794872,128,0,0,0,7.171257295971778,29237;29258;29298;29324;29426;29438;29450;29504;29516;29558;29573;29589;29691;29747;29762;29821;30052;30066;30195;30233,39083;39131;39311;39421;39493;39669;39681;39736;39752;39788;39810;39863;39969;39984;40084;40147;40194;40272;40287;40328
f75b_0566,short,18,1.25,0.8,hv_q35_compression,cash_all,compression_release_core,21,logistic_l2_balanced,5.0,0.2968703553993405,3076,0.4340052015604681,1058,769,1002.0337548732755,3796.013260030748,2793.979505157471,1.3586403382786452,532.3175697326662,5.323175697326662,159,0.8688524590163934,0.49056603773584906,48.66683666706087,-34.493574137746556,1.410895735904747,6.302099087253305,1.8823984250163002,7,2.7735849056603774,131,398.1380496025083,3022.6136340141293,2624.4755844116216,1.1517019445588654,447.71468667984027,4.477146866798402,130,0.9923664122137404,0.4307692307692308,53.975243464538025,-35.46588627583272,1.5218918553099294,3.0626003815577563,0.8892673424564602,9,3.1384615384615384,114,1,0,0,7.110640076141021,29237;29258;29298;29425;29446;29472;29490;29516;29538;29558;29667;29690;29731;29754;29808;30042;30066;30163;30233;30325,39311;39472;39490;39586;39613;39653;39680;39713;39736;39784;39802;39962;39983;40020;40078;40189;40272;40328;40347;40419
f75b_0580,short,18,1.25,0.8,hv_q35_compression,cash_open_120,compression_release_core,21,hist_gbdt_l15,2.0,0.23020535813446044,1355,0.392619926199262,501,377,817.1970049381254,2456.191748285294,1638.994743347168,1.4985964770510734,329.50603914260876,3.295060391426088,92,0.5027322404371585,0.4673913043478261,57.12073833221614,-33.44887231320751,1.7077029622209905,8.882576140631798,2.4800668511706583,7,2.7282608695652173,78,258.66537780761706,1860.4501892089847,1601.7848114013673,1.161485722655415,298.0907791137698,2.980907791137698,79,0.6030534351145038,0.43037974683544306,54.71912321202896,-35.59521803114149,1.5372605152792258,3.2742452887040137,0.8677402856157935,9,2.670886075949367,68,1,0,0,7.059111851679413,29237;29298;29425;29472;29490;29538;29561;29667;29731;29754;29808;30043;30163;30233;30325;30343;30458;30565;30626;30692,39472;39595;39653;39713;39784;39962;40021;40078;40189;40272;40417;40478;40540;40595;40797;40862;40972;41049;41102;41123
f75b_0453,short,12,1.0,0.65,hv_q35_compression,cash_open_120,compression_release_core,21,extra_trees_d7_l80,2.0,0.4856402789284049,1620,0.3814814814814815,611,528,790.614970254898,2380.564462089539,1589.9494918346406,1.4972579156225956,213.36127452850337,2.1336127452850335,122,0.6666666666666666,0.47540983606557374,41.044214863612744,-24.84296080991626,1.6521466655145882,6.48045057585982,3.705522344680586,5,2.081967213114754,103,186.37522172927856,1799.4130817413336,1613.0378600120546,1.1155429927279488,229.558696269989,2.29558696269989,103,0.7862595419847328,0.4368932038834951,39.986957372029636,-27.810997586414736,1.4378109684049118,1.809468172128918,0.8118848240455181,6,1.912621359223301,96,0,0,0,6.926967916893169,29237;29298;29425;29490;29539;29551;29613;29668;29731;29745;30042;30107;30163;30233;30325;30343;30398;30445;30458;30626,39083;39131;39421;39472;39586;39653;39713;39784;39844;39918;39962;39974;40078;40189;40272;40419;40478;40540;40605;40741
f75b_0557,short,18,1.25,0.8,hv_q35_compression,cash_all,all58,58,logistic_l2_balanced,5.0,0.30048729995133594,3076,0.4340052015604681,1058,769,1039.2603073406217,4182.098741941452,3142.8384346008297,1.3306757025429525,469.0989406585694,4.690989406585694,166,0.907103825136612,0.4879518072289157,51.63084866594386,-36.97456981883329,1.3963880829154443,6.2606042610880825,2.215439467592063,7,2.9096385542168677,140,288.2962010383603,2945.611342334748,2657.315141296387,1.1084915358957816,504.4560697555545,5.0445606975555455,128,0.9770992366412213,0.4296875,53.55656986063178,-36.4015772780327,1.4712705840071285,2.25231407061219,0.57149912216947,8,2.8828125,115,0,0,0,6.859528496043945,29237;29258;29298;29425;29446;29485;29503;29538;29558;29667;29690;29731;29754;29808;30048;30066;30163;30233;30325;30343,39311;39472;39490;39653;39680;39713;39736;39784;39802;39962;39983;40021;40080;40189;40272;40328;40347;40478;40540;40595
f75b_0443,short,12,1.0,0.65,hv_q35_compression,cash_all,compression_macro_mega,19,extra_trees_d7_l80,5.0,0.49044948935570243,4075,0.4233128834355828,1394,1108,865.4003656673434,4555.501917724611,3690.1015520572664,1.2345193901736595,503.9031253814698,5.039031253814698,226,1.2349726775956285,0.48672566371681414,41.413653797496465,-31.811220276355744,1.3018568114558593,3.8292051578201036,1.7173943206091633,8,2.2920353982300883,205,387.46254234313943,3272.0507558822633,2884.588213539124,1.1343216132287244,511.61897535324107,5.116189753532411,178,1.3587786259541985,0.4438202247191011,41.41836399850966,-29.137254682213374,1.4214916418942243,2.1767558558603337,0.757326371789906,7,2.443820224719101,163,0,0,0,6.811096320209177,29237;29258;29298;29324;29428;29440;29452;29486;29498;29516;29558;29572;29589;29613;29691;29746;29762;29820;30042;30066,39083;39131;39203;39312;39421;39490;39592;39659;39680;39713;39736;39752;39784;39796;39808;39862;39931;39962;39984;40147
f75b_0442,short,12,1.0,0.65,hv_q35_compression,cash_all,compression_macro_mega,19,extra_trees_d7_l80,3.5,0.4986877433454219,4075,0.4233128834355828,1394,1108,833.3535176277159,3664.254819869995,2830.901302242279,1.294377453911106,346.6007312774659,3.466007312774659,174,0.9508196721311475,0.45977011494252873,45.80318524837494,-30.11597130044978,1.5208935083455493,4.7893880323431945,2.404361683128093,6,2.3563218390804597,154,285.6065023422224,2578.744837760924,2293.138335418701,1.124548309158189,374.38199005126955,3.7438199005126953,144,1.099236641221374,0.4444444444444444,40.292888090014436,-28.664229192733764,1.405685386447736,1.9833784884876557,0.7628745771213786,7,2.548611111111111,132,0,0,0,6.746093217648606,29238;29258;29298;29324;29437;29449;29488;29503;29516;29560;29572;29589;29613;29691;29747;29762;30050;30066;30109;30196,39084;39131;39203;39425;39491;39596;39669;39681;39714;39736;39752;39788;39801;39816;39863;39931;39987;40147;40278;40290
f75b_0428,short,12,1.0,0.65,hv_q35_compression,cash_all,all58,58,hist_gbdt_l15,5.0,0.36302877992631377,4075,0.4233128834355828,1394,1108,465.5949181842801,4281.741695671082,3816.146777486801,1.1220065540799005,845.7239017486575,8.457239017486575,242,1.3224043715846994,0.4669421487603306,37.891519430717544,-29.58253315881241,1.280874738728382,1.9239459429102483,0.5505282719591994,8,2.3016528925619837,225,596.0288512229916,3383.7999319076534,2787.7710806846626,1.2138012175219959,382.24434776306157,3.8224434776306158,182,1.3893129770992367,0.45054945054945056,41.265852828142116,-27.877710806846626,1.480245387221946,3.2748837979285255,1.559287546594271,7,2.4175824175824174,159,0,0,0,6.705539567229387,29238;29258;29298;29311;29324;29425;29438;29450;29472;29498;29516;29551;29573;29589;29667;29679;29691;29731;29746;29762,39083;39131;39203;39311;39421;39472;39491;39653;39665;39680;39713;39736;39752;39785;39797;39810;39862;39918;39931;39962
