split,proxy_net_profit,runtime_net_profit,proxy_profit_factor,runtime_profit_factor,proxy_dd_percent,runtime_dd_percent,dd_delta_runtime_minus_proxy,proxy_trades_day,runtime_trades_day,signal_count_diff,feature_ready_diff,gap_cause
validation,2292.5432052135466,263.38,1.8814954073330719,1.94,2.646917434692373,3.59,0.9430825653076269,0.9016393442622951,0.6029411764705882,0,0,runtime_economics_gap_after_signal_and_feature_parity
oos,514.0272768974303,82.86,1.1963211125427256,1.29,5.602334429740907,14.62,9.017665570259092,1.0,0.6717948717948717,0,0,runtime_economics_gap_after_signal_and_feature_parity
