direction,horizon,target_atr_mult,stop_atr_mult,context_gate,session_gate,train_rows,train_positive,train_positive_rate,validation_rows,validation_positive,validation_positive_rate,oos_rows,oos_positive,oos_positive_rate
long,6,0.7,0.45,bw_q30_compression,cash_all,3432,1114,0.3245920745920746,1255,389,0.3099601593625498,1165,382,0.3278969957081545
long,6,0.7,0.45,bw_q30_compression,cash_open_120,1370,419,0.30583941605839415,647,210,0.32457496136012365,510,149,0.29215686274509806
long,6,0.7,0.45,bw_q30_compression,cash_late_150,864,275,0.31828703703703703,207,71,0.34299516908212563,268,88,0.3283582089552239
long,6,0.7,0.45,hv_q35_compression,cash_all,5616,2027,0.3609330484330484,1938,707,0.36480908152734776,1630,580,0.3558282208588957
long,6,0.7,0.45,hv_q35_compression,cash_open_120,2016,756,0.375,784,270,0.34438775510204084,695,239,0.34388489208633094
long,6,0.7,0.45,hv_q35_compression,cash_late_150,1027,361,0.35150925024342744,365,157,0.4301369863013699,227,73,0.32158590308370044
long,6,0.7,0.45,squeeze_or_atr_q35,cash_all,4890,1740,0.3558282208588957,1573,536,0.34075015893197713,1387,505,0.36409516943042536
long,6,0.7,0.45,squeeze_or_atr_q35,cash_open_120,457,160,0.350109409190372,220,63,0.2863636363636364,237,73,0.3080168776371308
long,6,0.7,0.45,squeeze_or_atr_q35,cash_late_150,2330,824,0.3536480686695279,665,243,0.36541353383458647,560,198,0.3535714285714286
short,6,0.7,0.45,bw_q30_compression,cash_all,3432,1321,0.38490675990675993,1255,474,0.3776892430278884,1165,448,0.384549356223176
short,6,0.7,0.45,bw_q30_compression,cash_open_120,1370,430,0.31386861313868614,647,195,0.30139103554868624,510,175,0.3431372549019608
short,6,0.7,0.45,bw_q30_compression,cash_late_150,864,387,0.4479166666666667,207,85,0.4106280193236715,268,118,0.44029850746268656
short,6,0.7,0.45,hv_q35_compression,cash_all,5616,2236,0.39814814814814814,1938,805,0.4153766769865841,1630,668,0.4098159509202454
short,6,0.7,0.45,hv_q35_compression,cash_open_120,2016,757,0.37549603174603174,784,322,0.4107142857142857,695,274,0.3942446043165468
short,6,0.7,0.45,hv_q35_compression,cash_late_150,1027,419,0.4079844206426485,365,145,0.3972602739726027,227,107,0.4713656387665198
short,6,0.7,0.45,squeeze_or_atr_q35,cash_all,4890,1989,0.4067484662576687,1573,637,0.4049586776859504,1387,555,0.4001441961067051
short,6,0.7,0.45,squeeze_or_atr_q35,cash_open_120,457,144,0.3150984682713348,220,82,0.37272727272727274,237,82,0.3459915611814346
short,6,0.7,0.45,squeeze_or_atr_q35,cash_late_150,2330,951,0.40815450643776824,665,263,0.3954887218045113,560,236,0.42142857142857143
long,12,1.0,0.65,bw_q30_compression,cash_all,2198,732,0.3330300272975432,697,196,0.2812051649928264,666,230,0.34534534534534533
long,12,1.0,0.65,bw_q30_compression,cash_open_120,1026,339,0.3304093567251462,407,129,0.31695331695331697,386,130,0.33678756476683935
long,12,1.0,0.65,bw_q30_compression,cash_late_150,339,114,0.336283185840708,64,13,0.203125,77,30,0.38961038961038963
long,12,1.0,0.65,hv_q35_compression,cash_all,4075,1457,0.35754601226993865,1394,486,0.3486370157819225,1108,377,0.34025270758122744
long,12,1.0,0.65,hv_q35_compression,cash_open_120,1620,636,0.3925925925925926,611,202,0.33060556464811786,528,165,0.3125
long,12,1.0,0.65,hv_q35_compression,cash_late_150,449,140,0.311804008908686,164,60,0.36585365853658536,89,27,0.30337078651685395
long,12,1.0,0.65,squeeze_or_atr_q35,cash_all,2936,1029,0.35047683923705725,958,315,0.3288100208768267,807,310,0.38413878562577447
long,12,1.0,0.65,squeeze_or_atr_q35,cash_open_120,385,147,0.38181818181818183,171,56,0.32748538011695905,218,86,0.3944954128440367
long,12,1.0,0.65,squeeze_or_atr_q35,cash_late_150,961,335,0.3485952133194589,274,95,0.3467153284671533,195,70,0.358974358974359
short,12,1.0,0.65,bw_q30_compression,cash_all,2198,927,0.42174704276615105,697,311,0.44619799139167865,666,259,0.3888888888888889
short,12,1.0,0.65,bw_q30_compression,cash_open_120,1026,397,0.38693957115009747,407,155,0.3808353808353808,386,138,0.35751295336787564
short,12,1.0,0.65,bw_q30_compression,cash_late_150,339,154,0.45427728613569324,64,32,0.5,77,34,0.44155844155844154
short,12,1.0,0.65,hv_q35_compression,cash_all,4075,1725,0.4233128834355828,1394,593,0.4253945480631277,1108,488,0.4404332129963899
short,12,1.0,0.65,hv_q35_compression,cash_open_120,1620,618,0.3814814814814815,611,261,0.42716857610474634,528,235,0.44507575757575757
short,12,1.0,0.65,hv_q35_compression,cash_late_150,449,207,0.4610244988864143,164,68,0.4146341463414634,89,41,0.4606741573033708
short,12,1.0,0.65,squeeze_or_atr_q35,cash_all,2936,1267,0.4315395095367847,958,439,0.4582463465553236,807,318,0.3940520446096654
short,12,1.0,0.65,squeeze_or_atr_q35,cash_open_120,385,141,0.36623376623376624,171,77,0.4502923976608187,218,74,0.3394495412844037
short,12,1.0,0.65,squeeze_or_atr_q35,cash_late_150,961,411,0.42767950052029136,274,123,0.4489051094890511,195,87,0.4461538461538462
long,18,1.25,0.8,bw_q30_compression,cash_all,1525,510,0.3344262295081967,454,127,0.27973568281938327,460,159,0.3456521739130435
long,18,1.25,0.8,bw_q30_compression,cash_open_120,811,280,0.34525277435265106,285,95,0.3333333333333333,314,112,0.35668789808917195
long,18,1.25,0.8,bw_q30_compression,cash_late_150,38,11,0.2894736842105263,8,2,0.25,6,4,0.6666666666666666
long,18,1.25,0.8,hv_q35_compression,cash_all,3076,1086,0.3530559167750325,1058,352,0.332703213610586,769,271,0.35240572171651496
long,18,1.25,0.8,hv_q35_compression,cash_open_120,1355,518,0.38228782287822877,501,157,0.313373253493014,377,120,0.3183023872679045
long,18,1.25,0.8,hv_q35_compression,cash_late_150,49,16,0.32653061224489793,20,9,0.45,15,7,0.4666666666666667
long,18,1.25,0.8,squeeze_or_atr_q35,cash_all,1763,602,0.34146341463414637,609,185,0.30377668308702793,523,204,0.390057361376673
long,18,1.25,0.8,squeeze_or_atr_q35,cash_open_120,318,129,0.4056603773584906,133,42,0.3157894736842105,202,78,0.38613861386138615
long,18,1.25,0.8,squeeze_or_atr_q35,cash_late_150,104,34,0.3269230769230769,33,12,0.36363636363636365,22,13,0.5909090909090909
short,18,1.25,0.8,bw_q30_compression,cash_all,1525,681,0.4465573770491803,454,220,0.4845814977973568,460,186,0.4043478260869565
short,18,1.25,0.8,bw_q30_compression,cash_open_120,811,346,0.42663378545006164,285,114,0.4,314,120,0.3821656050955414
short,18,1.25,0.8,bw_q30_compression,cash_late_150,38,19,0.5,8,5,0.625,6,1,0.16666666666666666
short,18,1.25,0.8,hv_q35_compression,cash_all,3076,1335,0.4340052015604681,1058,462,0.43667296786389415,769,325,0.4226267880364109
short,18,1.25,0.8,hv_q35_compression,cash_open_120,1355,532,0.392619926199262,501,221,0.4411177644710579,377,168,0.44562334217506633
short,18,1.25,0.8,hv_q35_compression,cash_late_150,49,16,0.32653061224489793,20,9,0.45,15,4,0.26666666666666666
short,18,1.25,0.8,squeeze_or_atr_q35,cash_all,1763,801,0.45433919455473626,609,306,0.5024630541871922,523,188,0.35946462715105165
short,18,1.25,0.8,squeeze_or_atr_q35,cash_open_120,318,130,0.4088050314465409,133,64,0.48120300751879697,202,69,0.3415841584158416
short,18,1.25,0.8,squeeze_or_atr_q35,cash_late_150,104,43,0.41346153846153844,33,14,0.42424242424242425,22,6,0.2727272727272727
