direction,horizon,target_atr_mult,stop_atr_mult,context_gate,session_gate,train_rows,train_positive,train_positive_rate,validation_rows,validation_positive,validation_positive_rate,oos_rows,oos_positive,oos_positive_rate
short,3,0.45,0.3,prior_bw_downshock,cash_all,1924,606,0.31496881496881496,795,266,0.33459119496855344,651,211,0.3241167434715822
short,3,0.45,0.3,prior_bw_downshock,cash_open_180,1067,295,0.27647610121836924,497,138,0.2776659959758551,381,109,0.28608923884514437
short,3,0.45,0.3,prior_bw_downshock,cash_mid_late,1141,415,0.3637160385626643,443,180,0.40632054176072235,382,139,0.36387434554973824
short,3,0.45,0.3,prior_bw_downshock,cash_late_150,560,195,0.3482142857142857,173,69,0.3988439306358382,173,65,0.37572254335260113
short,3,0.45,0.3,prior_hv_range_expand,cash_all,1759,589,0.33484934621944284,651,203,0.3118279569892473,539,175,0.3246753246753247
short,3,0.45,0.3,prior_hv_range_expand,cash_open_180,1399,457,0.32666190135811296,531,154,0.2900188323917137,467,151,0.3233404710920771
short,3,0.45,0.3,prior_hv_range_expand,cash_mid_late,1015,361,0.3556650246305419,370,131,0.35405405405405405,300,103,0.3433333333333333
short,3,0.45,0.3,prior_hv_range_expand,cash_late_150,211,77,0.36492890995260663,66,27,0.4090909090909091,29,11,0.3793103448275862
short,3,0.45,0.3,squeeze_exit_short,cash_all,633,217,0.34281200631911535,253,85,0.3359683794466403,222,68,0.3063063063063063
short,3,0.45,0.3,squeeze_exit_short,cash_open_180,352,94,0.26704545454545453,149,43,0.28859060402684567,143,41,0.2867132867132867
short,3,0.45,0.3,squeeze_exit_short,cash_mid_late,361,153,0.42382271468144045,130,50,0.38461538461538464,108,37,0.3425925925925926
short,3,0.45,0.3,squeeze_exit_short,cash_late_150,170,71,0.4176470588235294,56,23,0.4107142857142857,49,20,0.40816326530612246
short,3,0.45,0.3,prior_bw_di_release,cash_all,2460,791,0.32154471544715446,1014,302,0.2978303747534517,694,197,0.2838616714697406
short,3,0.45,0.3,prior_bw_di_release,cash_open_180,1405,405,0.28825622775800713,629,155,0.246422893481717,462,128,0.27705627705627706
short,3,0.45,0.3,prior_bw_di_release,cash_mid_late,1380,511,0.37028985507246376,544,192,0.35294117647058826,331,97,0.2930513595166163
short,3,0.45,0.3,prior_bw_di_release,cash_late_150,700,246,0.3514285714285714,208,79,0.3798076923076923,132,38,0.2878787878787879
short,3,0.45,0.3,repair_rule_score_q70,cash_all,6819,2140,0.31382900718580437,2416,747,0.3091887417218543,1758,552,0.31399317406143346
short,3,0.45,0.3,repair_rule_score_q70,cash_open_180,4845,1451,0.299484004127967,1666,463,0.27791116446578634,1311,403,0.30739893211289093
short,3,0.45,0.3,repair_rule_score_q70,cash_mid_late,3785,1330,0.3513870541611625,1394,483,0.3464849354375897,982,317,0.3228105906313646
short,3,0.45,0.3,repair_rule_score_q70,cash_late_150,1210,403,0.3330578512396694,446,168,0.37668161434977576,229,72,0.314410480349345
short,6,0.6,0.35,prior_bw_downshock,cash_all,1456,489,0.3358516483516483,572,208,0.36363636363636365,476,145,0.30462184873949577
short,6,0.6,0.35,prior_bw_downshock,cash_open_180,887,260,0.29312288613303267,390,123,0.3153846153846154,328,96,0.2926829268292683
short,6,0.6,0.35,prior_bw_downshock,cash_mid_late,784,305,0.38903061224489793,279,125,0.44802867383512546,233,76,0.3261802575107296
short,6,0.6,0.35,prior_bw_downshock,cash_late_150,353,139,0.3937677053824363,94,36,0.3829787234042553,86,28,0.32558139534883723
short,6,0.6,0.35,prior_hv_range_expand,cash_all,1487,513,0.3449899125756557,558,190,0.34050179211469533,484,166,0.34297520661157027
short,6,0.6,0.35,prior_hv_range_expand,cash_open_180,1233,418,0.33901054339010545,465,153,0.32903225806451614,431,144,0.33410672853828305
short,6,0.6,0.35,prior_hv_range_expand,cash_mid_late,823,301,0.36573511543134873,309,116,0.37540453074433655,259,95,0.3667953667953668
short,6,0.6,0.35,prior_hv_range_expand,cash_late_150,127,46,0.36220472440944884,48,21,0.4375,19,10,0.5263157894736842
short,6,0.6,0.35,squeeze_exit_short,cash_all,510,171,0.3352941176470588,197,72,0.36548223350253806,169,48,0.28402366863905326
short,6,0.6,0.35,squeeze_exit_short,cash_open_180,316,91,0.2879746835443038,128,41,0.3203125,128,37,0.2890625
short,6,0.6,0.35,squeeze_exit_short,cash_mid_late,259,104,0.4015444015444015,90,39,0.43333333333333335,63,17,0.2698412698412698
short,6,0.6,0.35,squeeze_exit_short,cash_late_150,105,38,0.3619047619047619,32,12,0.375,22,7,0.3181818181818182
short,6,0.6,0.35,prior_bw_di_release,cash_all,1887,653,0.3460519342872284,768,246,0.3203125,543,161,0.2965009208103131
