run_id,variant_id,queue_id,axis_id,split,entry_timestamp,exit_timestamp,entry_server_time,entry_month,entry_hour,entry_session,held_m5,side,entry_score,entry_confidence,entry_open,exit_open,net_profit,adx_14,short_probability_threshold,entry_margin_floor,bridge_policy,bridge_policy_value,materialized_policy,session_policy,side_policy,restore_policy,exit_reason,claim_boundary
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,selected_control_full_session_선택_대조_전체_세션__ps0_45__floor0_0__hold8,selected_control_full_session(선택 대조 전체 세션),control(대조),validation,2025-01-02T16:35:00Z,2025-01-02T16:55:00Z,2025-01-02 16:35:00,2025-01,16,us_premarket_cash_open(미국 프리마켓/현금장 초반),4,short,0.09371176362,0.461450457573,21014.82,21125.82,-11.4,29.897472381592,0.45,0.0,restore_march_non_hour16_margin,0.10,baseline_replay(기준 재생),all_sessions(전체 세션),all_sides(전체 방향),none(없음),reverse_on_opposite,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,selected_control_full_session_선택_대조_전체_세션__ps0_45__floor0_0__hold8,selected_control_full_session(선택 대조 전체 세션),control(대조),validation,2025-01-02T16:55:00Z,2025-01-02T17:35:00Z,2025-01-02 16:55:00,2025-01,16,us_premarket_cash_open(미국 프리마켓/현금장 초반),8,long,0.030444145203,0.41315433383,21125.82,21011.32,-11.75,34.130207061768,0.45,0.0,restore_march_non_hour16_margin,0.10,baseline_replay(기준 재생),all_sessions(전체 세션),all_sides(전체 방향),none(없음),close_max_hold,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,selected_control_full_session_선택_대조_전체_세션__ps0_45__floor0_0__hold8,selected_control_full_session(선택 대조 전체 세션),control(대조),validation,2025-01-02T17:40:00Z,2025-01-02T18:25:00Z,2025-01-02 17:40:00,2025-01,17,us_cash_core(미국 현금장 핵심),8,long,0.017920404672,0.395855605602,21001.19,21034.44,3.025,26.66756439209,0.45,0.0,restore_march_non_hour16_margin,0.10,baseline_replay(기준 재생),all_sessions(전체 세션),all_sides(전체 방향),none(없음),close_max_hold,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,selected_control_full_session_선택_대조_전체_세션__ps0_45__floor0_0__hold8,selected_control_full_session(선택 대조 전체 세션),control(대조),validation,2025-01-02T18:30:00Z,2025-01-02T19:10:00Z,2025-01-02 18:30:00,2025-01,18,us_cash_core(미국 현금장 핵심),8,long,0.002860158682,0.370954930782,21039.44,21035.82,-0.662,24.671987533569,0.45,0.0,restore_march_non_hour16_margin,0.10,baseline_replay(기준 재생),all_sessions(전체 세션),all_sides(전체 방향),none(없음),close_max_hold,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,selected_control_full_session_선택_대조_전체_세션__ps0_45__floor0_0__hold8,selected_control_full_session(선택 대조 전체 세션),control(대조),validation,2025-01-02T19:15:00Z,2025-01-02T19:40:00Z,2025-01-02 19:15:00,2025-01,19,us_cash_core(미국 현금장 핵심),5,long,0.008547455072,0.374250859022,21074.57,20803.69,-27.388,14.943484306335,0.45,0.0,restore_march_non_hour16_margin,0.10,baseline_replay(기준 재생),all_sessions(전체 세션),all_sides(전체 방향),none(없음),reverse_on_opposite,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,selected_control_full_session_선택_대조_전체_세션__ps0_45__floor0_0__hold8,selected_control_full_session(선택 대조 전체 세션),control(대조),validation,2025-01-02T19:40:00Z,2025-01-02T20:20:00Z,2025-01-02 19:40:00,2025-01,19,us_cash_core(미국 현금장 핵심),8,short,0.091021001339,0.455611795187,20803.69,20785.07,1.562,21.256195068359,0.45,0.0,restore_march_non_hour16_margin,0.10,baseline_replay(기준 재생),all_sessions(전체 세션),all_sides(전체 방향),none(없음),close_max_hold,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,selected_control_full_session_선택_대조_전체_세션__ps0_45__floor0_0__hold8,selected_control_full_session(선택 대조 전체 세션),control(대조),validation,2025-01-02T20:35:00Z,2025-01-02T20:45:00Z,2025-01-02 20:35:00,2025-01,20,us_cash_core(미국 현금장 핵심),2,short,0.092230916023,0.455204933882,20746.57,20810.32,-6.675,38.834133148193,0.45,0.0,restore_march_non_hour16_margin,0.10,baseline_replay(기준 재생),all_sessions(전체 세션),all_sides(전체 방향),none(없음),reverse_on_opposite,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,selected_control_full_session_선택_대조_전체_세션__ps0_45__floor0_0__hold8,selected_control_full_session(선택 대조 전체 세션),control(대조),validation,2025-01-02T20:45:00Z,2025-01-02T21:25:00Z,2025-01-02 20:45:00,2025-01,20,us_cash_core(미국 현금장 핵심),8,long,0.001992046833,0.367785185575,20810.32,20855.57,4.225,39.801902770996,0.45,0.0,restore_march_non_hour16_margin,0.10,baseline_replay(기준 재생),all_sessions(전체 세션),all_sides(전체 방향),none(없음),close_max_hold,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,selected_control_full_session_선택_대조_전체_세션__ps0_45__floor0_0__hold8,selected_control_full_session(선택 대조 전체 세션),control(대조),validation,2025-01-03T16:35:00Z,2025-01-03T17:15:00Z,2025-01-03 16:35:00,2025-01,16,us_premarket_cash_open(미국 프리마켓/현금장 초반),8,long,0.010744303465,0.372797101736,21079.29,21097.04,1.475,22.78332901001,0.45,0.0,restore_march_non_hour16_margin,0.10,baseline_replay(기준 재생),all_sessions(전체 세션),all_sides(전체 방향),none(없음),close_max_hold,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,selected_control_full_session_선택_대조_전체_세션__ps0_45__floor0_0__hold8,selected_control_full_session(선택 대조 전체 세션),control(대조),validation,2025-01-03T17:20:00Z,2025-01-03T18:00:00Z,2025-01-03 17:20:00,2025-01,17,us_cash_core(미국 현금장 핵심),8,long,0.018581986427,0.389793932438,21071.66,21124.66,5.0,26.12163734436,0.45,0.0,restore_march_non_hour16_margin,0.10,baseline_replay(기준 재생),all_sessions(전체 세션),all_sides(전체 방향),none(없음),close_max_hold,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
