symbol,broker_symbol,required_for_core58,required_for_macro48,row_count_summary,row_count_csv,first_open_utc,last_open_utc,last_close_utc,requested_to_utc,end_gap_hours,feature_rebuild_readiness,timezone_status,duplicate_open_times,non_monotonic_steps,largest_gap_seconds,csv_path,manifest_path
US100,US100,yes,yes,8232,8232,2026-04-14T01:00:00Z,2026-05-25T19:55:00Z,2026-05-25T20:00:00Z,2026-05-25T21:05:00Z,1.17,covers_requested_end,UNRESOLVED_REQUIRES_MANUAL_BINDING,0,0,176700,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/US100/bars_us100_m5_mt5api_raw.csv,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/US100/bars_us100_m5_mt5api_raw.manifest.json
VIX,VIX,yes,yes,7357,7357,2026-04-14T01:00:00Z,2026-05-25T18:25:00Z,2026-05-25T18:30:00Z,2026-05-25T21:05:00Z,2.67,covers_requested_end,UNRESOLVED_REQUIRES_MANUAL_BINDING,0,0,177000,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/VIX/bars_vix_m5_mt5api_raw.csv,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/VIX/bars_vix_m5_mt5api_raw.manifest.json
US10YR,US10YR,yes,yes,6567,6567,2026-04-14T01:00:00Z,2026-05-25T19:55:00Z,2026-05-25T20:00:00Z,2026-05-25T21:05:00Z,1.17,covers_requested_end,UNRESOLVED_REQUIRES_MANUAL_BINDING,0,0,176700,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/US10YR/bars_us10yr_m5_mt5api_raw.csv,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/US10YR/bars_us10yr_m5_mt5api_raw.manifest.json
USDX,USDX,yes,yes,7520,7520,2026-04-14T03:00:00Z,2026-05-25T21:05:00Z,2026-05-25T21:10:00Z,2026-05-25T21:05:00Z,0.0,covers_requested_end,UNRESOLVED_REQUIRES_MANUAL_BINDING,0,0,184200,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/USDX/bars_usdx_m5_mt5api_raw.csv,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/USDX/bars_usdx_m5_mt5api_raw.manifest.json
NVDA,NVDA.xnas,yes,no,2262,2262,2026-04-14T16:30:00Z,2026-05-22T22:55:00Z,2026-05-22T23:00:00Z,2026-05-25T21:05:00Z,70.17,requires_equity_session_calendar_or_common_ready_end_trim,UNRESOLVED_REQUIRES_MANUAL_BINDING,0,0,236100,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/NVDA/bars_nvda_xnas_m5_mt5api_raw.csv,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/NVDA/bars_nvda_xnas_m5_mt5api_raw.manifest.json
AAPL,AAPL.xnas,yes,no,2262,2262,2026-04-14T16:30:00Z,2026-05-22T22:55:00Z,2026-05-22T23:00:00Z,2026-05-25T21:05:00Z,70.17,requires_equity_session_calendar_or_common_ready_end_trim,UNRESOLVED_REQUIRES_MANUAL_BINDING,0,0,236100,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/AAPL/bars_aapl_xnas_m5_mt5api_raw.csv,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/AAPL/bars_aapl_xnas_m5_mt5api_raw.manifest.json
MSFT,MSFT.xnas,yes,no,2262,2262,2026-04-14T16:30:00Z,2026-05-22T22:55:00Z,2026-05-22T23:00:00Z,2026-05-25T21:05:00Z,70.17,requires_equity_session_calendar_or_common_ready_end_trim,UNRESOLVED_REQUIRES_MANUAL_BINDING,0,0,236100,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/MSFT/bars_msft_xnas_m5_mt5api_raw.csv,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/MSFT/bars_msft_xnas_m5_mt5api_raw.manifest.json
AMZN,AMZN.xnas,yes,no,2262,2262,2026-04-14T16:30:00Z,2026-05-22T22:55:00Z,2026-05-22T23:00:00Z,2026-05-25T21:05:00Z,70.17,requires_equity_session_calendar_or_common_ready_end_trim,UNRESOLVED_REQUIRES_MANUAL_BINDING,0,0,236100,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/AMZN/bars_amzn_xnas_m5_mt5api_raw.csv,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/AMZN/bars_amzn_xnas_m5_mt5api_raw.manifest.json
AMD,AMD.xnas,yes,no,2262,2262,2026-04-14T16:30:00Z,2026-05-22T22:55:00Z,2026-05-22T23:00:00Z,2026-05-25T21:05:00Z,70.17,requires_equity_session_calendar_or_common_ready_end_trim,UNRESOLVED_REQUIRES_MANUAL_BINDING,0,0,236100,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/AMD/bars_amd_xnas_m5_mt5api_raw.csv,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/AMD/bars_amd_xnas_m5_mt5api_raw.manifest.json
GOOGL.xnas,GOOGL.xnas,yes,no,2262,2262,2026-04-14T16:30:00Z,2026-05-22T22:55:00Z,2026-05-22T23:00:00Z,2026-05-25T21:05:00Z,70.17,requires_equity_session_calendar_or_common_ready_end_trim,UNRESOLVED_REQUIRES_MANUAL_BINDING,0,0,236100,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/GOOGL.xnas/bars_googl_xnas_m5_mt5api_raw.csv,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/GOOGL.xnas/bars_googl_xnas_m5_mt5api_raw.manifest.json
META,META.xnas,yes,no,2262,2262,2026-04-14T16:30:00Z,2026-05-22T22:55:00Z,2026-05-22T23:00:00Z,2026-05-25T21:05:00Z,70.17,requires_equity_session_calendar_or_common_ready_end_trim,UNRESOLVED_REQUIRES_MANUAL_BINDING,0,0,236100,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/META/bars_meta_xnas_m5_mt5api_raw.csv,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/META/bars_meta_xnas_m5_mt5api_raw.manifest.json
