record_view,tier_scope,candidate_id,candidate_alias,candidate_role,source_test_id,state_profile,source_followup_profile,second_followup_profile,pressure_group,materialization_boundary,tier_pair_boundary,route_role,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,slice_read
mt5_ta_s264_aih_range_expansion_pressure_aw_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,range_expansion_pressure,core_range_resilience_pressure_v2,core_range_volatility_interaction_v3,core_challenger_second_pressure,pool_wide_state_feature_engineering_second_followup_pressure_not_retrained_Tier_A_only,Tier_B_and_actual_routed_total_blocked_until_true_fallback_manifest_exists,tier_only_total,month,2024-01,14,57.58,78.12,-20.54,3.803311,4.112857,0.642857,8.68,-4.108,2.11295,19.68,3.688225,4,0.428571,3,2.925813,measured_slice(측정 구간)
mt5_ta_s264_aih_range_expansion_pressure_aw_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,range_expansion_pressure,core_range_resilience_pressure_v2,core_range_volatility_interaction_v3,core_challenger_second_pressure,pool_wide_state_feature_engineering_second_followup_pressure_not_retrained_Tier_A_only,Tier_B_and_actual_routed_total_blocked_until_true_fallback_manifest_exists,tier_only_total,month,2024-02,12,141.47,149.15,-7.68,19.420573,11.789167,0.75,16.572222,-2.56,6.473524,3.54,0.68022,1,0.25,1,39.963277,measured_slice(측정 구간)
mt5_ta_s264_aih_range_expansion_pressure_aw_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,range_expansion_pressure,core_range_resilience_pressure_v2,core_range_volatility_interaction_v3,core_challenger_second_pressure,pool_wide_state_feature_engineering_second_followup_pressure_not_retrained_Tier_A_only,Tier_B_and_actual_routed_total_blocked_until_true_fallback_manifest_exists,tier_only_total,month,2024-03,12,52.83,75.66,-22.83,3.31406,4.4025,0.583333,10.808571,-4.566,2.367186,7.3,1.404521,2,0.5,2,7.236986,measured_slice(측정 구간)
mt5_ta_s264_aih_range_expansion_pressure_aw_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,range_expansion_pressure,core_range_resilience_pressure_v2,core_range_volatility_interaction_v3,core_challenger_second_pressure,pool_wide_state_feature_engineering_second_followup_pressure_not_retrained_Tier_A_only,Tier_B_and_actual_routed_total_blocked_until_true_fallback_manifest_exists,tier_only_total,month,2024-04,28,16.69,152.02,-135.33,1.123328,0.596071,0.464286,11.693846,-9.022,1.296148,44.4,8.031257,12,0.821429,4,0.375901,measured_slice(측정 구간)
mt5_ta_s264_aih_range_expansion_pressure_aw_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,range_expansion_pressure,core_range_resilience_pressure_v2,core_range_volatility_interaction_v3,core_challenger_second_pressure,pool_wide_state_feature_engineering_second_followup_pressure_not_retrained_Tier_A_only,Tier_B_and_actual_routed_total_blocked_until_true_fallback_manifest_exists,tier_only_total,month,2024-05,12,45.8,86.17,-40.37,2.134506,3.816667,0.666667,10.77125,-10.0925,1.067253,25.04,4.825035,5,0.583333,2,1.829073,measured_slice(측정 구간)
mt5_ta_s264_aih_range_expansion_pressure_aw_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,range_expansion_pressure,core_range_resilience_pressure_v2,core_range_volatility_interaction_v3,core_challenger_second_pressure,pool_wide_state_feature_engineering_second_followup_pressure_not_retrained_Tier_A_only,Tier_B_and_actual_routed_total_blocked_until_true_fallback_manifest_exists,tier_only_total,month,2024-06,11,-24.29,69.72,-94.01,0.741623,-2.208182,0.363636,17.43,-13.43,1.297841,48.18,9.196587,5,0.818182,3,-0.504151,minor_negative_slice(작은 음수 구간)
mt5_ta_s264_aih_range_expansion_pressure_aw_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,range_expansion_pressure,core_range_resilience_pressure_v2,core_range_volatility_interaction_v3,core_challenger_second_pressure,pool_wide_state_feature_engineering_second_followup_pressure_not_retrained_Tier_A_only,Tier_B_and_actual_routed_total_blocked_until_true_fallback_manifest_exists,tier_only_total,month,2024-07,37,7.57,186.0,-178.43,1.042426,0.204595,0.567568,8.857143,-11.151875,0.794229,66.12,13.224,29,0.945946,5,0.114489,measured_slice(측정 구간)
mt5_ta_s264_aih_range_expansion_pressure_aw_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,range_expansion_pressure,core_range_resilience_pressure_v2,core_range_volatility_interaction_v3,core_challenger_second_pressure,pool_wide_state_feature_engineering_second_followup_pressure_not_retrained_Tier_A_only,Tier_B_and_actual_routed_total_blocked_until_true_fallback_manifest_exists,tier_only_total,month,2024-08,43,24.0,243.04,-219.04,1.109569,0.55814,0.55814,10.126667,-11.528421,0.878409,72.34,12.888168,27,0.837209,3,0.331767,measured_slice(측정 구간)
mt5_ta_s264_aih_range_expansion_pressure_aw_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,range_expansion_pressure,core_range_resilience_pressure_v2,core_range_volatility_interaction_v3,core_challenger_second_pressure,pool_wide_state_feature_engineering_second_followup_pressure_not_retrained_Tier_A_only,Tier_B_and_actual_routed_total_blocked_until_true_fallback_manifest_exists,tier_only_total,month,2024-09,33,153.9,261.82,-107.92,2.426056,4.663636,0.666667,11.900909,-9.810909,1.213028,44.62,7.479299,10,0.575758,3,3.449126,measured_slice(측정 구간)
mt5_ta_s264_aih_range_expansion_pressure_aw_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,range_expansion_pressure,core_range_resilience_pressure_v2,core_range_volatility_interaction_v3,core_challenger_second_pressure,pool_wide_state_feature_engineering_second_followup_pressure_not_retrained_Tier_A_only,Tier_B_and_actual_routed_total_blocked_until_true_fallback_manifest_exists,tier_only_total,month,2024-10,25,248.5,323.59,-75.09,4.309362,9.94,0.6,21.572667,-7.509,2.872908,41.05,5.983354,9,0.64,4,6.053593,measured_slice(측정 구간)
