candidate_id,candidate_alias,candidate_role,state_profile,source_followup_profile,second_followup_profile,pressure_group,record_view,net_profit,source_followup_net_profit,net_delta_vs_source_followup,base_2024_net_profit,net_delta_vs_base_2024,profit_factor,source_followup_profit_factor,pf_delta_vs_source_followup,trade_count,source_followup_trade_count,trade_delta_vs_source_followup,expectancy,report_equity_drawdown_percent,source_followup_dd_percent,dd_delta_vs_source_followup,recovery_factor,source_followup_recovery_factor,positive_month_ratio,negative_month_count,worst_month,worst_month_net,source_followup_worst_month,source_followup_worst_month_net,worst_month_delta_vs_source,best_month,best_month_net,chron_early_net,chron_mid_net,chron_late_net,worst_slice_axis,worst_slice_bucket,worst_slice_net,worst_slice_trade_count,source_chart_path,fragility_flags,curve_read,decision_read,selection_boundary
s264_allow_inner_high_quarter,s264_aih,challenger_core,volatility_regime_expansion,core_volatility_resilience_pressure_v2,core_volatility_range_interaction_v3,core_challenger_second_pressure,mt5_ta_s264_aih_volatility_regime_expans_aw_historical_2024_tier_a_train_era_stress,1153.72,1272.69,-118.97,95.56,1058.16,1.737399,1.676233,0.061166,275,296,-21.0,4.195345,16.65,17.76,-1.11,3.52,3.37,0.833333,2,2024-12,-232.8,2024-12,-270.97,38.17,2024-10,317.91,396.34,261.16,496.22,month,2024-12,-232.8,23,.,month_hole(월별 구멍);deep_slice_hole(깊은 구간 구멍),headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편),headline_or_mixed_with_slice_hole_no_selection,not_candidate_selection(후보 선택 아님)
s258_short_tight_control,s258_stc,stress_challenger,trend_strength_disagreement,stress_challenger_trend_prune_pressure_v2,stress_challenger_trend_strict_prune_v3,stress_challenger_prune_or_rescue,mt5_ta_s258_stc_trend_strength_disagreem_aw_historical_2024_tier_a_train_era_stress,1133.45,1175.1,-41.65,102.89,1030.56,1.58478,1.566122,0.018658,293,303,-10.0,3.86843,16.53,17.13,-0.6,3.66,3.55,0.833333,2,2024-12,-167.46,2024-12,-183.11,15.65,2024-11,284.88,535.59,172.6,425.26,weekday,Monday,-283.04,42,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AX/pool_wide_state_feature_engineering_second_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AW_stage267_pool_wide_state_feature_engineering_second_followup_materialization_v1_run267aw_p08_s258_stc_trend_strict_prune_ta_2024.png,month_hole(월별 구멍);deep_slice_hole(깊은 구간 구멍);pf_watch(수익 팩터 관찰),"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)",headline_or_mixed_with_slice_hole_no_selection,not_candidate_selection(후보 선택 아님)
s264_lowrank_control,s264_lc,defensive_control,volatility_regime_expansion,defensive_control_volatility_audit_v1,defensive_control_repeat_audit_v2,defensive_control_repeat_audit,mt5_ta_s264_lc_volatility_regime_expans_aw_historical_2024_tier_a_train_era_stress,1052.2,1218.34,-166.14,71.34,980.86,1.667517,1.69414,-0.026623,278,289,-11.0,3.784892,16.83,17.0,-0.17,3.42,3.54,0.833333,2,2024-12,-202.41,2024-12,-222.7,20.29,2024-11,284.94,394.91,205.22,452.07,weekday,Monday,-233.05,43,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AX/pool_wide_state_feature_engineering_second_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AW_stage267_pool_wide_state_feature_engineering_second_followup_materialization_v1_run267aw_p05_s264_lc_control_repeat_audit_ta_2024.png,month_hole(월별 구멍);deep_slice_hole(깊은 구간 구멍);source_net_regression(원천 후속 대비 순수익 후퇴),headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편),headline_or_mixed_with_slice_hole_no_selection,not_candidate_selection(후보 선택 아님)
s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,range_expansion_pressure,oos_anchor_dd_resilience_pressure_v2,oos_anchor_range_dd_conservative_v3,oos_anchor_adapter_watch_gate,mt5_ta_s264_aia_range_expansion_pressure_aw_historical_2024_tier_a_train_era_stress,1037.6,1065.48,-27.88,87.07,950.53,1.63955,1.627277,0.012273,287,296,-9.0,3.615331,14.11,14.57,-0.46,4.23,4.11,0.75,3,2024-12,-137.26,2024-12,-145.72,8.46,2024-11,276.15,417.96,182.66,436.98,weekday,Monday,-260.2,43,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AX/pool_wide_state_feature_engineering_second_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AW_stage267_pool_wide_state_feature_engineering_second_followup_materialization_v1_run267aw_p03_s264_aia_range_dd_watch_ta_2024.png,deep_slice_hole(깊은 구간 구멍),"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)",headline_or_mixed_with_slice_hole_no_selection,not_candidate_selection(후보 선택 아님)
s262_lowrank_inner_half_filter,s262_lih,validation_heavy,volatility_regime_expansion,validation_control_volatility_audit_v1,validation_control_repeat_audit_v2,validation_control_repeat_audit,mt5_ta_s262_lih_volatility_regime_expans_aw_historical_2024_tier_a_train_era_stress,1007.16,1127.57,-120.41,44.49,962.67,1.586646,1.609692,-0.023046,283,288,-5.0,3.558869,16.98,17.24,-0.26,3.35,3.41,0.75,3,2024-12,-192.32,2024-12,-216.59,24.27,2024-11,285.16,432.53,185.31,389.32,weekday,Monday,-245.93,44,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AX/pool_wide_state_feature_engineering_second_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AW_stage267_pool_wide_state_feature_engineering_second_followup_materialization_v1_run267aw_p06_s262_lih_control_repeat_audit_ta_2024.png,month_hole(월별 구멍);deep_slice_hole(깊은 구간 구멍);pf_watch(수익 팩터 관찰);source_net_regression(원천 후속 대비 순수익 후퇴),headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편),headline_or_mixed_with_slice_hole_no_selection,not_candidate_selection(후보 선택 아님)
s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,return_shock_absorption,oos_anchor_shock_resilience_pressure_v2,oos_anchor_shock_range_conservative_v3,oos_anchor_adapter_watch_gate,mt5_ta_s264_aia_return_shock_absorption_aw_historical_2024_tier_a_train_era_stress,949.94,1062.17,-112.23,87.07,862.87,1.661288,1.650752,0.010536,282,293,-11.0,3.368582,14.48,13.71,0.77,3.97,4.39,0.833333,2,2024-12,-150.63,2024-12,-141.61,-9.02,2024-11,271.8,338.6,163.15,448.19,weekday,Monday,-192.83,39,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AX/pool_wide_state_feature_engineering_second_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AW_stage267_pool_wide_state_feature_engineering_second_followup_materialization_v1_run267aw_p04_s264_aia_shock_range_watch_ta_2024.png,deep_slice_hole(깊은 구간 구멍),"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)",headline_or_mixed_with_slice_hole_no_selection,not_candidate_selection(후보 선택 아님)
s258_short_tight_control,s258_stc,stress_challenger,volatility_regime_expansion,stress_challenger_volatility_prune_pressure_v2,stress_challenger_volatility_strict_prune_v3,stress_challenger_prune_or_rescue,mt5_ta_s258_stc_volatility_regime_expans_aw_historical_2024_tier_a_train_era_stress,878.2,905.51,-27.31,102.89,775.31,1.567009,1.496322,0.070687,255,268,-13.0,3.443922,16.54,19.87,-3.33,3.43,2.7,0.833333,2,2024-12,-88.28,2024-12,-195.06,106.78,2024-02,195.19,440.79,137.18,300.23,weekday,Monday,-242.66,38,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AX/pool_wide_state_feature_engineering_second_followup_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AW_stage267_pool_wide_state_feature_engineering_second_followup_materialization_v1_run267aw_p07_s258_stc_volatility_strict_prune_ta_2024.png,deep_slice_hole(깊은 구간 구멍);trade_count_watch(거래 수 관찰);pf_watch(수익 팩터 관찰),"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)",headline_or_mixed_with_slice_hole_no_selection,not_candidate_selection(후보 선택 아님)
s264_allow_inner_high_quarter,s264_aih,challenger_core,range_expansion_pressure,core_range_resilience_pressure_v2,core_range_volatility_interaction_v3,core_challenger_second_pressure,mt5_ta_s264_aih_range_expansion_pressure_aw_historical_2024_tier_a_train_era_stress,822.06,1021.47,-199.41,95.56,726.5,1.593618,1.591769,0.001849,281,301,-20.0,2.92548,15.46,16.64,-1.18,3.47,3.43,0.833333,2,2024-12,-173.14,2024-12,-216.75,43.61,2024-11,271.15,273.95,144.28,403.83,weekday,Monday,-213.14,42,.,month_hole(월별 구멍);deep_slice_hole(깊은 구간 구멍);pf_watch(수익 팩터 관찰);source_net_regression(원천 후속 대비 순수익 후퇴),"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)",headline_or_mixed_with_slice_hole_no_selection,not_candidate_selection(후보 선택 아님)
