receipt_id,variant_id,attempt_name,candidate_alias,feature_order_hash,model_sha256,set_sha256,ini_sha256,handoff_status,runtime_claim,claim_boundary
run267dh_handoff_run267dh_01_s264_aia_similar_survivor_gate_ta_2024,run267dh_01_s264_aia_similar_survivor_gate,run267dh_01_s264_aia_similar_survivor_gate_ta_2024,s264_aia,fe19678f6370864a8773352f2abb592dcec21ab68d2f0bbd5088bc6a63724c0a,55885cba2c3a74dedb09be45d440fe2179401f54036d0f85ab17906c45a24f64,5978a257da850cb78d47ca5f40a55f15a512408005471256e7930e9b47a3b318,cc91569d7723507118afc2bc0b3f4b669c17fef3c8ad8b57ec74fd197ee30e2e,model_feature_set_ini_manifest_ready,not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dh_handoff_run267dh_01_s264_aia_similar_survivor_gate_rt_2024,run267dh_01_s264_aia_similar_survivor_gate,run267dh_01_s264_aia_similar_survivor_gate_rt_2024,s264_aia,fe19678f6370864a8773352f2abb592dcec21ab68d2f0bbd5088bc6a63724c0a,55885cba2c3a74dedb09be45d440fe2179401f54036d0f85ab17906c45a24f64,e3d7b3ed6958d09585913978436d96636b11ca1ccb584eb2a9ff67937be8a1c8,993150e0db8f930e073e43cfa542b3a2326f170c71d62d07f9bbdca04606bec6,model_feature_set_ini_manifest_ready,not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dh_handoff_run267dh_02_s264_aia_ablation_survivor_gate_ta_2024,run267dh_02_s264_aia_ablation_survivor_gate,run267dh_02_s264_aia_ablation_survivor_gate_ta_2024,s264_aia,fe19678f6370864a8773352f2abb592dcec21ab68d2f0bbd5088bc6a63724c0a,55885cba2c3a74dedb09be45d440fe2179401f54036d0f85ab17906c45a24f64,58673d0cbe4318adb28d848c8d1f0624f967d6bb6a1ab9ad5d4aab89f16b526c,b6ce5d286c8c103d1653d248cfb5713512ffbe08d6c0521d1eb8207367b4e31f,model_feature_set_ini_manifest_ready,not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dh_handoff_run267dh_02_s264_aia_ablation_survivor_gate_rt_2024,run267dh_02_s264_aia_ablation_survivor_gate,run267dh_02_s264_aia_ablation_survivor_gate_rt_2024,s264_aia,fe19678f6370864a8773352f2abb592dcec21ab68d2f0bbd5088bc6a63724c0a,55885cba2c3a74dedb09be45d440fe2179401f54036d0f85ab17906c45a24f64,e4989c28c919ab4174a94f2ad2697cd52a8f70a84d109146e61fbb21be7603f6,b348e7b4305d162fe01738d3018ada4e0802de82b70e9d7afd90c967b072513d,model_feature_set_ini_manifest_ready,not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dh_handoff_run267dh_03_s262_lih_validation_control_crosscheck_ta_2024,run267dh_03_s262_lih_validation_control_crosscheck,run267dh_03_s262_lih_validation_control_crosscheck_ta_2024,s262_lih,c4888e6881df4313ec47f6021274acb1e5833074a8f947122ce2ce453f2c014c,04f9c0abc688c30bd962ff8e22f1cbb9f996d0e0411a8a33870e582c82af8da8,bf11becc7393a95f0830e7e72f2f625c4f7ed3879992d0d8e6b5abdff33152e0,a31cc5719b4135c6da12da04ba78296505aa54ea9595e935beb01e45692b78c4,model_feature_set_ini_manifest_ready,not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dh_handoff_run267dh_03_s262_lih_validation_control_crosscheck_rt_2024,run267dh_03_s262_lih_validation_control_crosscheck,run267dh_03_s262_lih_validation_control_crosscheck_rt_2024,s262_lih,c4888e6881df4313ec47f6021274acb1e5833074a8f947122ce2ce453f2c014c,04f9c0abc688c30bd962ff8e22f1cbb9f996d0e0411a8a33870e582c82af8da8,2ddc8f9e016becf8968b11a512f199c45fb1fe731f4b5fd2581a7d59d26005ca,b97bbab0ce3c7123c0944bd0f721ecf7c6df4b51757af434042dedad9c606632,model_feature_set_ini_manifest_ready,not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dh_handoff_run267dh_04_s258_stc_2023h2_thin_supply_impulse_ta_2023h2,run267dh_04_s258_stc_2023h2_thin_supply_impulse,run267dh_04_s258_stc_2023h2_thin_supply_impulse_ta_2023h2,s258_stc,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,2e75650efe9dba62b9dc31f1aaba5cf1506ac00c24313264535403021599975b,d1f21b59a679805a3d5b17a833354f9b78e436a8333e736339df5b77ec169f5d,model_feature_set_ini_manifest_ready,not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dh_handoff_run267dh_05_s258_stc_2025h1_thin_supply_impulse_ta_2025h1,run267dh_05_s258_stc_2025h1_thin_supply_impulse,run267dh_05_s258_stc_2025h1_thin_supply_impulse_ta_2025h1,s258_stc,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,badfd91fb61afa43d65e6270f2cc92a4e2268208f44e129b8f9556384191dbfd,639ad5c1512e1c9635eaad2dfbd72791d70df10eee843fb8968832b5082abdc7,model_feature_set_ini_manifest_ready,not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dh_handoff_run267dh_06_s258_stc_2025h2_thin_supply_impulse_ta_2025h2,run267dh_06_s258_stc_2025h2_thin_supply_impulse,run267dh_06_s258_stc_2025h2_thin_supply_impulse_ta_2025h2,s258_stc,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,26fd7bcec1945fbe2ad6a7ceb80f8ba2fb74dbf3cf02067dfdcf0ab0692f72ac,bbee39978e7ce61814f8e65997d48c97bbaa82e549dfa35015eec70d7457c2de,863671554740884e79f9d344c113ff70a11384e5b9922b1398b7d148bb058bae,model_feature_set_ini_manifest_ready,not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dh_handoff_run267dh_07_s264_lc_weekday_dd_deescalation_ta_2024,run267dh_07_s264_lc_weekday_dd_deescalation,run267dh_07_s264_lc_weekday_dd_deescalation_ta_2024,s264_lc,49d5799544950b0a59ed0df05f2362b142a554e690aa63f7b0ab148332178232,72614e6cbb6ca93062386ae93c47311c34c3e22cf85e4c6f1b5ac612add250ba,4524a516bc2b635a09439c72c3e396338990f836cd55e583f302488d3988b7f0,efb67f7315316076018302100e537d57b110f6dc27a952e335ef58f7d05de84f,model_feature_set_ini_manifest_ready,not_claimed,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
