variant_id,queue_id,candidate_alias,engineered_feature,source_component,transform,weight,q25,q50,q75,component_status,threshold_source,source_run_id
run267cz_01_s258_stc_explosive_second,cy_q02_explosive_combo_cross_period_prune_gate,s258_stc,stage267cz_explosive_second_survival_score,stage267cv_explosive_shock_state_combo_score,raw,0.24,0.0984356747749,0.256439083105,0.431341528555,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only,run267CV_stage267_shared_weakness_breakout_followup_or_prune_materialization_v1
run267cz_01_s258_stc_explosive_second,cy_q02_explosive_combo_cross_period_prune_gate,s258_stc,stage267cz_explosive_second_survival_score,stage267cr_state_phase_monday_replacement_score,raw,0.14,0,0,0,missing_component_zero_filled,blocked_component_receipt_no_future_trade_result,run267CV_stage267_shared_weakness_breakout_followup_or_prune_materialization_v1
run267cz_01_s258_stc_explosive_second,cy_q02_explosive_combo_cross_period_prune_gate,s258_stc,stage267cz_explosive_second_survival_score,stage267cn_shared_weakness_state_interaction_score,raw,0.12,0.293518842901,0.469098491782,0.666551805122,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only,run267CV_stage267_shared_weakness_breakout_followup_or_prune_materialization_v1
run267cz_01_s258_stc_explosive_second,cy_q02_explosive_combo_cross_period_prune_gate,s258_stc,stage267cz_explosive_second_survival_score,stage267cf_volatility_energy_transition_score,raw,0.11,0.263605897379,0.48672353015,0.691140165766,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only,run267CV_stage267_shared_weakness_breakout_followup_or_prune_materialization_v1
run267cz_01_s258_stc_explosive_second,cy_q02_explosive_combo_cross_period_prune_gate,s258_stc,stage267cz_explosive_second_survival_score,return_zscore_20,abs,0.1,0.310194760561,0.676886975765,1.18894177675,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only,run267CV_stage267_shared_weakness_breakout_followup_or_prune_materialization_v1
run267cz_01_s258_stc_explosive_second,cy_q02_explosive_combo_cross_period_prune_gate,s258_stc,stage267cz_explosive_second_survival_score,atr_14_over_atr_50,raw,0.09,1.10512930154,1.27963316441,1.47756314278,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only,run267CV_stage267_shared_weakness_breakout_followup_or_prune_materialization_v1
run267cz_01_s258_stc_explosive_second,cy_q02_explosive_combo_cross_period_prune_gate,s258_stc,stage267cz_explosive_second_survival_score,gap_percent,abs,0.08,0,8.45897284307e-06,1.90215523616e-05,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only,run267CV_stage267_shared_weakness_breakout_followup_or_prune_materialization_v1
run267cz_01_s258_stc_explosive_second,cy_q02_explosive_combo_cross_period_prune_gate,s258_stc,stage267cz_explosive_second_survival_score,bb_position_20,abs_center_0_5,0.05,0.148229032755,0.284953594208,0.412794105709,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only,run267CV_stage267_shared_weakness_breakout_followup_or_prune_materialization_v1
run267cz_01_s258_stc_explosive_second,cy_q02_explosive_combo_cross_period_prune_gate,s258_stc,stage267cz_explosive_second_survival_score,log_return_1_negative_rolling_24,rolling_negative_state_pressure,0.07,0.416666666667,0.5,0.583333333333,ok,closed_bar_history_no_future_trade_result,run267CV_stage267_shared_weakness_breakout_followup_or_prune_materialization_v1
run267cz_02_s264_aia_explosive_second,cy_q02_explosive_combo_cross_period_prune_gate,s264_aia,stage267cz_explosive_second_survival_score,stage267cv_explosive_shock_state_combo_score,raw,0.24,0.104874736973,0.272705126806,0.442950001446,ok,candidate_source_feature_quantiles_current_and_prior_closed_bar_state_only,run267CV_stage267_shared_weakness_breakout_followup_or_prune_materialization_v1
