rule_id,split,month,trade_count,trade_share,net_profit,net_profit_share,profit_factor
baseline_all_trades,oos,2025-10,12,0.235294,75.35,1.202713,2.544374
baseline_all_trades,oos,2025-11,3,0.058824,24.48,0.390742,1.827027
baseline_all_trades,oos,2025-12,11,0.215686,-23.6,-0.376696,0.516096
baseline_all_trades,oos,2026-01,11,0.215686,-12.27,-0.19585,0.768709
baseline_all_trades,oos,2026-02,2,0.039216,44.08,0.703591,
baseline_all_trades,oos,2026-03,7,0.137255,-52.18,-0.832881,0.335202
baseline_all_trades,oos,2026-04,5,0.098039,6.79,0.10838,1.327703
baseline_all_trades,validation,2025-01,6,0.077922,38.82,0.186626,1.917948
baseline_all_trades,validation,2025-02,7,0.090909,-7.6,-0.036537,0.724238
baseline_all_trades,validation,2025-03,3,0.038961,-12.13,-0.058315,0.239498
baseline_all_trades,validation,2025-04,1,0.012987,9.72,0.046729,
baseline_all_trades,validation,2025-05,9,0.116883,48.79,0.234556,2.669176
baseline_all_trades,validation,2025-06,14,0.181818,23.1,0.111052,1.515855
baseline_all_trades,validation,2025-07,15,0.194805,46.91,0.225518,2.686803
baseline_all_trades,validation,2025-08,8,0.103896,-18.47,-0.088794,0.634691
baseline_all_trades,validation,2025-09,14,0.181818,78.87,0.379164,3.50779
exclude_adx_20_25,oos,2025-10,11,0.297297,73.51,1.495321,2.506661
exclude_adx_20_25,oos,2025-11,1,0.027027,23.34,0.474776,
exclude_adx_20_25,oos,2025-12,8,0.216216,-19.44,-0.395443,0.49375
exclude_adx_20_25,oos,2026-01,9,0.243243,-17.46,-0.355167,0.670877
exclude_adx_20_25,oos,2026-02,1,0.027027,13.6,0.276648,
exclude_adx_20_25,oos,2026-03,4,0.108108,-18.2,-0.37022,0.200351
exclude_adx_20_25,oos,2026-04,3,0.081081,-6.19,-0.125915,0.485453
exclude_adx_20_25,validation,2025-01,6,0.09375,38.82,0.157837,1.917948
exclude_adx_20_25,validation,2025-02,5,0.078125,-5.07,-0.020614,0.797443
exclude_adx_20_25,validation,2025-03,2,0.03125,1.92,0.007806,2.010526
exclude_adx_20_25,validation,2025-04,1,0.015625,9.72,0.03952,
exclude_adx_20_25,validation,2025-05,8,0.125,46.76,0.19012,2.599726
exclude_adx_20_25,validation,2025-06,13,0.203125,27.85,0.113234,1.695728
exclude_adx_20_25,validation,2025-07,14,0.21875,36.1,0.146778,2.298094
exclude_adx_20_25,validation,2025-08,5,0.078125,11.26,0.045782,1.720871
exclude_adx_20_25,validation,2025-09,10,0.15625,78.59,0.319536,6.851824
exclude_mid_session,oos,2025-10,7,0.241379,108.81,0.873204,33.480597
exclude_mid_session,oos,2025-11,2,0.068966,54.08,0.433994,
exclude_mid_session,oos,2025-12,9,0.310345,-16.75,-0.134419,0.556291
exclude_mid_session,oos,2026-01,4,0.137931,-3.71,-0.029773,0.814407
exclude_mid_session,oos,2026-02,1,0.034483,13.6,0.109141,
exclude_mid_session,oos,2026-03,3,0.103448,-38.74,-0.31089,0.359564
exclude_mid_session,oos,2026-04,3,0.103448,7.32,0.058743,1.510105
exclude_mid_session,validation,2025-01,4,0.088889,28.32,0.314422,2.783375
exclude_mid_session,validation,2025-02,3,0.066667,-15.99,-0.177529,0.361167
exclude_mid_session,validation,2025-03,3,0.066667,-12.13,-0.134673,0.239498
exclude_mid_session,validation,2025-05,3,0.066667,-7.88,-0.087488,0.354627
exclude_mid_session,validation,2025-06,9,0.2,-4.57,-0.050738,0.890957
exclude_mid_session,validation,2025-07,11,0.244444,39.76,0.441434,2.466077
exclude_mid_session,validation,2025-08,4,0.088889,-3.01,-0.033418,0.913852
exclude_mid_session,validation,2025-09,8,0.177778,65.57,0.727989,5.882353
exclude_vol_high,oos,2025-10,12,0.272727,75.35,0.782126,2.544374
exclude_vol_high,oos,2025-11,3,0.068182,24.48,0.2541,1.827027
exclude_vol_high,oos,2025-12,8,0.181818,-15.06,-0.156321,0.557319
exclude_vol_high,oos,2026-01,10,0.227273,-4.28,-0.044426,0.905016
exclude_vol_high,oos,2026-02,2,0.045455,44.08,0.457546,
exclude_vol_high,oos,2026-03,4,0.090909,-35.02,-0.363504,0.421061
exclude_vol_high,oos,2026-04,5,0.113636,6.79,0.07048,1.327703
exclude_vol_high,validation,2025-01,6,0.083333,38.82,0.223914,1.917948
exclude_vol_high,validation,2025-02,7,0.097222,-7.6,-0.043837,0.724238
exclude_vol_high,validation,2025-03,3,0.041667,-12.13,-0.069966,0.239498
