rule_id,rule_family,split,base_trade_count,base_net_profit,base_profit_factor,kept_trade_count,kept_net_profit,kept_profit_factor,kept_expectancy,kept_win_rate_percent,net_delta_vs_base,pf_delta_vs_base,calendar_months,months_with_trades,trades_per_calendar_month,trades_per_active_month,min_active_month_trade_count,top_month,top_month_trade_count,top_month_trade_share,negative_month_count,top_positive_month_net_share,frequency_floor_status,frequency_floor_flags,stress_question
baseline_all_trades,reference,oos,51,62.65,1.224214,51,62.65,1.224214,1.228431,54.901961,0.0,0.0,7,7,7.285714,7.285714,2,2025-10,12,0.235294,3,0.5,pass,none,original Tier A trade set(원래 티어 A 거래 묶음)
baseline_all_trades,reference,validation,77,208.01,1.771465,77,208.01,1.771465,2.701429,57.142857,0.0,0.0,9,9,8.555556,8.555556,1,2025-07,15,0.194805,3,0.320336,pass,none,original Tier A trade set(원래 티어 A 거래 묶음)
exclude_adx_20_25,adx_regime,oos,51,62.65,1.224214,37,49.16,1.280866,1.328649,54.054054,-13.49,0.056652,7,7,5.285714,5.285714,1,2025-10,11,0.297297,4,0.66555,pass,none,exclude ADX 20-25 bucket(ADX 20-25 버킷 제거)
exclude_adx_20_25,adx_regime,validation,77,208.01,1.771465,64,245.95,2.259087,3.842969,60.9375,37.94,0.487622,9,9,7.111111,7.111111,1,2025-07,14,0.21875,1,0.313083,pass,none,exclude ADX 20-25 bucket(ADX 20-25 버킷 제거)
exclude_mid_session,session_time,oos,51,62.65,1.224214,29,124.61,1.916722,4.296897,58.62069,61.96,0.692508,7,7,4.142857,4.142857,1,2025-12,9,0.310345,3,0.59197,fail,trade_count_below_floor,exclude mid session(중간 세션 제거)
exclude_mid_session,session_time,validation,77,208.01,1.771465,45,90.07,1.483027,2.001556,55.555556,-117.94,-0.288438,9,8,5.0,5.625,3,2025-07,11,0.244444,5,0.49061,fail,trade_count_below_floor,exclude mid session(중간 세션 제거)
exclude_vol_high,volatility_regime,oos,51,62.65,1.224214,44,96.34,1.403637,2.189545,59.090909,33.69,0.179423,7,7,6.285714,6.285714,2,2025-10,12,0.272727,3,0.5,pass,none,exclude high volatility regime(고변동 구간 제거)
exclude_vol_high,volatility_regime,validation,77,208.01,1.771465,72,173.37,1.642992,2.407917,54.166667,-34.64,-0.128473,9,8,8.0,9.0,3,2025-09,14,0.194444,3,0.372784,pass,none,exclude high volatility regime(고변동 구간 제거)
exclude_vol_high_or_adx_20_25,risk_filter_combo,oos,51,62.65,1.224214,32,78.42,1.541089,2.450625,59.375,15.77,0.316875,7,7,4.571429,4.571429,1,2025-10,11,0.34375,4,0.66555,pass,none,exclude high volatility or ADX 20-25(고변동 또는 ADX 20-25 제거)
exclude_vol_high_or_adx_20_25,risk_filter_combo,validation,77,208.01,1.771465,59,211.31,2.081755,3.581525,57.627119,3.3,0.31029,9,8,6.555556,7.375,2,2025-06,13,0.220339,1,0.363204,pass,none,exclude high volatility or ADX 20-25(고변동 또는 ADX 20-25 제거)
keep_downtrend,trend_regime,oos,51,62.65,1.224214,32,44.79,1.302247,1.399687,59.375,-17.86,0.078033,7,7,4.571429,4.571429,1,2025-12,8,0.25,1,0.369858,pass,none,keep downtrend regime(하락 추세 구간 유지)
keep_downtrend,trend_regime,validation,77,208.01,1.771465,48,111.46,1.770124,2.322083,58.333333,-96.55,-0.001341,9,8,5.333333,6.0,1,2025-09,10,0.208333,4,0.549746,fail,trade_count_below_floor,keep downtrend regime(하락 추세 구간 유지)
keep_late_or_adx_gt25,session_adx_combo,oos,51,62.65,1.224214,33,112.39,1.767534,3.405758,57.575758,49.74,0.54332,7,7,4.714286,4.714286,1,2025-10,9,0.272727,4,0.622089,pass,none,keep late session or ADX > 25(후반 세션 또는 ADX 25 초과 유지)
keep_late_or_adx_gt25,session_adx_combo,validation,77,208.01,1.771465,49,131.84,1.814883,2.690612,59.183673,-76.17,0.043418,9,8,5.444444,6.125,3,2025-07,12,0.244898,3,0.44291,fail,trade_count_below_floor,keep late session or ADX > 25(후반 세션 또는 ADX 25 초과 유지)
keep_late_or_vol_mid,session_volatility_combo,oos,51,62.65,1.224214,26,152.73,2.132004,5.874231,65.384615,90.08,0.90779,7,7,3.714286,3.714286,2,2025-10,5,0.192308,2,0.573165,fail,trade_count_below_floor;calendar_frequency_below_floor,keep late session or mid volatility(후반 세션 또는 중간 변동성 유지)
keep_late_or_vol_mid,session_volatility_combo,validation,77,208.01,1.771465,40,178.76,2.224467,4.469,55.0,-29.25,0.453002,9,8,4.444444,5.0,2,2025-09,8,0.2,3,0.296042,fail,trade_count_below_floor;calendar_frequency_below_floor,keep late session or mid volatility(후반 세션 또는 중간 변동성 유지)
keep_late_session_only,session_time,oos,51,62.65,1.224214,16,98.08,1.955666,6.13,56.25,35.43,0.731452,7,7,2.285714,2.285714,1,2025-10,5,0.3125,4,0.621815,fail,trade_count_below_floor;calendar_frequency_below_floor,keep late session only(후반 세션만 유지)
keep_late_session_only,session_time,validation,77,208.01,1.771465,23,62.26,1.642385,2.706957,56.521739,-145.75,-0.12908,9,7,2.555556,3.285714,1,2025-06,5,0.217391,2,0.393901,fail,trade_count_below_floor;calendar_frequency_below_floor,keep late session only(후반 세션만 유지)
keep_vol_mid_or_late_not_adx_20_25,aggressive_combo,oos,51,62.65,1.224214,16,128.54,3.534806,8.03375,68.75,65.89,2.310592,7,6,2.285714,2.666667,1,2025-10,4,0.25,2,0.736771,fail,trade_count_below_floor;calendar_frequency_below_floor,"keep mid volatility or late session while excluding ADX 20-25(중간 변동성 또는 후반 세션 유지, ADX 20-25 제거)"
keep_vol_mid_or_late_not_adx_20_25,aggressive_combo,validation,77,208.01,1.771465,31,224.68,3.828298,7.247742,61.290323,16.67,2.056833,9,8,3.444444,3.875,1,2025-06,7,0.225806,2,0.283268,fail,trade_count_below_floor;calendar_frequency_below_floor,"keep mid volatility or late session while excluding ADX 20-25(중간 변동성 또는 후반 세션 유지, ADX 20-25 제거)"
