rule_id,rule_family,classification,decision,validation_kept_trades,validation_kept_net_profit,validation_kept_profit_factor,validation_net_delta_vs_base,validation_pf_delta_vs_base,validation_frequency_floor_status,validation_frequency_floor_flags,validation_months_with_trades,validation_trades_per_calendar_month,validation_top_month_trade_share,oos_kept_trades,oos_kept_net_profit,oos_kept_profit_factor,oos_net_delta_vs_base,oos_pf_delta_vs_base,oos_frequency_floor_status,oos_frequency_floor_flags,oos_months_with_trades,oos_trades_per_calendar_month,oos_top_month_trade_share,stress_question
baseline_all_trades,reference,reference_frequency_floor_pass,preserve_reference_seed,77,208.01,1.771465,0.0,0.0,pass,none,9,8.555556,0.194805,51,62.65,1.224214,0.0,0.0,pass,none,7,7.285714,0.235294,original Tier A trade set(원래 티어 A 거래 묶음)
exclude_vol_high_or_adx_20_25,risk_filter_combo,frequency_ok_candidate,broader_secondary_probe_candidate,59,211.31,2.081755,3.3,0.31029,pass,none,8,6.555556,0.220339,32,78.42,1.541089,15.77,0.316875,pass,none,7,4.571429,0.34375,exclude high volatility or ADX 20-25(고변동 또는 ADX 20-25 제거)
keep_late_or_vol_mid,session_volatility_combo,frequency_floor_fail_thin_sample,downgrade_to_thin_modifier_clue,40,178.76,2.224467,-29.25,0.453002,fail,trade_count_below_floor;calendar_frequency_below_floor,8,4.444444,0.2,26,152.73,2.132004,90.08,0.90779,fail,trade_count_below_floor;calendar_frequency_below_floor,7,3.714286,0.192308,keep late session or mid volatility(후반 세션 또는 중간 변동성 유지)
exclude_mid_session,session_time,frequency_floor_fail_thin_sample,diagnostic_only_sample_too_thin,45,90.07,1.483027,-117.94,-0.288438,fail,trade_count_below_floor,8,5.0,0.244444,29,124.61,1.916722,61.96,0.692508,fail,trade_count_below_floor,7,4.142857,0.310345,exclude mid session(중간 세션 제거)
keep_downtrend,trend_regime,frequency_floor_fail_thin_sample,diagnostic_only_sample_too_thin,48,111.46,1.770124,-96.55,-0.001341,fail,trade_count_below_floor,8,5.333333,0.208333,32,44.79,1.302247,-17.86,0.078033,pass,none,7,4.571429,0.25,keep downtrend regime(하락 추세 구간 유지)
keep_late_or_adx_gt25,session_adx_combo,frequency_floor_fail_thin_sample,diagnostic_only_sample_too_thin,49,131.84,1.814883,-76.17,0.043418,fail,trade_count_below_floor,8,5.444444,0.244898,33,112.39,1.767534,49.74,0.54332,pass,none,7,4.714286,0.272727,keep late session or ADX > 25(후반 세션 또는 ADX 25 초과 유지)
keep_late_session_only,session_time,frequency_floor_fail_thin_sample,diagnostic_only_sample_too_thin,23,62.26,1.642385,-145.75,-0.12908,fail,trade_count_below_floor;calendar_frequency_below_floor,7,2.555556,0.217391,16,98.08,1.955666,35.43,0.731452,fail,trade_count_below_floor;calendar_frequency_below_floor,7,2.285714,0.3125,keep late session only(후반 세션만 유지)
keep_vol_mid_or_late_not_adx_20_25,aggressive_combo,frequency_floor_fail_thin_sample,diagnostic_only_sample_too_thin,31,224.68,3.828298,16.67,2.056833,fail,trade_count_below_floor;calendar_frequency_below_floor,8,3.444444,0.225806,16,128.54,3.534806,65.89,2.310592,fail,trade_count_below_floor;calendar_frequency_below_floor,6,2.285714,0.25,"keep mid volatility or late session while excluding ADX 20-25(중간 변동성 또는 후반 세션 유지, ADX 20-25 제거)"
exclude_adx_20_25,adx_regime,frequency_ok_pf_lift_with_net_cost,diagnostic_only_no_seed_change,64,245.95,2.259087,37.94,0.487622,pass,none,9,7.111111,0.21875,37,49.16,1.280866,-13.49,0.056652,pass,none,7,5.285714,0.297297,exclude ADX 20-25 bucket(ADX 20-25 버킷 제거)
exclude_vol_high,volatility_regime,frequency_ok_oos_only_diagnostic,diagnostic_only_no_seed_change,72,173.37,1.642992,-34.64,-0.128473,pass,none,8,8.0,0.194444,44,96.34,1.403637,33.69,0.179423,pass,none,7,6.285714,0.272727,exclude high volatility regime(고변동 구간 제거)
