record_view,attempt_name,tier_scope,candidate_id,candidate_alias,candidate_role,variant_id,source_variant_id,profile_label,target_period,route_role,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_end,closed_balance_min,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,slice_read
mt5_ta_s258_stc_2023h2_bw_adjacent_2023_h2_train_pre_2024,run267bw_01_s258_stc_2023h2_impulse_repl,Tier A,s258_short_tight_control,s258_stc,stress_challenger,run267bw_01_s258_stc_2023h2_impulse_repl_variant,run267bs_10_s258_stc_impulse_repl,aggressive_impulse_replacement,2023H2,tier_only_total,month,2023-07,27,-3.93,138.8,-142.73,0.972465,-0.145556,0.481481,10.676923,-10.195,1.047271,496.07,494.96,72.01,12.676032,8,0.666667,4,-0.054576,minor_negative_slice(작은 음수 구간)
mt5_ta_s258_stc_2023h2_bw_adjacent_2023_h2_train_pre_2024,run267bw_01_s258_stc_2023h2_impulse_repl,Tier A,s258_short_tight_control,s258_stc,stress_challenger,run267bw_01_s258_stc_2023h2_impulse_repl_variant,run267bs_10_s258_stc_impulse_repl,aggressive_impulse_replacement,2023H2,tier_only_total,month,2023-08,42,209.6,367.98,-158.38,2.323399,4.990476,0.642857,13.628889,-10.558667,1.290777,709.6,484.99,51.72,6.827903,6,0.47619,3,4.052591,measured_slice(측정 구간)
mt5_ta_s258_stc_2023h2_bw_adjacent_2023_h2_train_pre_2024,run267bw_01_s258_stc_2023h2_impulse_repl,Tier A,s258_short_tight_control,s258_stc,stress_challenger,run267bw_01_s258_stc_2023h2_impulse_repl_variant,run267bs_10_s258_stc_impulse_repl,aggressive_impulse_replacement,2023H2,tier_only_total,month,2023-09,33,229.29,341.77,-112.48,3.038496,6.948182,0.757576,13.6708,-14.06,0.972319,729.29,500.0,29.88,5.412357,6,0.424242,3,7.673695,measured_slice(측정 구간)
mt5_ta_s258_stc_2023h2_bw_adjacent_2023_h2_train_pre_2024,run267bw_01_s258_stc_2023h2_impulse_repl,Tier A,s258_short_tight_control,s258_stc,stress_challenger,run267bw_01_s258_stc_2023h2_impulse_repl_variant,run267bs_10_s258_stc_impulse_repl,aggressive_impulse_replacement,2023H2,tier_only_total,month,2023-10,39,90.07,302.67,-212.6,1.423659,2.309487,0.564103,13.757727,-12.505882,1.1001,590.07,418.7,81.3,16.26,23,0.820513,3,1.107872,measured_slice(측정 구간)
mt5_ta_s258_stc_2023h2_bw_adjacent_2023_h2_train_pre_2024,run267bw_01_s258_stc_2023h2_impulse_repl,Tier A,s258_short_tight_control,s258_stc,stress_challenger,run267bw_01_s258_stc_2023h2_impulse_repl_variant,run267bs_10_s258_stc_impulse_repl,aggressive_impulse_replacement,2023H2,tier_only_total,month,2023-11,21,20.09,178.65,-158.56,1.126703,0.956667,0.428571,19.85,-13.213333,1.50227,520.09,451.06,78.43,14.812367,11,0.809524,5,0.256152,measured_slice(측정 구간)
mt5_ta_s258_stc_2023h2_bw_adjacent_2023_h2_train_pre_2024,run267bw_01_s258_stc_2023h2_impulse_repl,Tier A,s258_short_tight_control,s258_stc,stress_challenger,run267bw_01_s258_stc_2023h2_impulse_repl_variant,run267bs_10_s258_stc_impulse_repl,aggressive_impulse_replacement,2023H2,tier_only_total,month,2023-12,16,204.37,246.08,-41.71,5.899784,12.773125,0.875,17.577143,-20.855,0.842826,704.37,500.0,33.06,4.697157,1,0.125,1,6.181791,measured_slice(측정 구간)
mt5_ta_s258_stc_2025h1_bw_adjacent_2025_h1_validation_post_2024,run267bw_02_s258_stc_2025h1_impulse_repl,Tier A,s258_short_tight_control,s258_stc,stress_challenger,run267bw_02_s258_stc_2025h1_impulse_repl_variant,run267bs_10_s258_stc_impulse_repl,aggressive_impulse_replacement,2025H1,tier_only_total,month,2025-01,36,23.43,166.99,-143.56,1.163207,0.650833,0.5,9.277222,-7.975556,1.163207,523.43,477.18,47.39,8.616677,22,0.861111,5,0.494408,measured_slice(측정 구간)
mt5_ta_s258_stc_2025h1_bw_adjacent_2025_h1_validation_post_2024,run267bw_02_s258_stc_2025h1_impulse_repl,Tier A,s258_short_tight_control,s258_stc,stress_challenger,run267bw_02_s258_stc_2025h1_impulse_repl_variant,run267bs_10_s258_stc_impulse_repl,aggressive_impulse_replacement,2025H1,tier_only_total,month,2025-02,41,156.59,381.76,-225.17,1.69543,3.819268,0.585366,15.906667,-13.245294,1.20093,656.59,500.0,90.54,13.415321,17,0.731707,3,1.729512,measured_slice(측정 구간)
mt5_ta_s258_stc_2025h1_bw_adjacent_2025_h1_validation_post_2024,run267bw_02_s258_stc_2025h1_impulse_repl,Tier A,s258_short_tight_control,s258_stc,stress_challenger,run267bw_02_s258_stc_2025h1_impulse_repl_variant,run267bs_10_s258_stc_impulse_repl,aggressive_impulse_replacement,2025H1,tier_only_total,month,2025-03,34,70.05,286.86,-216.81,1.323094,2.060294,0.441176,19.124,-11.411053,1.675919,570.05,500.0,64.32,11.22611,14,0.823529,3,1.089086,measured_slice(측정 구간)
mt5_ta_s258_stc_2025h1_bw_adjacent_2025_h1_validation_post_2024,run267bw_02_s258_stc_2025h1_impulse_repl,Tier A,s258_short_tight_control,s258_stc,stress_challenger,run267bw_02_s258_stc_2025h1_impulse_repl_variant,run267bs_10_s258_stc_impulse_repl,aggressive_impulse_replacement,2025H1,tier_only_total,month,2025-04,57,299.21,650.24,-351.03,1.852377,5.249298,0.614035,18.578286,-15.955909,1.164351,799.21,494.93,69.17,10.984945,9,0.649123,4,4.325719,measured_slice(측정 구간)
mt5_ta_s258_stc_2025h1_bw_adjacent_2025_h1_validation_post_2024,run267bw_02_s258_stc_2025h1_impulse_repl,Tier A,s258_short_tight_control,s258_stc,stress_challenger,run267bw_02_s258_stc_2025h1_impulse_repl_variant,run267bs_10_s258_stc_impulse_repl,aggressive_impulse_replacement,2025H1,tier_only_total,month,2025-05,32,-5.58,226.74,-232.32,0.975981,-0.174375,0.46875,15.116,-13.665882,1.106112,494.42,433.41,95.37,16.457575,16,0.90625,4,-0.058509,minor_negative_slice(작은 음수 구간)
mt5_ta_s258_stc_2025h1_bw_adjacent_2025_h1_validation_post_2024,run267bw_02_s258_stc_2025h1_impulse_repl,Tier A,s258_short_tight_control,s258_stc,stress_challenger,run267bw_02_s258_stc_2025h1_impulse_repl_variant,run267bs_10_s258_stc_impulse_repl,aggressive_impulse_replacement,2025H1,tier_only_total,month,2025-06,26,86.88,255.64,-168.76,1.514814,3.341538,0.653846,15.037647,-18.751111,0.80196,586.88,487.97,64.74,11.713195,8,0.769231,2,1.341983,measured_slice(측정 구간)
mt5_ta_s258_stc_2025h2_bw_adjacent_2025_h2_oos_followthrough,run267bw_03_s258_stc_2025h2_impulse_repl,Tier A,s258_short_tight_control,s258_stc,stress_challenger,run267bw_03_s258_stc_2025h2_impulse_repl_variant,run267bs_10_s258_stc_impulse_repl,aggressive_impulse_replacement,2025H2,tier_only_total,month,2025-07,22,83.08,150.8,-67.72,2.226816,3.776364,0.545455,12.566667,-6.772,1.85568,583.08,492.48,27.34,4.616606,6,0.681818,2,3.038771,measured_slice(측정 구간)
mt5_ta_s258_stc_2025h2_bw_adjacent_2025_h2_oos_followthrough,run267bw_03_s258_stc_2025h2_impulse_repl,Tier A,s258_short_tight_control,s258_stc,stress_challenger,run267bw_03_s258_stc_2025h2_impulse_repl_variant,run267bs_10_s258_stc_impulse_repl,aggressive_impulse_replacement,2025H2,tier_only_total,month,2025-08,29,49.68,209.42,-159.74,1.311005,1.713103,0.448276,16.109231,-9.98375,1.613545,549.68,500.0,54.09,9.359265,14,0.896552,7,0.918469,measured_slice(측정 구간)
