record_view,attempt_name,tier_scope,candidate_id,candidate_alias,candidate_role,variant_id,source_variant_id,profile_label,target_period,route_role,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_end,closed_balance_min,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,slice_read
mt5_ta_s258_stc_2025h2_bw_adjacent_2025_h2_oos_followthrough,run267bw_03_s258_stc_2025h2_impulse_repl,Tier A,s258_short_tight_control,s258_stc,stress_challenger,run267bw_03_s258_stc_2025h2_impulse_repl_variant,run267bs_10_s258_stc_impulse_repl,aggressive_impulse_replacement,2025H2,tier_only_total,close_hour_report,22,5,-66.79,13.26,-80.05,0.165646,-13.358,0.2,13.26,-20.0125,0.662586,433.21,433.21,80.05,15.596384,4,0.8,4,-0.834354,negative_fragile_slice(음수 취약 구간)
mt5_ta_s258_stc_2025h2_bw_adjacent_2025_h2_oos_followthrough,run267bw_03_s258_stc_2025h2_impulse_repl,Tier A,s258_short_tight_control,s258_stc,stress_challenger,run267bw_03_s258_stc_2025h2_impulse_repl_variant,run267bs_10_s258_stc_impulse_repl,aggressive_impulse_replacement,2025H2,tier_only_total,session_report,session_21_23_report_time,11,-62.63,38.11,-100.74,0.378301,-5.693636,0.545455,6.351667,-20.148,0.31525,437.37,437.37,84.3,16.159641,9,0.818182,2,-0.742942,negative_fragile_slice(음수 취약 구간)
mt5_ta_s264_aih_2025h2_bw_adjacent_2025_h2_oos_followthrough,run267bw_06_s264_aih_2025h2_impulse_repl,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267bw_06_s264_aih_2025h2_impulse_repl_variant,run267bs_06_s264_aih_impulse_repl,aggressive_impulse_replacement,2025H2,tier_only_total,close_hour_report,22,4,-46.54,13.26,-59.8,0.221739,-11.635,0.25,13.26,-19.933333,0.665217,453.46,453.46,59.8,11.651015,3,0.75,3,-0.778261,minor_negative_slice(작은 음수 구간)
mt5_ta_s264_aia_2025h2_bw_adjacent_2025_h2_oos_followthrough,run267bw_09_s264_aia_2025h2_impulse_repl,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,run267bw_09_s264_aia_2025h2_impulse_repl_variant,run267bs_09_s264_aia_impulse_repl,aggressive_impulse_replacement,2025H2,tier_only_total,close_hour_report,22,4,-45.77,13.26,-59.03,0.224632,-11.4425,0.25,13.26,-19.676667,0.673895,454.23,454.23,59.03,11.500994,3,0.75,3,-0.775368,minor_negative_slice(작은 음수 구간)
mt5_ta_s264_aih_2025h2_bw_adjacent_2025_h2_oos_followthrough,run267bw_06_s264_aih_2025h2_impulse_repl,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267bw_06_s264_aih_2025h2_impulse_repl_variant,run267bs_06_s264_aih_impulse_repl,aggressive_impulse_replacement,2025H2,tier_only_total,session_report,session_21_23_report_time,10,-43.34,38.05,-81.39,0.467502,-4.334,0.6,6.341667,-20.3475,0.311668,456.66,456.66,64.64,12.39977,8,0.8,2,-0.670483,minor_negative_slice(작은 음수 구간)
mt5_ta_s264_aia_2025h2_bw_adjacent_2025_h2_oos_followthrough,run267bw_09_s264_aia_2025h2_impulse_repl,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,run267bw_09_s264_aia_2025h2_impulse_repl_variant,run267bs_09_s264_aia_impulse_repl,aggressive_impulse_replacement,2025H2,tier_only_total,session_report,session_21_23_report_time,10,-42.63,37.99,-80.62,0.471223,-4.263,0.6,6.331667,-20.155,0.314149,457.37,457.37,63.93,12.263572,8,0.8,2,-0.666823,minor_negative_slice(작은 음수 구간)
mt5_ta_s264_aia_2025h1_bw_adjacent_2025_h1_validation_post_2024,run267bw_08_s264_aia_2025h1_impulse_repl,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,run267bw_08_s264_aia_2025h1_impulse_repl_variant,run267bs_09_s264_aia_impulse_repl,aggressive_impulse_replacement,2025H1,tier_only_total,close_hour_report,21,19,-14.07,68.63,-82.7,0.829867,-0.740526,0.526316,6.863,-9.188889,0.74688,485.93,468.77,36.57,7.236712,12,0.789474,2,-0.384742,minor_negative_slice(작은 음수 구간)
mt5_ta_s264_aih_2025h1_bw_adjacent_2025_h1_validation_post_2024,run267bw_05_s264_aih_2025h1_impulse_repl,Tier A,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267bw_05_s264_aih_2025h1_impulse_repl_variant,run267bs_06_s264_aih_impulse_repl,aggressive_impulse_replacement,2025H1,tier_only_total,close_hour_report,21,19,-14.06,68.7,-82.76,0.830111,-0.74,0.526316,6.87,-9.195556,0.7471,485.94,468.77,36.57,7.236712,12,0.789474,2,-0.384468,minor_negative_slice(작은 음수 구간)
mt5_ta_s264_aia_2025h2_bw_adjacent_2025_h2_oos_followthrough,run267bw_09_s264_aia_2025h2_impulse_repl,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,run267bw_09_s264_aia_2025h2_impulse_repl_variant,run267bs_09_s264_aia_impulse_repl,aggressive_impulse_replacement,2025H2,tier_only_total,weekday,Monday,21,-12.83,128.15,-140.98,0.908994,-0.610952,0.52381,11.65,-14.098,0.826358,487.17,468.92,70.07,13.000241,11,0.809524,3,-0.183103,minor_negative_slice(작은 음수 구간)
mt5_ta_s258_stc_2025h1_bw_adjacent_2025_h1_validation_post_2024,run267bw_02_s258_stc_2025h1_impulse_repl,Tier A,s258_short_tight_control,s258_stc,stress_challenger,run267bw_02_s258_stc_2025h1_impulse_repl_variant,run267bs_10_s258_stc_impulse_repl,aggressive_impulse_replacement,2025H1,tier_only_total,close_hour_report,21,19,-12.76,62.83,-75.59,0.831195,-0.671579,0.526316,6.283,-8.398889,0.748075,487.24,471.84,33.12,6.558935,12,0.789474,2,-0.385266,minor_negative_slice(작은 음수 구간)
