profile,gate_family,gate_variant,threshold_name,threshold_value,provenance_tag,selection_role
all,archived_scaffold,f48_reference_event_model_context_score_sltp,archived_f48_scaffold,reference_only,archived_clue_no_selection,locked_reference_not_baseline
initial_repair,event_score,event_model_score_quantile,score_quantile,0.86,train_only_fit,candidate_admission_threshold
initial_repair,risk_sizing,first_hit_sltp,stop_take_quantiles,"stop=(0.24,)|take=(0.72,)|repair_stop=(0.24,)|repair_take=(0.72,)",train_only_fit,train_path_sltp_cap_source
initial_repair,risk_sizing,first_hit_sltp,rr_floor,1.2,fixed_design_constant,minimum_take_stop_ratio
initial,state_gate_equals,floor_state_recovery2_balance_fast_ge_minus0p5_vol5_le1p75,bb_squeeze,0.0,fixed_design_constant,fixed_state_admission
initial,state_gate_max,floor_state_recovery2_balance_fast_ge_minus0p5_vol5_le1p75,historical_vol_5_over_20,1.75,fixed_design_constant,fixed_state_admission
initial,state_gate_min,floor_state_recovery2_balance_fast_ge_minus0p5_vol5_le1p75,seq_bars_since_bad_event,2.0,fixed_design_constant,fixed_state_admission
initial,state_gate_min,floor_state_recovery2_balance_fast_ge_minus0p5_vol5_le1p75,seq_past_event_balance_fast,-0.5,fixed_design_constant,fixed_state_admission
initial,state_gate_max,floor_state_dual_balance_fast_ge_minus0p5_slow_ge_minus0p6_atr_le1p75,atr_14_over_atr_50,1.75,fixed_design_constant,fixed_state_admission
initial,state_gate_min,floor_state_dual_balance_fast_ge_minus0p5_slow_ge_minus0p6_atr_le1p75,seq_past_event_balance_fast,-0.5,fixed_design_constant,fixed_state_admission
initial,state_gate_min,floor_state_dual_balance_fast_ge_minus0p5_slow_ge_minus0p6_atr_le1p75,seq_past_event_balance_slow,-0.6,fixed_design_constant,fixed_state_admission
initial,state_gate_max,floor_state_cooldown3_bad_fast_le0p75_high_count_le12,seq_past_bad_event_rate_fast,0.75,fixed_design_constant,fixed_state_admission
initial,state_gate_max,floor_state_cooldown3_bad_fast_le0p75_high_count_le12,seq_high_count_fast,12.0,fixed_design_constant,fixed_state_admission
initial,state_gate_min,floor_state_cooldown3_bad_fast_le0p75_high_count_le12,seq_bars_since_high_score,3.0,fixed_design_constant,fixed_state_admission
initial,state_gate_min,floor_state_cooldown3_bad_fast_le0p75_high_count_le12,seq_bars_since_bad_event,3.0,fixed_design_constant,fixed_state_admission
initial,state_gate_equals,floor_state_recent_good18_bad_slow_le0p8_squeeze_off,bb_squeeze,0.0,fixed_design_constant,fixed_state_admission
initial,state_gate_max,floor_state_recent_good18_bad_slow_le0p8_squeeze_off,seq_bars_since_good_event,18.0,fixed_design_constant,fixed_state_admission
initial,state_gate_max,floor_state_recent_good18_bad_slow_le0p8_squeeze_off,seq_past_bad_event_rate_slow,0.8,fixed_design_constant,fixed_state_admission
repair,state_gate_equals,floor_state_recovery2_balance_fast_ge_minus0p5_vol5_le1p75,bb_squeeze,0.0,fixed_design_constant,fixed_state_admission
repair,state_gate_max,floor_state_recovery2_balance_fast_ge_minus0p5_vol5_le1p75,historical_vol_5_over_20,1.75,fixed_design_constant,fixed_state_admission
repair,state_gate_min,floor_state_recovery2_balance_fast_ge_minus0p5_vol5_le1p75,seq_bars_since_bad_event,2.0,fixed_design_constant,fixed_state_admission
repair,state_gate_min,floor_state_recovery2_balance_fast_ge_minus0p5_vol5_le1p75,seq_past_event_balance_fast,-0.5,fixed_design_constant,fixed_state_admission
repair,state_gate_max,floor_state_dual_balance_fast_ge_minus0p5_slow_ge_minus0p6_atr_le1p75,atr_14_over_atr_50,1.75,fixed_design_constant,fixed_state_admission
repair,state_gate_min,floor_state_dual_balance_fast_ge_minus0p5_slow_ge_minus0p6_atr_le1p75,seq_past_event_balance_fast,-0.5,fixed_design_constant,fixed_state_admission
repair,state_gate_min,floor_state_dual_balance_fast_ge_minus0p5_slow_ge_minus0p6_atr_le1p75,seq_past_event_balance_slow,-0.6,fixed_design_constant,fixed_state_admission
repair,state_gate_max,floor_state_cooldown3_bad_fast_le0p75_high_count_le12,seq_past_bad_event_rate_fast,0.75,fixed_design_constant,fixed_state_admission
repair,state_gate_max,floor_state_cooldown3_bad_fast_le0p75_high_count_le12,seq_high_count_fast,12.0,fixed_design_constant,fixed_state_admission
repair,state_gate_min,floor_state_cooldown3_bad_fast_le0p75_high_count_le12,seq_bars_since_high_score,3.0,fixed_design_constant,fixed_state_admission
repair,state_gate_min,floor_state_cooldown3_bad_fast_le0p75_high_count_le12,seq_bars_since_bad_event,3.0,fixed_design_constant,fixed_state_admission
repair,state_gate_equals,floor_state_recent_good18_bad_slow_le0p8_squeeze_off,bb_squeeze,0.0,fixed_design_constant,fixed_state_admission
repair,state_gate_max,floor_state_recent_good18_bad_slow_le0p8_squeeze_off,seq_bars_since_good_event,18.0,fixed_design_constant,fixed_state_admission
repair,state_gate_max,floor_state_recent_good18_bad_slow_le0p8_squeeze_off,seq_past_bad_event_rate_slow,0.8,fixed_design_constant,fixed_state_admission
repair,state_gate_max,repair_floor_state_recovery2_balance_fast_ge_minus0p67,historical_vol_5_over_20,2.0,fixed_design_constant,fixed_state_admission
repair,state_gate_min,repair_floor_state_recovery2_balance_fast_ge_minus0p67,seq_bars_since_bad_event,2.0,fixed_design_constant,fixed_state_admission
repair,state_gate_min,repair_floor_state_recovery2_balance_fast_ge_minus0p67,seq_past_event_balance_fast,-0.67,fixed_design_constant,fixed_state_admission
repair,state_gate_equals,repair_floor_state_good_recent24_squeeze_off,bb_squeeze,0.0,fixed_design_constant,fixed_state_admission
repair,state_gate_max,repair_floor_state_good_recent24_squeeze_off,seq_bars_since_good_event,24.0,fixed_design_constant,fixed_state_admission
repair,state_gate_max,repair_floor_state_clean_fast_bad_le0p67_high_count_le14,seq_past_bad_event_rate_fast,0.67,fixed_design_constant,fixed_state_admission
repair,state_gate_max,repair_floor_state_clean_fast_bad_le0p67_high_count_le14,seq_high_count_fast,14.0,fixed_design_constant,fixed_state_admission
repair,state_gate_max,repair_floor_state_dual_balance_vol_atr_le2,historical_vol_5_over_20,2.0,fixed_design_constant,fixed_state_admission
repair,state_gate_max,repair_floor_state_dual_balance_vol_atr_le2,atr_14_over_atr_50,2.0,fixed_design_constant,fixed_state_admission
repair,state_gate_min,repair_floor_state_dual_balance_vol_atr_le2,seq_past_event_balance_fast,-0.67,fixed_design_constant,fixed_state_admission
