run_id,session_bucket_id,session_bucket_label,record_view,split,wfo_split_role,tier_scope,route_role,net_profit,profit_factor,trade_count,status
run03O_et_trend_chop_regime_probe_v1,chop,chop_zero_trend_flags,mt5_chop_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,-291.43,0.21,22,completed
run03O_et_trend_chop_regime_probe_v1,chop,chop_zero_trend_flags,mt5_chop_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,23.95,1.93,9,completed
run03O_et_trend_chop_regime_probe_v1,chop,chop_zero_trend_flags,mt5_chop_routed_total_validation_is,validation_is,validation,Tier A+B,routed_total,-303.11,0.22,31,completed
run03O_et_trend_chop_regime_probe_v1,transition,transition_one_trend_flag,mt5_transition_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,58.15,1.16,37,completed
run03O_et_trend_chop_regime_probe_v1,transition,transition_one_trend_flag,mt5_transition_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,-165.11,0.08,5,completed
run03O_et_trend_chop_regime_probe_v1,transition,transition_one_trend_flag,mt5_transition_routed_total_validation_is,validation_is,validation,Tier A+B,routed_total,95.3,1.26,42,completed
run03O_et_trend_chop_regime_probe_v1,trend,trend_two_trend_flags,mt5_trend_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,71.38,1.18,41,completed
run03O_et_trend_chop_regime_probe_v1,trend,trend_two_trend_flags,mt5_trend_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,156.62,2.55,4,completed
run03O_et_trend_chop_regime_probe_v1,trend,trend_two_trend_flags,mt5_trend_routed_total_validation_is,validation_is,validation,Tier A+B,routed_total,194.27,1.58,42,completed
run03O_et_trend_chop_regime_probe_v1,chop,chop_zero_trend_flags,mt5_chop_tier_a_only_oos,oos,test,Tier A,tier_only_total,0,0,0,completed
run03O_et_trend_chop_regime_probe_v1,chop,chop_zero_trend_flags,mt5_chop_tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,-52.28,0,3,completed
run03O_et_trend_chop_regime_probe_v1,chop,chop_zero_trend_flags,mt5_chop_routed_total_oos,oos,test,Tier A+B,routed_total,-22.08,0,3,completed
run03O_et_trend_chop_regime_probe_v1,transition,transition_one_trend_flag,mt5_transition_tier_a_only_oos,oos,test,Tier A,tier_only_total,65.98,1.98,10,completed
run03O_et_trend_chop_regime_probe_v1,transition,transition_one_trend_flag,mt5_transition_tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,-47.81,0,1,completed
run03O_et_trend_chop_regime_probe_v1,transition,transition_one_trend_flag,mt5_transition_routed_total_oos,oos,test,Tier A+B,routed_total,-12.69,0.86,12,completed
run03O_et_trend_chop_regime_probe_v1,trend,trend_two_trend_flags,mt5_trend_tier_a_only_oos,oos,test,Tier A,tier_only_total,-35.29,0.76,18,completed
run03O_et_trend_chop_regime_probe_v1,trend,trend_two_trend_flags,mt5_trend_tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,-63.61,0.21,3,completed
run03O_et_trend_chop_regime_probe_v1,trend,trend_two_trend_flags,mt5_trend_routed_total_oos,oos,test,Tier A+B,routed_total,51.19,1.53,20,completed
