run_id,session_bucket_id,session_bucket_label,fold_id,attempt_name,split,wfo_split_role,tier_scope,route_role,tester_status,runtime_status,report_status,net_profit,profit_factor,trade_count,report_path
run03O_et_trend_chop_regime_probe_v1,chop,chop_zero_trend_flags,fold05,chop_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,completed,completed,completed,-291.43,0.21,22,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03O_et_trend_chop_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03O_et_trend_chop_regime_probe_v1_chop_tier_a_only_validation_is.htm
run03O_et_trend_chop_regime_probe_v1,chop,chop_zero_trend_flags,fold05,chop_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,completed,completed,completed,23.95,1.93,9,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03O_et_trend_chop_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03O_et_trend_chop_regime_probe_v1_chop_tier_b_fallback_only_validation_is.htm
run03O_et_trend_chop_regime_probe_v1,chop,chop_zero_trend_flags,fold05,chop_routed_validation_is,validation_is,validation,Tier A+B,routed_total,completed,completed,completed,-303.11,0.22,31,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03O_et_trend_chop_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03O_et_trend_chop_regime_probe_v1_chop_routed_validation_is.htm
run03O_et_trend_chop_regime_probe_v1,transition,transition_one_trend_flag,fold05,transition_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,completed,completed,completed,58.15,1.16,37,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03O_et_trend_chop_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03O_et_trend_chop_regime_probe_v1_transition_tier_a_only_validation_is.htm
run03O_et_trend_chop_regime_probe_v1,transition,transition_one_trend_flag,fold05,transition_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,completed,completed,completed,-165.11,0.08,5,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03O_et_trend_chop_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03O_et_trend_chop_regime_probe_v1_transition_tier_b_fallback_only_validation_is.htm
run03O_et_trend_chop_regime_probe_v1,transition,transition_one_trend_flag,fold05,transition_routed_validation_is,validation_is,validation,Tier A+B,routed_total,completed,completed,completed,95.3,1.26,42,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03O_et_trend_chop_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03O_et_trend_chop_regime_probe_v1_transition_routed_validation_is.htm
run03O_et_trend_chop_regime_probe_v1,trend,trend_two_trend_flags,fold05,trend_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,completed,completed,completed,71.38,1.18,41,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03O_et_trend_chop_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03O_et_trend_chop_regime_probe_v1_trend_tier_a_only_validation_is.htm
run03O_et_trend_chop_regime_probe_v1,trend,trend_two_trend_flags,fold05,trend_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,completed,completed,completed,156.62,2.55,4,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03O_et_trend_chop_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03O_et_trend_chop_regime_probe_v1_trend_tier_b_fallback_only_validation_is.htm
run03O_et_trend_chop_regime_probe_v1,trend,trend_two_trend_flags,fold05,trend_routed_validation_is,validation_is,validation,Tier A+B,routed_total,completed,completed,completed,194.27,1.58,42,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03O_et_trend_chop_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03O_et_trend_chop_regime_probe_v1_trend_routed_validation_is.htm
run03O_et_trend_chop_regime_probe_v1,chop,chop_zero_trend_flags,fold05,chop_tier_a_only_oos,oos,test,Tier A,tier_only_total,completed,completed,completed,0,0,0,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03O_et_trend_chop_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03O_et_trend_chop_regime_probe_v1_chop_tier_a_only_oos.htm
