bar_time_server,stage56_context_et_event_signal,stage264_source_feature_rank_bucket,stage264_source_feature_gate_allow_inner_all_oos_anchor
2024.01.02 16:40:00,-1,3,0
2024.01.02 16:45:00,0,3,0
2024.01.02 16:50:00,0,3,0
2024.01.02 16:55:00,0,3,0
2024.01.02 17:00:00,0,3,0
2024.01.02 17:05:00,0,1,0
2024.01.02 17:10:00,0,2,0
2024.01.02 17:15:00,0,1,0
2024.01.02 17:20:00,0,1,0
2024.01.02 17:25:00,0,1,0
2024.01.02 17:30:00,0,0,0
2024.01.02 17:40:00,0,1,0
2024.01.02 17:45:00,0,0,0
2024.01.02 17:50:00,-1,1,0
2024.01.02 17:55:00,0,0,0
2024.01.02 18:00:00,0,0,0
2024.01.02 18:05:00,0,0,0
2024.01.02 18:10:00,0,0,0
2024.01.02 18:15:00,0,0,0
2024.01.02 18:20:00,0,0,0
2024.01.02 18:25:00,0,0,0
2024.01.02 18:35:00,0,0,0
2024.01.02 18:40:00,0,0,0
2024.01.02 18:45:00,0,0,0
2024.01.02 18:50:00,0,0,0
2024.01.02 18:55:00,0,0,0
2024.01.02 19:05:00,0,0,0
2024.01.02 19:15:00,0,0,0
2024.01.02 19:20:00,0,1,0
2024.01.02 19:25:00,0,0,0
2024.01.02 19:30:00,0,0,0
2024.01.02 19:35:00,0,0,0
2024.01.02 19:40:00,0,0,0
2024.01.02 19:45:00,0,0,0
2024.01.02 19:50:00,0,0,0
2024.01.02 19:55:00,0,1,0
2024.01.02 20:00:00,0,1,0
2024.01.02 20:05:00,0,1,0
2024.01.02 20:10:00,0,1,0
2024.01.02 20:15:00,0,1,0
2024.01.02 20:20:00,0,2,0
2024.01.02 20:25:00,0,1,0
2024.01.02 20:30:00,0,1,0
2024.01.02 20:35:00,-1,0,1
2024.01.02 20:40:00,0,0,0
2024.01.02 20:45:00,0,1,0
2024.01.02 20:50:00,0,1,0
2024.01.02 20:55:00,0,1,0
2024.01.02 21:00:00,0,1,0
2024.01.02 21:05:00,0,0,0
2024.01.02 21:10:00,0,1,0
2024.01.02 21:15:00,0,1,0
2024.01.02 21:20:00,0,1,0
2024.01.02 21:30:00,0,0,0
2024.01.02 21:40:00,0,0,0
2024.01.02 21:45:00,0,0,0
2024.01.02 21:50:00,0,0,0
2024.01.02 21:55:00,0,0,0
2024.01.03 16:40:00,-1,0,0
2024.01.03 16:45:00,0,1,0
2024.01.03 16:50:00,0,1,0
2024.01.03 16:55:00,0,0,0
2024.01.03 17:00:00,0,0,0
2024.01.03 17:05:00,0,0,0
2024.01.03 17:10:00,0,0,0
2024.01.03 17:15:00,0,0,0
2024.01.03 17:20:00,0,0,0
2024.01.03 17:25:00,0,0,0
2024.01.03 17:30:00,0,0,0
2024.01.03 17:35:00,0,0,0
2024.01.03 17:40:00,0,0,0
2024.01.03 17:45:00,0,0,0
2024.01.03 17:50:00,0,0,0
2024.01.03 17:55:00,0,0,0
2024.01.03 18:00:00,0,1,0
2024.01.03 18:05:00,0,0,0
2024.01.03 18:10:00,0,0,0
2024.01.03 18:15:00,0,0,0
2024.01.03 18:20:00,0,0,0
2024.01.03 18:25:00,0,0,0
2024.01.03 18:30:00,0,0,0
2024.01.03 18:35:00,0,0,0
2024.01.03 18:40:00,0,0,0
2024.01.03 18:45:00,0,0,0
2024.01.03 18:50:00,0,0,0
2024.01.03 18:55:00,0,0,0
2024.01.03 19:00:00,0,0,0
2024.01.03 19:05:00,0,0,0
2024.01.03 19:10:00,0,0,0
2024.01.03 19:15:00,0,0,0
2024.01.03 19:20:00,0,0,0
2024.01.03 19:25:00,0,0,0
2024.01.03 19:30:00,0,0,0
2024.01.03 19:35:00,0,0,0
2024.01.03 19:40:00,0,0,0
2024.01.03 19:45:00,0,0,0
2024.01.03 19:50:00,0,0,0
2024.01.03 19:55:00,0,0,0
2024.01.03 20:00:00,0,0,0
2024.01.03 20:05:00,0,0,0
2024.01.03 20:15:00,0,0,0
2024.01.03 20:20:00,0,0,0
2024.01.03 20:30:00,0,0,0
2024.01.03 20:35:00,0,0,0
2024.01.03 20:40:00,0,0,0
2024.01.03 20:45:00,0,0,0
2024.01.03 20:55:00,0,0,0
2024.01.03 21:00:00,0,0,0
2024.01.03 21:05:00,0,0,0
2024.01.03 21:10:00,0,0,0
2024.01.03 21:15:00,0,0,0
2024.01.03 21:20:00,0,0,0
2024.01.03 21:25:00,0,0,0
2024.01.03 21:30:00,0,1,0
2024.01.03 21:35:00,0,0,0
2024.01.03 21:40:00,0,0,0
2024.01.03 21:45:00,0,0,0
2024.01.03 21:50:00,-1,0,0
2024.01.03 22:00:00,0,0,0
2024.01.04 16:40:00,0,0,0
2024.01.04 16:45:00,0,1,0
2024.01.04 16:50:00,0,0,0
2024.01.04 16:55:00,0,1,0
2024.01.04 17:00:00,0,1,0
2024.01.04 17:05:00,0,0,0
2024.01.04 17:10:00,0,1,0
2024.01.04 17:15:00,0,1,0
2024.01.04 17:20:00,0,1,0
2024.01.04 17:25:00,1,0,0
2024.01.04 17:30:00,0,0,0
2024.01.04 17:35:00,0,0,0
2024.01.04 17:40:00,0,0,0
2024.01.04 17:45:00,0,0,0
2024.01.04 17:50:00,0,0,0
2024.01.04 17:55:00,0,0,0
2024.01.04 18:00:00,0,0,0
2024.01.04 18:05:00,0,0,0
2024.01.04 18:15:00,0,0,0
2024.01.04 18:35:00,0,0,0
2024.01.04 18:40:00,0,0,0
2024.01.04 18:45:00,0,0,0
2024.01.04 18:50:00,0,0,0
2024.01.04 18:55:00,0,0,0
2024.01.04 19:00:00,0,0,0
2024.01.04 19:05:00,0,0,0
2024.01.04 19:15:00,0,0,0
2024.01.04 19:20:00,0,0,0
2024.01.04 19:25:00,0,0,0
2024.01.04 19:30:00,0,0,0
2024.01.04 19:35:00,0,0,0
2024.01.04 19:40:00,0,0,0
2024.01.04 19:45:00,0,0,0
2024.01.04 19:50:00,0,0,0
2024.01.04 19:55:00,0,0,0
2024.01.04 20:00:00,0,0,0
2024.01.04 20:05:00,0,0,0
2024.01.04 20:10:00,0,0,0
2024.01.04 20:15:00,0,0,0
2024.01.04 20:20:00,0,0,0
2024.01.04 20:25:00,0,0,0
2024.01.04 20:30:00,0,0,0
2024.01.04 20:40:00,0,0,0
2024.01.04 20:45:00,0,0,0
2024.01.04 20:50:00,0,0,0
2024.01.04 20:55:00,0,0,0
2024.01.04 21:00:00,0,0,0
2024.01.04 21:05:00,0,0,0
2024.01.04 21:10:00,0,0,0
2024.01.04 21:15:00,0,0,0
2024.01.04 21:20:00,0,0,0
2024.01.04 21:25:00,0,0,0
2024.01.04 21:30:00,0,0,0
2024.01.04 21:35:00,0,0,0
2024.01.04 21:40:00,0,0,0
2024.01.04 21:45:00,0,0,0
2024.01.04 21:50:00,0,0,0
2024.01.04 21:55:00,0,0,0
2024.01.04 22:00:00,0,0,0
2024.01.05 16:40:00,0,1,0
2024.01.05 16:45:00,0,0,0
