source_scope,runtime_source,artifact_slug,candidate_id,view_id,direction,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,max_drawdown,net_share_of_source_view,direction_judgment,claim_boundary
score_proxy_raw_forward,score_proxy_not_mt5,c56_bal,core56_no_top3_weight_features__l2_balanced_c025,raw_forward,short,30,11.79,140.725,128.935,1.091441424,0.393,0.4666666667,51.535,0.0707322195,direction_positive_or_mixed,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_raw_forward,score_proxy_not_mt5,c56_bal,core56_no_top3_weight_features__l2_balanced_c025,raw_forward,long,40,154.895,203.27,48.375,4.2019638243,3.872375,0.675,19.44,0.9292677805,direction_positive_or_mixed,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_old_session_parity,score_proxy_not_mt5,c56_bal,core56_no_top3_weight_features__l2_balanced_c025,old_session_parity,short,27,5.19,122.675,117.485,1.0441758522,0.1922222222,0.4444444444,51.535,0.0323283917,direction_positive_or_mixed,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_old_session_parity,score_proxy_not_mt5,c56_bal,core56_no_top3_weight_features__l2_balanced_c025,old_session_parity,long,38,155.35,201.51,46.16,4.3654679376,4.0881578947,0.6842105263,17.225,0.9676716083,direction_positive_or_mixed,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_raw_forward,score_proxy_not_mt5,c56_plain,core56_no_top3_weight_features__l2_plain_c025,raw_forward,long,56,197.72,270.47,72.75,3.7178006873,3.5307142857,0.6785714286,16.49,0.9475702099,direction_positive_or_mixed,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_raw_forward,score_proxy_not_mt5,c56_plain,core56_no_top3_weight_features__l2_plain_c025,raw_forward,short,20,10.94,100.125,89.185,1.1226663677,0.547,0.5,46.935,0.0524297901,direction_positive_or_mixed,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_old_session_parity,score_proxy_not_mt5,c56_plain,core56_no_top3_weight_features__l2_plain_c025,old_session_parity,long,54,198.585,268.71,70.125,3.8318716578,3.6775,0.6851851852,16.125,0.9811511858,direction_positive_or_mixed,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_old_session_parity,score_proxy_not_mt5,c56_plain,core56_no_top3_weight_features__l2_plain_c025,old_session_parity,short,17,3.815,81.55,77.735,1.0490769923,0.2244117647,0.4705882353,35.485,0.0188488142,direction_positive_or_mixed,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_raw_forward,score_proxy_not_mt5,m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,raw_forward,long,247,139.88,557.43,417.55,1.3350017962,0.5663157895,0.5546558704,62.0,1.3473319206,direction_positive_or_mixed,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_raw_forward,score_proxy_not_mt5,m48_bal,macro48_no_equity_breadth_or_top3__l2_balanced_c025,raw_forward,short,50,-36.06,170.95,207.01,0.8258055166,-0.7212,0.46,93.375,-0.3473319206,direction_loss_pocket,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
