source_scope,artifact_slug,view_id,axis,bucket_count,total_net_profit,best_bucket,best_bucket_net,best_bucket_trade_count,worst_bucket,worst_bucket_net,worst_bucket_profit_factor,negative_bucket_count,best_bucket_net_share_of_positive_total,fragility_judgment,claim_boundary
score_proxy_raw_forward,c56_bal,raw_forward,session,1,166.685,cash_open,166.685,70,cash_open,166.685,1.9400767018,0,1.0,balanced_or_inconclusive,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_old_session_parity,c56_bal,old_session_parity,session,1,160.54,cash_open,160.54,65,cash_open,160.54,1.9810260014,0,1.0,balanced_or_inconclusive,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_raw_forward,c56_plain,raw_forward,session,1,208.66,cash_open,208.66,76,cash_open,208.66,2.2885416988,0,1.0,balanced_or_inconclusive,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_old_session_parity,c56_plain,old_session_parity,session,1,202.4,cash_open,202.4,71,cash_open,202.4,2.3688624374,0,1.0,balanced_or_inconclusive,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_raw_forward,m48_bal,raw_forward,session,2,103.82,cash_open,117.445,64,outside_cash,-13.625,0.9707680755,1,1.1312367559,loss_pocket_and_one_bucket_concentration,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_old_session_parity,m48_bal,old_session_parity,session,1,143.065,cash_open,143.065,68,cash_open,143.065,1.7499344761,0,1.0,balanced_or_inconclusive,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_raw_forward,m48_plain,raw_forward,session,2,123.41,cash_open,96.425,61,outside_cash,26.985,1.0598595845,0,0.7813386273,one_bucket_concentration,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_old_session_parity,m48_plain,old_session_parity,session,1,235.75,cash_open,235.75,70,cash_open,235.75,2.7395314518,0,1.0,balanced_or_inconclusive,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_raw_forward,u42_bal,raw_forward,session,2,93.24,cash_open,122.45,60,outside_cash,-29.21,0.9449947273,1,1.3132775633,loss_pocket_and_one_bucket_concentration,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_old_session_parity,u42_bal,old_session_parity,session,1,84.03,cash_open,84.03,62,cash_open,84.03,1.4258348959,0,1.0,balanced_or_inconclusive,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_raw_forward,u42_plain,raw_forward,session,2,125.275,cash_open,119.59,68,outside_cash,5.685,1.0117036717,0,0.9546198364,one_bucket_concentration,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_old_session_parity,u42_plain,old_session_parity,session,1,146.9,cash_open,146.9,71,cash_open,146.9,1.749508916,0,1.0,balanced_or_inconclusive,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
session_mt5_reference,c56_bal,old_session_parity,session,3,43.24,mid,23.15,13,late,-1.53,0.9799659552,1,0.5353839038,balanced_or_inconclusive,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
session_mt5_reference,c56_plain,old_session_parity,session,3,165.66,early,85.45,40,mid,30.52,2.1245394252,0,0.5158155258,balanced_or_inconclusive,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
session_mt5_reference,m48_bal,old_session_parity,session,3,116.19,early,54.28,47,mid,22.35,1.9446322908,0,0.467165849,balanced_or_inconclusive,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
session_mt5_reference,m48_plain,old_session_parity,session,3,173.42,early,137.76,42,late,-7.34,0.8306805075,1,0.7943720447,loss_pocket_and_one_bucket_concentration,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
session_mt5_reference,u42_bal,old_session_parity,session,3,3.99,early,22.01,45,late,-15.79,0.8213396696,2,5.5162907268,loss_pocket_and_one_bucket_concentration,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
session_mt5_reference,u42_plain,old_session_parity,session,3,120.78,early,118.54,44,late,-23.91,0.6376723746,1,0.9814538831,loss_pocket_and_one_bucket_concentration,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_raw_forward,c56_bal,raw_forward,hour,7,166.685,16,93.02,25,22,-8.59,0.6975352113,2,0.5580586136,balanced_or_inconclusive,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_old_session_parity,c56_bal,old_session_parity,hour,7,160.54,16,93.02,25,22,-14.735,0.0,2,0.5794194593,balanced_or_inconclusive,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_raw_forward,c56_plain,raw_forward,hour,7,208.66,16,109.705,26,20,-13.075,0.5691927512,2,0.5257596089,balanced_or_inconclusive,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_old_session_parity,c56_plain,old_session_parity,hour,6,202.4,16,109.705,26,20,-13.075,0.5691927512,2,0.542020751,balanced_or_inconclusive,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_proxy_raw_forward,m48_bal,raw_forward,hour,17,103.82,17,90.27,12,23,-43.31,0.0,8,0.8694856482,loss_pocket_and_one_bucket_concentration,research_development_only_regime_source_attribution_no_forward_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
