candidate_id,candidate_alias,candidate_role,diagnostic_variant_id,source_intervention,design_links,weakness_axis,weakness_bucket,priority,intent,source_feature_file,feature_file,feature_sha256,common_feature_path,common_feature_sha256,model_file,model_sha256,common_model_path,common_model_sha256,feature_order,feature_order_hash,rows,total_signal_rows,blocked_signal_rows,blocked_long_signal_rows,blocked_short_signal_rows,kept_signal_rows,signal_retention,context_missing_rows
s264_allow_inner_high_quarter,s264_aih,challenger_core,p0_july2024_entry_block_probe,cf_remove_2024_07,d05_july_2024_holdout_stress,month,2024-07,P0,"calendar holdout diagnostic(달력 보류 진단), repair(수리) 아님",stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_aih.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/julyblk/s264_aih/features/s264_aih_julyblk.csv,002f9c5a74edf4de5d77693d596ee1241c51ea53d31cac1588ee087a7613ef09,OPV2/s267c/run267C_p0/julyblk/s264_aih/features/s264_aih_julyblk.csv,002f9c5a74edf4de5d77693d596ee1241c51ea53d31cac1588ee087a7613ef09,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/julyblk/s264_aih/models/s264_aih_julyblk_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,OPV2/s267c/run267C_p0/julyblk/s264_aih/models/s264_aih_julyblk_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_high_quarter,2ab2c67dfb3005122906ff74808ec5571664937452c2a529c153bba5c78f7e24,11651,540,69,19,50,471,0.872222222222,0
s264_lowrank_control,s264_lc,defensive_control,p0_july2024_entry_block_probe,cf_remove_2024_07,d05_july_2024_holdout_stress,month,2024-07,P0,"calendar holdout diagnostic(달력 보류 진단), repair(수리) 아님",stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_lc.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/julyblk/s264_lc/features/s264_lc_julyblk.csv,581a22eef23f9bc393dfa719696b9d846787fc5f503409253b54cee2f1bded4d,OPV2/s267c/run267C_p0/julyblk/s264_lc/features/s264_lc_julyblk.csv,581a22eef23f9bc393dfa719696b9d846787fc5f503409253b54cee2f1bded4d,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/julyblk/s264_lc/models/s264_lc_julyblk_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,OPV2/s267c/run267C_p0/julyblk/s264_lc/models/s264_lc_julyblk_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_lowrank_control,57802ff8452e88002fcc25324198176680451bd754d1ed7eac425aba5090a0d8,11651,540,69,19,50,471,0.872222222222,0
s262_lowrank_inner_half_filter,s262_lih,validation_heavy,p0_july2024_entry_block_probe,cf_remove_2024_07,d05_july_2024_holdout_stress,month,2024-07,P0,"calendar holdout diagnostic(달력 보류 진단), repair(수리) 아님",stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s262_lih.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/julyblk/s262_lih/features/s262_lih_julyblk.csv,b3bdd0d30268e421d32863d3e54501e7666bea7030a097c22742ea037a458726,OPV2/s267c/run267C_p0/julyblk/s262_lih/features/s262_lih_julyblk.csv,b3bdd0d30268e421d32863d3e54501e7666bea7030a097c22742ea037a458726,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/julyblk/s262_lih/models/s262_lih_julyblk_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,OPV2/s267c/run267C_p0/julyblk/s262_lih/models/s262_lih_julyblk_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,stage56_context_et_event_signal;stage262_source_feature_rank_bucket;stage262_source_feature_gate_lowrank_inner_half_filter,4f64f17683b280455b32178290469759d37c1ac5c966d9c556def888cbfd04de,11651,540,69,19,50,471,0.872222222222,0
s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,p0_july2024_entry_block_probe,cf_remove_2024_07,d05_july_2024_holdout_stress,month,2024-07,P0,"calendar holdout diagnostic(달력 보류 진단), repair(수리) 아님",stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_aia.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/julyblk/s264_aia/features/s264_aia_julyblk.csv,1be351c559646f290c04d632cbcb6fd64673ef9adb7e5027686825111ac727df,OPV2/s267c/run267C_p0/julyblk/s264_aia/features/s264_aia_julyblk.csv,1be351c559646f290c04d632cbcb6fd64673ef9adb7e5027686825111ac727df,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/julyblk/s264_aia/models/s264_aia_julyblk_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,OPV2/s267c/run267C_p0/julyblk/s264_aia/models/s264_aia_julyblk_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_all_oos_anchor,7647698b6fb69ce378e689021a9ffa86d076e6083ed493d66159b75799582469,11651,540,69,19,50,471,0.872222222222,0
s258_short_tight_control,s258_stc,stress_challenger,p0_july2024_entry_block_probe,cf_remove_2024_07,d05_july_2024_holdout_stress,month,2024-07,P0,"calendar holdout diagnostic(달력 보류 진단), repair(수리) 아님",stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s258_stc.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/julyblk/s258_stc/features/s258_stc_julyblk.csv,c895024ef9741f278e7272b4bd29644d8a117c016ca166b71e11d0f2c80628d6,OPV2/s267c/run267C_p0/julyblk/s258_stc/features/s258_stc_julyblk.csv,c895024ef9741f278e7272b4bd29644d8a117c016ca166b71e11d0f2c80628d6,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/julyblk/s258_stc/models/s258_stc_julyblk_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,OPV2/s267c/run267C_p0/julyblk/s258_stc/models/s258_stc_julyblk_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,stage56_context_et_event_signal;stage258_source_feature_rank_bucket;stage258_source_feature_gate_short_tight_control,d236bdaee097504348693024cb9d469fa84f770a110e737e9670568b296d9c37,11651,540,69,19,50,471,0.872222222222,0
s264_allow_inner_high_quarter,s264_aih,challenger_core,p0_late_session_entry_block_probe,cf_remove_late_session,d07_late_session_interaction_engineering,session_slice,late,P0,"late-session hard block(후반 세션 강제 차단) negative control(부정 대조군), engineering(엔지니어링) 전 진단",stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_aih.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/lateblk/s264_aih/features/s264_aih_lateblk.csv,5f62f9c8f4831ba273dfcc92abbd0eaf813f3432a05316ad4ba5e84eaf8145e5,OPV2/s267c/run267C_p0/lateblk/s264_aih/features/s264_aih_lateblk.csv,5f62f9c8f4831ba273dfcc92abbd0eaf813f3432a05316ad4ba5e84eaf8145e5,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/lateblk/s264_aih/models/s264_aih_lateblk_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,OPV2/s267c/run267C_p0/lateblk/s264_aih/models/s264_aih_lateblk_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_high_quarter,2ab2c67dfb3005122906ff74808ec5571664937452c2a529c153bba5c78f7e24,11651,540,99,18,81,441,0.816666666667,0
s264_lowrank_control,s264_lc,defensive_control,p0_late_session_entry_block_probe,cf_remove_late_session,d07_late_session_interaction_engineering,session_slice,late,P0,"late-session hard block(후반 세션 강제 차단) negative control(부정 대조군), engineering(엔지니어링) 전 진단",stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_lc.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/lateblk/s264_lc/features/s264_lc_lateblk.csv,82b7fcbc8a5f07d47d51a97c0651555f4335f5c02c5445050ad2caadfad325ae,OPV2/s267c/run267C_p0/lateblk/s264_lc/features/s264_lc_lateblk.csv,82b7fcbc8a5f07d47d51a97c0651555f4335f5c02c5445050ad2caadfad325ae,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/lateblk/s264_lc/models/s264_lc_lateblk_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,OPV2/s267c/run267C_p0/lateblk/s264_lc/models/s264_lc_lateblk_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_lowrank_control,57802ff8452e88002fcc25324198176680451bd754d1ed7eac425aba5090a0d8,11651,540,99,18,81,441,0.816666666667,0
s262_lowrank_inner_half_filter,s262_lih,validation_heavy,p0_late_session_entry_block_probe,cf_remove_late_session,d07_late_session_interaction_engineering,session_slice,late,P0,"late-session hard block(후반 세션 강제 차단) negative control(부정 대조군), engineering(엔지니어링) 전 진단",stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s262_lih.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/lateblk/s262_lih/features/s262_lih_lateblk.csv,27cc29e7acd6aad00e29983f181428260089950ca4f77c8e1ab77002867de391,OPV2/s267c/run267C_p0/lateblk/s262_lih/features/s262_lih_lateblk.csv,27cc29e7acd6aad00e29983f181428260089950ca4f77c8e1ab77002867de391,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/lateblk/s262_lih/models/s262_lih_lateblk_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,OPV2/s267c/run267C_p0/lateblk/s262_lih/models/s262_lih_lateblk_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,stage56_context_et_event_signal;stage262_source_feature_rank_bucket;stage262_source_feature_gate_lowrank_inner_half_filter,4f64f17683b280455b32178290469759d37c1ac5c966d9c556def888cbfd04de,11651,540,99,18,81,441,0.816666666667,0
s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,p0_late_session_entry_block_probe,cf_remove_late_session,d07_late_session_interaction_engineering,session_slice,late,P0,"late-session hard block(후반 세션 강제 차단) negative control(부정 대조군), engineering(엔지니어링) 전 진단",stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_aia.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/lateblk/s264_aia/features/s264_aia_lateblk.csv,073cd08d340b8cdc71622902e4b8fb619bbea85caa6d3fdc896ddf568b2766f2,OPV2/s267c/run267C_p0/lateblk/s264_aia/features/s264_aia_lateblk.csv,073cd08d340b8cdc71622902e4b8fb619bbea85caa6d3fdc896ddf568b2766f2,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/lateblk/s264_aia/models/s264_aia_lateblk_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,OPV2/s267c/run267C_p0/lateblk/s264_aia/models/s264_aia_lateblk_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_all_oos_anchor,7647698b6fb69ce378e689021a9ffa86d076e6083ed493d66159b75799582469,11651,540,99,18,81,441,0.816666666667,0
s258_short_tight_control,s258_stc,stress_challenger,p0_late_session_entry_block_probe,cf_remove_late_session,d07_late_session_interaction_engineering,session_slice,late,P0,"late-session hard block(후반 세션 강제 차단) negative control(부정 대조군), engineering(엔지니어링) 전 진단",stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s258_stc.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/lateblk/s258_stc/features/s258_stc_lateblk.csv,be24b2b4c6c6b5b8390c7a46f1ab317fac4e95802dea2f685692a7cc9f7daded,OPV2/s267c/run267C_p0/lateblk/s258_stc/features/s258_stc_lateblk.csv,be24b2b4c6c6b5b8390c7a46f1ab317fac4e95802dea2f685692a7cc9f7daded,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267C/p0_mt5_variants/lateblk/s258_stc/models/s258_stc_lateblk_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,OPV2/s267c/run267C_p0/lateblk/s258_stc/models/s258_stc_lateblk_model.csv,5df52c60031e899e5df948eadad98ea84fe7a5a9c4ed0129c20e026e01f59482,stage56_context_et_event_signal;stage258_source_feature_rank_bucket;stage258_source_feature_gate_short_tight_control,d236bdaee097504348693024cb9d469fa84f770a110e737e9670568b296d9c37,11651,540,99,18,81,441,0.816666666667,0
