record_view,tier_scope,split,status,route_role,net_profit,profit_factor,trade_count,expectancy,max_drawdown_amount,max_drawdown_percent,recovery_factor,order_attempt_count,fill_count,reject_count,skip_count,feature_ready_count,model_ok_count
mt5_ta_s264_aih_julyblk_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,217.51,1.12,317,0.69,229.48,25.9,0.95,551,551,0,59283,11651,11651
mt5_rt_s264_aih_julyblk_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,217.51,1.12,317,0.69,229.48,25.9,0.95,551,551,0,59283,11651,11651
mt5_ta_s264_lc_julyblk_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,188.34,1.11,314,0.6,222.74,26.12,0.85,545,545,0,59283,11651,11651
mt5_rt_s264_lc_julyblk_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,188.34,1.11,314,0.6,222.74,26.12,0.85,545,545,0,59283,11651,11651
mt5_ta_s262_lih_julyblk_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,173.52,1.1,315,0.55,236.3,27.71,0.73,546,546,0,59283,11651,11651
mt5_rt_s262_lih_julyblk_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,173.52,1.1,315,0.55,236.3,27.71,0.73,546,546,0,59283,11651,11651
mt5_ta_s264_aia_julyblk_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,204.16,1.11,318,0.64,227.93,26.03,0.9,553,553,0,59283,11651,11651
mt5_rt_s264_aia_julyblk_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,204.16,1.11,318,0.64,227.93,26.03,0.9,553,553,0,59283,11651,11651
mt5_ta_s258_stc_julyblk_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,281.84,1.13,337,0.84,298.91,29.72,0.94,583,583,0,59283,11651,11651
mt5_rt_s258_stc_julyblk_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,281.84,1.13,337,0.84,298.91,29.72,0.94,583,583,0,59283,11651,11651
mt5_ta_s264_aih_lateblk_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,231.42,1.14,308,0.75,200.66,22.94,1.15,549,549,0,59283,11651,11651
mt5_rt_s264_aih_lateblk_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,231.42,1.14,308,0.75,200.66,22.94,1.15,549,549,0,59283,11651,11651
mt5_ta_s264_lc_lateblk_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,207.8,1.13,305,0.68,193.25,22.87,1.08,543,543,0,59283,11651,11651
mt5_rt_s264_lc_lateblk_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,207.8,1.13,305,0.68,193.25,22.87,1.08,543,543,0,59283,11651,11651
mt5_ta_s262_lih_lateblk_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,172.83,1.11,307,0.56,201.07,25.78,0.86,546,546,0,59283,11651,11651
mt5_rt_s262_lih_lateblk_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,172.83,1.11,307,0.56,201.07,25.78,0.86,546,546,0,59283,11651,11651
mt5_ta_s264_aia_lateblk_historical_2024_tier_a_train_era_stress,Tier A,historical_2024_tier_a_train_era_stress,completed,tier_only_total,222.17,1.14,309,0.72,198.52,22.96,1.12,551,551,0,59283,11651,11651
mt5_rt_s264_aia_lateblk_historical_2024_tier_a_train_era_stress,Tier A+B,historical_2024_tier_a_train_era_stress,completed,routed_total,222.17,1.14,309,0.72,198.52,22.96,1.12,551,551,0,59283,11651,11651
