record_view,candidate_alias,candidate_role,diagnostic_variant,diagnostic_label,tier_scope,route_role,base_net_profit,p0_net_profit,net_profit_delta,base_pf,p0_pf,pf_delta,base_trade_count,p0_trade_count,trade_count_delta,base_dd_percent,p0_dd_percent,dd_percent_delta,base_recovery,p0_recovery,recovery_delta,diagnostic_read
mt5_ta_s264_aih_julyblk_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,julyblk,July 2024 block(2024년 7월 차단),Tier A,tier_only_total,95.56,217.51,121.95,1.05,1.12,0.07,353,317,-36,36.68,25.9,-10.78,0.31,0.95,0.64,calendar_weak_slice_clue_not_direct_rule_requires_period_validation(달력 약점 단서일 뿐 직접 규칙이 아니며 기간 검증 필요)
mt5_rt_s264_aih_julyblk_historical_2024_tier_a_train_era_stress,s264_aih,challenger_core,julyblk,July 2024 block(2024년 7월 차단),Tier A+B,routed_total,95.56,217.51,121.95,1.05,1.12,0.07,353,317,-36,36.68,25.9,-10.78,0.31,0.95,0.64,calendar_weak_slice_clue_not_direct_rule_requires_period_validation(달력 약점 단서일 뿐 직접 규칙이 아니며 기간 검증 필요)
mt5_ta_s264_lc_julyblk_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,julyblk,July 2024 block(2024년 7월 차단),Tier A,tier_only_total,71.34,188.34,117,1.04,1.11,0.07,350,314,-36,37.52,26.12,-11.4,0.23,0.85,0.62,calendar_weak_slice_clue_not_direct_rule_requires_period_validation(달력 약점 단서일 뿐 직접 규칙이 아니며 기간 검증 필요)
mt5_rt_s264_lc_julyblk_historical_2024_tier_a_train_era_stress,s264_lc,defensive_control,julyblk,July 2024 block(2024년 7월 차단),Tier A+B,routed_total,71.34,188.34,117,1.04,1.11,0.07,350,314,-36,37.52,26.12,-11.4,0.23,0.85,0.62,calendar_weak_slice_clue_not_direct_rule_requires_period_validation(달력 약점 단서일 뿐 직접 규칙이 아니며 기간 검증 필요)
mt5_ta_s262_lih_julyblk_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,julyblk,July 2024 block(2024년 7월 차단),Tier A,tier_only_total,44.49,173.52,129.03,1.02,1.1,0.08,352,315,-37,40.13,27.71,-12.42,0.13,0.73,0.6,calendar_weak_slice_clue_not_direct_rule_requires_period_validation(달력 약점 단서일 뿐 직접 규칙이 아니며 기간 검증 필요)
mt5_rt_s262_lih_julyblk_historical_2024_tier_a_train_era_stress,s262_lih,validation_heavy,julyblk,July 2024 block(2024년 7월 차단),Tier A+B,routed_total,44.49,173.52,129.03,1.02,1.1,0.08,352,315,-37,40.13,27.71,-12.42,0.13,0.73,0.6,calendar_weak_slice_clue_not_direct_rule_requires_period_validation(달력 약점 단서일 뿐 직접 규칙이 아니며 기간 검증 필요)
mt5_ta_s264_aia_julyblk_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,julyblk,July 2024 block(2024년 7월 차단),Tier A,tier_only_total,87.07,204.16,117.09,1.05,1.11,0.06,354,318,-36,36.9,26.03,-10.87,0.28,0.9,0.62,calendar_weak_slice_clue_not_direct_rule_requires_period_validation(달력 약점 단서일 뿐 직접 규칙이 아니며 기간 검증 필요)
mt5_rt_s264_aia_julyblk_historical_2024_tier_a_train_era_stress,s264_aia,oos_anchor,julyblk,July 2024 block(2024년 7월 차단),Tier A+B,routed_total,87.07,204.16,117.09,1.05,1.11,0.06,354,318,-36,36.9,26.03,-10.87,0.28,0.9,0.62,calendar_weak_slice_clue_not_direct_rule_requires_period_validation(달력 약점 단서일 뿐 직접 규칙이 아니며 기간 검증 필요)
mt5_ta_s258_stc_julyblk_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,julyblk,July 2024 block(2024년 7월 차단),Tier A,tier_only_total,102.89,281.84,178.95,1.05,1.13,0.08,378,337,-41,40.43,29.72,-10.71,0.28,0.94,0.66,calendar_weak_slice_clue_not_direct_rule_requires_period_validation(달력 약점 단서일 뿐 직접 규칙이 아니며 기간 검증 필요)
mt5_rt_s258_stc_julyblk_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,julyblk,July 2024 block(2024년 7월 차단),Tier A+B,routed_total,102.89,281.84,178.95,1.05,1.13,0.08,378,337,-41,40.43,29.72,-10.71,0.28,0.94,0.66,calendar_weak_slice_clue_not_direct_rule_requires_period_validation(달력 약점 단서일 뿐 직접 규칙이 아니며 기간 검증 필요)
