record_view,attempt_name,tier_scope,candidate_id,candidate_alias,candidate_role,variant_id,target_period,period_id,route_role,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,min_closed_balance,slice_read
mt5_ta_s264_aih_anti_overconstraint_prune_2025h1_bn_adjacent_2025_h1_validation_post_2024,run267bn_02_s264_aih_anti_overconstraint_prune_2025h1,Tier A,s264_allow_inner_high_quarter,s264_aih,core_challenger,anti_overconstraint_prune,2025H1,adjacent_2025_h1_validation_post_2024,tier_only_total,direction,sell,119,-267.91,564.7,-832.61,0.678229,-2.251345,0.378151,12.548889,-11.251486,1.115309,316.65,58.120113,77,0.957983,8,-0.846076,228.17,deep_negative_or_dd_slice(깊은 손실 또는 손실폭 구간)
mt5_ta_s264_aih_anti_overconstraint_prune_2025h1_bn_adjacent_2025_h1_validation_post_2024,run267bn_02_s264_aih_anti_overconstraint_prune_2025h1,Tier A,s264_allow_inner_high_quarter,s264_aih,core_challenger,anti_overconstraint_prune,2025H1,adjacent_2025_h1_validation_post_2024,tier_only_total,close_hour_report,16,64,-185.24,311.17,-496.41,0.626841,-2.894375,0.359375,13.52913,-12.107561,1.117412,204.57,39.391139,55,0.984375,8,-0.905509,314.76,deep_negative_or_dd_slice(깊은 손실 또는 손실폭 구간)
mt5_ta_s264_aih_anti_overconstraint_prune_2025h1_bn_adjacent_2025_h1_validation_post_2024,run267bn_02_s264_aih_anti_overconstraint_prune_2025h1,Tier A,s264_allow_inner_high_quarter,s264_aih,core_challenger,anti_overconstraint_prune,2025H1,adjacent_2025_h1_validation_post_2024,tier_only_total,weekday,Wednesday,71,-127.18,193.52,-320.7,0.60343,-1.791268,0.521127,5.23027,-9.432353,0.554503,163.7,31.068514,56,0.915493,7,-0.776909,363.2,negative_fragile_slice(손실 취약 구간)
mt5_ta_s264_aih_anti_overconstraint_prune_2025h1_bn_adjacent_2025_h1_validation_post_2024,run267bn_02_s264_aih_anti_overconstraint_prune_2025h1,Tier A,s264_allow_inner_high_quarter,s264_aih,core_challenger,anti_overconstraint_prune,2025H1,adjacent_2025_h1_validation_post_2024,tier_only_total,chron_segment,chron_late,124,-102.01,513.16,-615.17,0.834176,-0.822661,0.532258,7.775152,-10.606379,0.733064,170.23,30.714131,89,0.91129,5,-0.599248,384.01,minor_negative_slice(작은 손실 구간)
mt5_ta_s264_aih_anti_overconstraint_prune_2025h1_bn_adjacent_2025_h1_validation_post_2024,run267bn_02_s264_aih_anti_overconstraint_prune_2025h1,Tier A,s264_allow_inner_high_quarter,s264_aih,core_challenger,anti_overconstraint_prune,2025H1,adjacent_2025_h1_validation_post_2024,tier_only_total,month,2025-05,39,-76.7,171.03,-247.73,0.690389,-1.966667,0.435897,10.060588,-11.260455,0.893444,137.55,26.629109,36,0.974359,5,-0.557615,378.99,minor_negative_slice(작은 손실 구간)
mt5_ta_s264_aih_anti_overconstraint_prune_2025h2_bn_adjacent_2025_h2_oos_followthrough,run267bn_03_s264_aih_anti_overconstraint_prune_2025h2,Tier A,s264_allow_inner_high_quarter,s264_aih,core_challenger,anti_overconstraint_prune,2025H2,adjacent_2025_h2_oos_followthrough,tier_only_total,chron_segment,chron_late,73,-74.79,298.54,-373.33,0.799668,-1.024521,0.452055,9.046667,-9.33325,0.969294,163.43,29.577414,56,0.917808,5,-0.457627,389.12,minor_negative_slice(작은 손실 구간)
mt5_ta_s264_aih_anti_overconstraint_prune_2025h2_bn_adjacent_2025_h2_oos_followthrough,run267bn_03_s264_aih_anti_overconstraint_prune_2025h2,Tier A,s264_allow_inner_high_quarter,s264_aih,core_challenger,anti_overconstraint_prune,2025H2,adjacent_2025_h2_oos_followthrough,tier_only_total,month,2025-12,41,-69.07,177.73,-246.8,0.720138,-1.684634,0.439024,9.873889,-10.730435,0.920176,105.16,21.032,41,1.0,4,-0.656809,394.84,minor_negative_slice(작은 손실 구간)
mt5_ta_s264_aih_anti_overconstraint_prune_2025h2_bn_adjacent_2025_h2_oos_followthrough,run267bn_03_s264_aih_anti_overconstraint_prune_2025h2,Tier A,s264_allow_inner_high_quarter,s264_aih,core_challenger,anti_overconstraint_prune,2025H2,adjacent_2025_h2_oos_followthrough,tier_only_total,weekday,Monday,28,-63.28,119.36,-182.64,0.653526,-2.26,0.392857,10.850909,-10.743529,1.009995,101.83,20.030292,27,0.964286,4,-0.621428,406.55,minor_negative_slice(작은 손실 구간)
mt5_ta_s264_aih_anti_overconstraint_prune_2025h2_bn_adjacent_2025_h2_oos_followthrough,run267bn_03_s264_aih_anti_overconstraint_prune_2025h2,Tier A,s264_allow_inner_high_quarter,s264_aih,core_challenger,anti_overconstraint_prune,2025H2,adjacent_2025_h2_oos_followthrough,tier_only_total,close_hour_report,19,18,-59.78,12.13,-71.91,0.168683,-3.321111,0.277778,2.426,-5.531538,0.438576,59.78,11.956,18,1.0,4,-1.0,440.22,minor_negative_slice(작은 손실 구간)
mt5_ta_s264_aih_anti_overconstraint_prune_2025h2_bn_adjacent_2025_h2_oos_followthrough,run267bn_03_s264_aih_anti_overconstraint_prune_2025h2,Tier A,s264_allow_inner_high_quarter,s264_aih,core_challenger,anti_overconstraint_prune,2025H2,adjacent_2025_h2_oos_followthrough,tier_only_total,close_hour_report,20,14,-58.35,22.49,-80.84,0.278204,-4.167857,0.357143,4.498,-8.982222,0.500767,68.92,13.498639,10,0.857143,5,-0.846634,441.65,minor_negative_slice(작은 손실 구간)
mt5_ta_s264_aih_anti_overconstraint_prune_2025h1_bn_adjacent_2025_h1_validation_post_2024,run267bn_02_s264_aih_anti_overconstraint_prune_2025h1,Tier A,s264_allow_inner_high_quarter,s264_aih,core_challenger,anti_overconstraint_prune,2025H1,adjacent_2025_h1_validation_post_2024,tier_only_total,close_hour_report,20,47,-57.45,145.42,-202.87,0.716814,-1.22234,0.531915,5.8168,-9.221364,0.630796,70.75,13.783363,32,0.914894,4,-0.812014,442.55,minor_negative_slice(작은 손실 구간)
mt5_ta_s264_aih_anti_overconstraint_prune_2025h2_bn_adjacent_2025_h2_oos_followthrough,run267bn_03_s264_aih_anti_overconstraint_prune_2025h2,Tier A,s264_allow_inner_high_quarter,s264_aih,core_challenger,anti_overconstraint_prune,2025H2,adjacent_2025_h2_oos_followthrough,tier_only_total,direction,sell,127,-45.17,818.66,-863.83,0.94771,-0.355669,0.409449,15.743462,-11.517733,1.366889,207.87,33.173744,60,0.929134,7,-0.217299,418.74,minor_negative_slice(작은 손실 구간)
