run_id,record_view,split,tier_scope,route_role,trade_count,avg_hold_bars,mfe_mean,mae_mean,long_net_profit,short_net_profit,positive_month_ratio,status
run03M_et_session_age_regime_probe_v1,mt5_b000060_tier_a_only_validation_is,validation,Tier A,tier_only_total,35,216.943,25.7535,21.4971,185.2,-118.1,0.333333,trade_attribution_recorded
run03M_et_session_age_regime_probe_v1,mt5_b000060_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,8,1415,28.7405,28.3614,85.72,-71.69,0.5,trade_attribution_recorded
run03M_et_session_age_regime_probe_v1,mt5_b000060_routed_total_validation_is,validation,Tier A+B,routed_total,43,256.419,24.1572,21.4932,201.64,-122.74,0.333333,trade_attribution_recorded
run03M_et_session_age_regime_probe_v1,mt5_b060120_tier_a_only_validation_is,validation,Tier A,tier_only_total,13,332.538,54.4762,28.914,225.71,29.33,0.666667,trade_attribution_recorded
run03M_et_session_age_regime_probe_v1,mt5_b060120_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,4,2880.5,87.7595,32.8815,224.39,-66.85,0.5,trade_attribution_recorded
run03M_et_session_age_regime_probe_v1,mt5_b060120_routed_total_validation_is,validation,Tier A+B,routed_total,16,307.062,47.34,26.3571,239.91,49.35,1,trade_attribution_recorded
run03M_et_session_age_regime_probe_v1,mt5_b120180_tier_a_only_validation_is,validation,Tier A,tier_only_total,15,174.067,22.6141,41.6479,-33,-190.57,0,trade_attribution_recorded
run03M_et_session_age_regime_probe_v1,mt5_b120180_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,3,1059.33,4.60067,33.1833,4.93,-73.44,0.5,trade_attribution_recorded
run03M_et_session_age_regime_probe_v1,mt5_b120180_routed_total_validation_is,validation,Tier A+B,routed_total,18,209.889,19.6119,37.7304,-28.07,-236.79,0,trade_attribution_recorded
run03M_et_session_age_regime_probe_v1,mt5_b180240_tier_a_only_validation_is,validation,Tier A,tier_only_total,11,445.364,47.3432,24.1672,87.94,-9.04,0.333333,trade_attribution_recorded
run03M_et_session_age_regime_probe_v1,mt5_b180240_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,2,859.5,25.9875,37.548,0,-34.92,0.5,trade_attribution_recorded
run03M_et_session_age_regime_probe_v1,mt5_b180240_routed_total_validation_is,validation,Tier A+B,routed_total,12,217.917,41.0633,19.6242,87.94,35.48,0.666667,trade_attribution_recorded
run03M_et_session_age_regime_probe_v1,mt5_b240plus_tier_a_only_validation_is,validation,Tier A,tier_only_total,18,210.333,21.8651,28.2319,-17.51,-161.56,0,trade_attribution_recorded
run03M_et_session_age_regime_probe_v1,mt5_b240plus_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,1,8929,291.651,95.508,0,-91.27,0,trade_attribution_recorded
run03M_et_session_age_regime_probe_v1,mt5_b240plus_routed_total_validation_is,validation,Tier A+B,routed_total,18,130,20.1399,27.3017,-17.51,-137.61,0,trade_attribution_recorded
run03M_et_session_age_regime_probe_v1,mt5_b000060_tier_a_only_oos,oos,Tier A,tier_only_total,17,323.706,13.804,10.2594,17.98,-2.62,0.333333,trade_attribution_recorded
run03M_et_session_age_regime_probe_v1,mt5_b000060_tier_b_fallback_only_oos,oos,Tier B,tier_b_fallback_only_total,2,1731,8.806,38.7485,0,-45.35,0,trade_attribution_recorded
run03M_et_session_age_regime_probe_v1,mt5_b000060_routed_total_oos,oos,Tier A+B,routed_total,19,304.632,11.9588,10.3938,14.79,-29.36,0.333333,trade_attribution_recorded
run03M_et_session_age_regime_probe_v1,mt5_b060120_tier_a_only_oos,oos,Tier A,tier_only_total,4,291.75,6.9105,12.71,-7.22,-22.85,0.333333,trade_attribution_recorded
run03M_et_session_age_regime_probe_v1,mt5_b060120_tier_b_fallback_only_oos,oos,Tier B,tier_b_fallback_only_total,1,1439,4.53,22.125,-0.39,0,0,trade_attribution_recorded
run03M_et_session_age_regime_probe_v1,mt5_b060120_routed_total_oos,oos,Tier A+B,routed_total,4,291,6.9105,12.71,-8.3,-23.37,0.333333,trade_attribution_recorded
run03M_et_session_age_regime_probe_v1,mt5_b180240_tier_b_fallback_only_oos,oos,Tier B,tier_b_fallback_only_total,1,1732,0.125,83.138,0,-74.5,0,trade_attribution_recorded
run03M_et_session_age_regime_probe_v1,mt5_b180240_routed_total_oos,oos,Tier A+B,routed_total,1,9,0.125,7.575,0,-7.31,0,trade_attribution_recorded
run03M_et_session_age_regime_probe_v1,mt5_b240plus_tier_a_only_oos,oos,Tier A,tier_only_total,3,189,24.5267,21.5307,0,16.62,0.666667,trade_attribution_recorded
run03M_et_session_age_regime_probe_v1,mt5_b240plus_tier_b_fallback_only_oos,oos,Tier B,tier_b_fallback_only_total,2,865,26.208,28.5905,0,-16.34,0.5,trade_attribution_recorded
run03M_et_session_age_regime_probe_v1,mt5_b240plus_routed_total_oos,oos,Tier A+B,routed_total,5,170.4,16.4832,17.0384,0,22.68,0.666667,trade_attribution_recorded
