run_id,session_bucket_id,session_bucket_label,record_view,split,wfo_split_role,tier_scope,route_role,net_profit,profit_factor,trade_count,status
run03M_et_session_age_regime_probe_v1,b000060,0-60,mt5_b000060_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,67.1,1.17,35,completed
run03M_et_session_age_regime_probe_v1,b000060,0-60,mt5_b000060_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,14.03,1.12,8,completed
run03M_et_session_age_regime_probe_v1,b000060,0-60,mt5_b000060_routed_total_validation_is,validation_is,validation,Tier A+B,routed_total,78.9,1.18,43,completed
run03M_et_session_age_regime_probe_v1,b060120,60-120,mt5_b060120_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,255.04,2.66,13,completed
run03M_et_session_age_regime_probe_v1,b060120,60-120,mt5_b060120_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,157.54,2.68,4,completed
run03M_et_session_age_regime_probe_v1,b060120,60-120,mt5_b060120_routed_total_validation_is,validation_is,validation,Tier A+B,routed_total,289.26,2.67,16,completed
run03M_et_session_age_regime_probe_v1,b120180,120-180,mt5_b120180_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,-223.57,0.33,15,completed
run03M_et_session_age_regime_probe_v1,b120180,120-180,mt5_b120180_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,-68.51,0.09,3,completed
run03M_et_session_age_regime_probe_v1,b120180,120-180,mt5_b120180_routed_total_validation_is,validation_is,validation,Tier A+B,routed_total,-264.86,0.31,18,completed
run03M_et_session_age_regime_probe_v1,b180240,180-240,mt5_b180240_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,78.9,1.52,11,completed
run03M_et_session_age_regime_probe_v1,b180240,180-240,mt5_b180240_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,-34.92,0.4,2,completed
run03M_et_session_age_regime_probe_v1,b180240,180-240,mt5_b180240_routed_total_validation_is,validation_is,validation,Tier A+B,routed_total,123.42,2.01,12,completed
run03M_et_session_age_regime_probe_v1,b240plus,240+,mt5_b240plus_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,-179.07,0.31,18,completed
run03M_et_session_age_regime_probe_v1,b240plus,240+,mt5_b240plus_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,-91.27,0,1,completed
run03M_et_session_age_regime_probe_v1,b240plus,240+,mt5_b240plus_routed_total_validation_is,validation_is,validation,Tier A+B,routed_total,-155.12,0.34,18,completed
run03M_et_session_age_regime_probe_v1,b000060,0-60,mt5_b000060_tier_a_only_oos,oos,test,Tier A,tier_only_total,15.36,1.23,17,completed
run03M_et_session_age_regime_probe_v1,b000060,0-60,mt5_b000060_tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,-45.35,0,2,completed
run03M_et_session_age_regime_probe_v1,b000060,0-60,mt5_b000060_routed_total_oos,oos,test,Tier A+B,routed_total,-14.57,0.84,19,completed
run03M_et_session_age_regime_probe_v1,b060120,60-120,mt5_b060120_tier_a_only_oos,oos,test,Tier A,tier_only_total,-30.07,0.21,4,completed
run03M_et_session_age_regime_probe_v1,b060120,60-120,mt5_b060120_tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,-0.39,0,1,completed
run03M_et_session_age_regime_probe_v1,b060120,60-120,mt5_b060120_routed_total_oos,oos,test,Tier A+B,routed_total,-31.67,0.2,4,completed
run03M_et_session_age_regime_probe_v1,b120180,120-180,mt5_b120180_tier_a_only_oos,oos,test,Tier A,tier_only_total,0,0,0,completed
run03M_et_session_age_regime_probe_v1,b120180,120-180,mt5_b120180_tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,0,0,0,completed
run03M_et_session_age_regime_probe_v1,b120180,120-180,mt5_b120180_routed_total_oos,oos,test,Tier A+B,routed_total,0,0,0,completed
run03M_et_session_age_regime_probe_v1,b180240,180-240,mt5_b180240_tier_a_only_oos,oos,test,Tier A,tier_only_total,0,0,0,completed
run03M_et_session_age_regime_probe_v1,b180240,180-240,mt5_b180240_tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,-74.5,0,1,completed
run03M_et_session_age_regime_probe_v1,b180240,180-240,mt5_b180240_routed_total_oos,oos,test,Tier A+B,routed_total,-7.31,0,1,completed
run03M_et_session_age_regime_probe_v1,b240plus,240+,mt5_b240plus_tier_a_only_oos,oos,test,Tier A,tier_only_total,16.62,1.39,3,completed
run03M_et_session_age_regime_probe_v1,b240plus,240+,mt5_b240plus_tier_b_fallback_only_oos,oos,test,Tier B,tier_b_fallback_only_total,-16.34,0.6,2,completed
run03M_et_session_age_regime_probe_v1,b240plus,240+,mt5_b240plus_routed_total_oos,oos,test,Tier A+B,routed_total,22.68,1.52,5,completed
