run_id,session_bucket_id,session_bucket_label,fold_id,attempt_name,split,wfo_split_role,tier_scope,route_role,tester_status,runtime_status,report_status,net_profit,profit_factor,trade_count,report_path
run03M_et_session_age_regime_probe_v1,b000060,0-60,fold05,b000060_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,completed,completed,completed,67.1,1.17,35,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03M_et_session_age_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03M_et_session_age_regime_probe_v1_b000060_tier_a_only_validation_is.htm
run03M_et_session_age_regime_probe_v1,b000060,0-60,fold05,b000060_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,completed,completed,completed,14.03,1.12,8,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03M_et_session_age_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03M_et_session_age_regime_probe_v1_b000060_tier_b_fallback_only_validation_is.htm
run03M_et_session_age_regime_probe_v1,b000060,0-60,fold05,b000060_routed_validation_is,validation_is,validation,Tier A+B,routed_total,completed,completed,completed,78.9,1.18,43,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03M_et_session_age_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03M_et_session_age_regime_probe_v1_b000060_routed_validation_is.htm
run03M_et_session_age_regime_probe_v1,b060120,60-120,fold05,b060120_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,completed,completed,completed,255.04,2.66,13,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03M_et_session_age_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03M_et_session_age_regime_probe_v1_b060120_tier_a_only_validation_is.htm
run03M_et_session_age_regime_probe_v1,b060120,60-120,fold05,b060120_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,completed,completed,completed,157.54,2.68,4,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03M_et_session_age_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03M_et_session_age_regime_probe_v1_b060120_tier_b_fallback_only_validation_is.htm
run03M_et_session_age_regime_probe_v1,b060120,60-120,fold05,b060120_routed_validation_is,validation_is,validation,Tier A+B,routed_total,completed,completed,completed,289.26,2.67,16,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03M_et_session_age_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03M_et_session_age_regime_probe_v1_b060120_routed_validation_is.htm
run03M_et_session_age_regime_probe_v1,b120180,120-180,fold05,b120180_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,completed,completed,completed,-223.57,0.33,15,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03M_et_session_age_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03M_et_session_age_regime_probe_v1_b120180_tier_a_only_validation_is.htm
run03M_et_session_age_regime_probe_v1,b120180,120-180,fold05,b120180_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,completed,completed,completed,-68.51,0.09,3,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03M_et_session_age_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03M_et_session_age_regime_probe_v1_b120180_tier_b_fallback_only_validation_is.htm
run03M_et_session_age_regime_probe_v1,b120180,120-180,fold05,b120180_routed_validation_is,validation_is,validation,Tier A+B,routed_total,completed,completed,completed,-264.86,0.31,18,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03M_et_session_age_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03M_et_session_age_regime_probe_v1_b120180_routed_validation_is.htm
run03M_et_session_age_regime_probe_v1,b180240,180-240,fold05,b180240_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,completed,completed,completed,78.9,1.52,11,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03M_et_session_age_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03M_et_session_age_regime_probe_v1_b180240_tier_a_only_validation_is.htm
run03M_et_session_age_regime_probe_v1,b180240,180-240,fold05,b180240_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,completed,completed,completed,-34.92,0.4,2,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03M_et_session_age_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03M_et_session_age_regime_probe_v1_b180240_tier_b_fallback_only_validation_is.htm
run03M_et_session_age_regime_probe_v1,b180240,180-240,fold05,b180240_routed_validation_is,validation_is,validation,Tier A+B,routed_total,completed,completed,completed,123.42,2.01,12,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03M_et_session_age_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03M_et_session_age_regime_probe_v1_b180240_routed_validation_is.htm
run03M_et_session_age_regime_probe_v1,b240plus,240+,fold05,b240plus_tier_a_only_validation_is,validation_is,validation,Tier A,tier_only_total,completed,completed,completed,-179.07,0.31,18,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03M_et_session_age_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03M_et_session_age_regime_probe_v1_b240plus_tier_a_only_validation_is.htm
run03M_et_session_age_regime_probe_v1,b240plus,240+,fold05,b240plus_tier_b_fallback_only_validation_is,validation_is,validation,Tier B,tier_b_fallback_only_total,completed,completed,completed,-91.27,0,1,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03M_et_session_age_regime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run03M_et_session_age_regime_probe_v1_b240plus_tier_b_fallback_only_validation_is.htm
