queue_id,priority,candidate_alias,state_profile,source_test_id,materialization_status,claim_boundary
run267AO_s264_aih_return_shock_absorption,P0,s264_aih,return_shock_absorption,rep_volatility_atr,ready_for_score_table_materialization,materialization_only_no_candidate_selection_no_onnx
run267AO_s264_aih_volatility_regime_expansion,P0,s264_aih,volatility_regime_expansion,rep_volatility_atr,ready_for_score_table_materialization,materialization_only_no_candidate_selection_no_onnx
run267AO_s264_aih_range_expansion_pressure,P0,s264_aih,range_expansion_pressure,rep_volatility_atr,ready_for_score_table_materialization,materialization_only_no_candidate_selection_no_onnx
run267AO_s264_aih_trend_strength_disagreement,P0,s264_aih,trend_strength_disagreement,rep_trend_strength_adx,ready_for_score_table_materialization,materialization_only_no_candidate_selection_no_onnx
run267AO_s264_lc_return_shock_absorption,P0,s264_lc,return_shock_absorption,rep_volatility_atr,ready_for_score_table_materialization,materialization_only_no_candidate_selection_no_onnx
run267AO_s264_lc_volatility_regime_expansion,P0,s264_lc,volatility_regime_expansion,rep_volatility_atr,ready_for_score_table_materialization,materialization_only_no_candidate_selection_no_onnx
run267AO_s264_lc_range_expansion_pressure,P0,s264_lc,range_expansion_pressure,rep_volatility_atr,ready_for_score_table_materialization,materialization_only_no_candidate_selection_no_onnx
run267AO_s264_lc_trend_strength_disagreement,P0,s264_lc,trend_strength_disagreement,rep_trend_strength_adx,ready_for_score_table_materialization,materialization_only_no_candidate_selection_no_onnx
run267AO_s262_lih_return_shock_absorption,P0,s262_lih,return_shock_absorption,rep_volatility_atr,ready_for_score_table_materialization,materialization_only_no_candidate_selection_no_onnx
run267AO_s262_lih_volatility_regime_expansion,P0,s262_lih,volatility_regime_expansion,rep_volatility_atr,ready_for_score_table_materialization,materialization_only_no_candidate_selection_no_onnx
run267AO_s262_lih_range_expansion_pressure,P0,s262_lih,range_expansion_pressure,rep_volatility_atr,ready_for_score_table_materialization,materialization_only_no_candidate_selection_no_onnx
run267AO_s262_lih_trend_strength_disagreement,P0,s262_lih,trend_strength_disagreement,rep_trend_strength_adx,ready_for_score_table_materialization,materialization_only_no_candidate_selection_no_onnx
run267AO_s264_aia_return_shock_absorption,P0,s264_aia,return_shock_absorption,rep_volatility_atr,ready_for_score_table_materialization,materialization_only_no_candidate_selection_no_onnx
run267AO_s264_aia_volatility_regime_expansion,P0,s264_aia,volatility_regime_expansion,rep_volatility_atr,ready_for_score_table_materialization,materialization_only_no_candidate_selection_no_onnx
run267AO_s264_aia_range_expansion_pressure,P0,s264_aia,range_expansion_pressure,rep_volatility_atr,ready_for_score_table_materialization,materialization_only_no_candidate_selection_no_onnx
run267AO_s264_aia_trend_strength_disagreement,P0,s264_aia,trend_strength_disagreement,rep_trend_strength_adx,ready_for_score_table_materialization,materialization_only_no_candidate_selection_no_onnx
run267AO_s258_stc_return_shock_absorption,P0,s258_stc,return_shock_absorption,abl_price_return_range,ready_for_score_table_materialization,materialization_only_no_candidate_selection_no_onnx
run267AO_s258_stc_volatility_regime_expansion,P0,s258_stc,volatility_regime_expansion,abl_volatility_bandwidth,ready_for_score_table_materialization,materialization_only_no_candidate_selection_no_onnx
run267AO_s258_stc_range_expansion_pressure,P0,s258_stc,range_expansion_pressure,abl_price_return_range,ready_for_score_table_materialization,materialization_only_no_candidate_selection_no_onnx
run267AO_s258_stc_trend_strength_disagreement,P0,s258_stc,trend_strength_disagreement,rep_trend_strength_adx,ready_for_score_table_materialization,materialization_only_no_candidate_selection_no_onnx
