queue_id,candidate_alias,source_test_id,state_profile,runtime_rows,bar_time_order_match,duplicate_bar_time_rows,runtime_missing_feature_cells,context_missing_rows,alignment_status
run267AO_s264_aih_return_shock_absorption,s264_aih,rep_volatility_atr,return_shock_absorption,11651,true,0,0,0,pass
run267AO_s264_aih_volatility_regime_expansion,s264_aih,rep_volatility_atr,volatility_regime_expansion,11651,true,0,0,0,pass
run267AO_s264_aih_range_expansion_pressure,s264_aih,rep_volatility_atr,range_expansion_pressure,11651,true,0,0,0,pass
run267AO_s264_aih_trend_strength_disagreement,s264_aih,rep_trend_strength_adx,trend_strength_disagreement,11651,true,0,0,0,pass
run267AO_s264_lc_return_shock_absorption,s264_lc,rep_volatility_atr,return_shock_absorption,11651,true,0,0,0,pass
run267AO_s264_lc_volatility_regime_expansion,s264_lc,rep_volatility_atr,volatility_regime_expansion,11651,true,0,0,0,pass
run267AO_s264_lc_range_expansion_pressure,s264_lc,rep_volatility_atr,range_expansion_pressure,11651,true,0,0,0,pass
run267AO_s264_lc_trend_strength_disagreement,s264_lc,rep_trend_strength_adx,trend_strength_disagreement,11651,true,0,0,0,pass
run267AO_s262_lih_return_shock_absorption,s262_lih,rep_volatility_atr,return_shock_absorption,11651,true,0,0,0,pass
run267AO_s262_lih_volatility_regime_expansion,s262_lih,rep_volatility_atr,volatility_regime_expansion,11651,true,0,0,0,pass
run267AO_s262_lih_range_expansion_pressure,s262_lih,rep_volatility_atr,range_expansion_pressure,11651,true,0,0,0,pass
run267AO_s262_lih_trend_strength_disagreement,s262_lih,rep_trend_strength_adx,trend_strength_disagreement,11651,true,0,0,0,pass
run267AO_s264_aia_return_shock_absorption,s264_aia,rep_volatility_atr,return_shock_absorption,11651,true,0,0,0,pass
run267AO_s264_aia_volatility_regime_expansion,s264_aia,rep_volatility_atr,volatility_regime_expansion,11651,true,0,0,0,pass
run267AO_s264_aia_range_expansion_pressure,s264_aia,rep_volatility_atr,range_expansion_pressure,11651,true,0,0,0,pass
run267AO_s264_aia_trend_strength_disagreement,s264_aia,rep_trend_strength_adx,trend_strength_disagreement,11651,true,0,0,0,pass
run267AO_s258_stc_return_shock_absorption,s258_stc,abl_price_return_range,return_shock_absorption,11651,true,0,0,0,pass
run267AO_s258_stc_volatility_regime_expansion,s258_stc,abl_volatility_bandwidth,volatility_regime_expansion,11651,true,0,0,0,pass
run267AO_s258_stc_range_expansion_pressure,s258_stc,abl_price_return_range,range_expansion_pressure,11651,true,0,0,0,pass
run267AO_s258_stc_trend_strength_disagreement,s258_stc,rep_trend_strength_adx,trend_strength_disagreement,11651,true,0,0,0,pass
