episode_id,entry_time_server,side,profit,target_adverse_loss,selection_split_role,entry_feature_join_valid,adverse_selection_score
f89b_ep_001,2025.01.02 16:35:00,sell,9.08,0,inner_train,1,0.04110361939861406
f89b_ep_002,2025.01.02 16:40:00,buy,7.72,0,inner_train,1,0.03025483427426736
f89b_ep_003,2025.01.02 17:45:00,buy,5.44,0,inner_train,1,0.16982117845005146
f89b_ep_004,2025.01.02 18:35:00,sell,-5.03,1,inner_train,1,0.9564650373888358
f89b_ep_005,2025.01.02 18:50:00,buy,-34.53,1,inner_train,1,0.9290626442181333
f89b_ep_006,2025.01.02 19:55:00,buy,-4.95,1,inner_train,1,0.9270184250112681
f89b_ep_007,2025.01.02 21:00:00,buy,1.39,0,inner_train,1,0.12288198890862423
f89b_ep_008,2025.01.03 16:35:00,sell,-8.26,1,inner_train,1,0.9139506327885186
f89b_ep_009,2025.01.03 16:40:00,buy,1.04,0,inner_train,1,0.17117735142430715
f89b_ep_010,2025.01.03 16:45:00,sell,4.76,0,inner_train,1,0.07305689374435372
f89b_ep_011,2025.01.03 17:50:00,sell,-10.27,1,inner_train,1,0.8789457216570543
f89b_ep_012,2025.01.06 16:35:00,sell,-9.1,1,inner_train,1,0.9945932696024266
f89b_ep_013,2025.01.06 17:50:00,sell,3.14,0,inner_train,1,0.08999366903879044
f89b_ep_014,2025.01.06 21:00:00,sell,4.48,0,inner_train,1,0.028409507924807512
f89b_ep_015,2025.01.07 16:35:00,sell,14.54,0,locked_forward_readout,1,0.009068701247042801
f89b_ep_016,2025.01.07 17:05:00,buy,-5.95,1,locked_forward_readout,1,0.03879014527568965
f89b_ep_017,2025.01.07 18:10:00,buy,-9.3,1,locked_forward_readout,1,0.7996085169414328
f89b_ep_018,2025.01.07 19:15:00,buy,2.48,0,locked_forward_readout,1,0.5030649031351361
f89b_ep_019,2025.01.08 16:35:00,buy,-6.96,1,locked_forward_readout,1,0.7972700267882405
f89b_ep_020,2025.01.08 17:40:00,buy,6.52,0,locked_forward_readout,1,0.5986122429967915
f89b_ep_021,2025.01.08 18:45:00,buy,-16.62,1,locked_forward_readout,1,0.9259761288677298
f89b_ep_022,2025.01.08 19:50:00,buy,11.17,0,locked_forward_readout,1,0.8631223352865901
f89b_ep_023,2025.01.08 20:55:00,buy,3.01,0,locked_forward_readout,1,0.21632892467920656
