variant_id,variant_token,package_id,tier_a_survival_read,tier_b_survival_read,tier_a_oos_net_profit,tier_b_oos_net_profit,tier_a_oos_pf,tier_b_oos_pf,package_read,next_use,selected_candidate,onnx_readiness,failure_memory_label,reuse_rule
run276A_cp275A_q01_base_surface,q01_base_surface,cp275A_volatility_pullback_breakout_surface,pf_too_thin_not_survivor,pf_too_thin_not_survivor,415.71,415.71,1.20851,1.20851,paired_failure_memory_not_survivor,failure_memory,none,not_claimed,paired_failure_memory_not_survivor,do_not_call_candidate_without_new_thesis_or_repair_gate
run276A_cp275A_q02_score_q70_focus,q02_score_q70_focus,cp275A_volatility_pullback_breakout_surface,pf_too_thin_not_survivor,pf_too_thin_not_survivor,88.56,88.56,1.04585,1.04585,paired_failure_memory_not_survivor,failure_memory,none,not_claimed,paired_failure_memory_not_survivor,do_not_call_candidate_without_new_thesis_or_repair_gate
run276A_cp275A_q03_q04_distance_focus,q03_q04_distance_focus,cp275A_volatility_pullback_breakout_surface,pf_too_thin_not_survivor,pf_too_thin_not_survivor,323.89,323.89,1.25895,1.25895,paired_failure_memory_not_survivor,failure_memory,none,not_claimed,paired_failure_memory_not_survivor,do_not_call_candidate_without_new_thesis_or_repair_gate
run276A_cp275A_q04_risk_q70_focus,q04_risk_q70_focus,cp275A_volatility_pullback_breakout_surface,pf_too_thin_not_survivor,pf_too_thin_not_survivor,88.56,88.56,1.04585,1.04585,paired_failure_memory_not_survivor,failure_memory,none,not_claimed,paired_failure_memory_not_survivor,do_not_call_candidate_without_new_thesis_or_repair_gate
run276A_cp275B_q01_base_surface,q01_base_surface,cp275B_cross_asset_divergence_reversal_surface,oos_negative_not_survivor,oos_negative_not_survivor,-508.35,-133.62,0.82403,0.954798,paired_failure_memory_not_survivor,failure_memory,none,not_claimed,paired_failure_memory_not_survivor,do_not_call_candidate_without_new_thesis_or_repair_gate
run276A_cp275B_q02_score_q70_focus,q02_score_q70_focus,cp275B_cross_asset_divergence_reversal_surface,oos_negative_not_survivor,oos_negative_not_survivor,-339.38,-136.62,0.893023,0.938031,paired_failure_memory_not_survivor,failure_memory,none,not_claimed,paired_failure_memory_not_survivor,do_not_call_candidate_without_new_thesis_or_repair_gate
run276A_cp275B_q03_q04_distance_focus,q03_q04_distance_focus,cp275B_cross_asset_divergence_reversal_surface,oos_negative_not_survivor,oos_negative_not_survivor,-493.95,-399.07,0.765723,0.842874,paired_failure_memory_not_survivor,failure_memory,none,not_claimed,paired_failure_memory_not_survivor,do_not_call_candidate_without_new_thesis_or_repair_gate
run276A_cp275B_q04_risk_q70_focus,q04_risk_q70_focus,cp275B_cross_asset_divergence_reversal_surface,oos_negative_not_survivor,oos_negative_not_survivor,-299.82,-140.54,0.90014,0.934323,paired_failure_memory_not_survivor,failure_memory,none,not_claimed,paired_failure_memory_not_survivor,do_not_call_candidate_without_new_thesis_or_repair_gate
run276A_cp275D_q01_base_surface,q01_base_surface,cp275D_macro_volatility_squeeze_release_surface,oos_negative_not_survivor,oos_negative_not_survivor,-265.52,-265.52,0.917668,0.917668,paired_failure_memory_not_survivor,failure_memory,none,not_claimed,paired_failure_memory_not_survivor,do_not_call_candidate_without_new_thesis_or_repair_gate
run276A_cp275D_q02_score_q70_focus,q02_score_q70_focus,cp275D_macro_volatility_squeeze_release_surface,pf_too_thin_not_survivor,pf_too_thin_not_survivor,65.5,65.5,1.02354,1.02354,paired_failure_memory_not_survivor,failure_memory,none,not_claimed,paired_failure_memory_not_survivor,do_not_call_candidate_without_new_thesis_or_repair_gate
run276A_cp275D_q03_q04_distance_focus,q03_q04_distance_focus,cp275D_macro_volatility_squeeze_release_surface,oos_negative_not_survivor,oos_negative_not_survivor,-432.48,-432.48,0.845166,0.845166,paired_failure_memory_not_survivor,failure_memory,none,not_claimed,paired_failure_memory_not_survivor,do_not_call_candidate_without_new_thesis_or_repair_gate
run276A_cp275D_q04_risk_q70_focus,q04_risk_q70_focus,cp275D_macro_volatility_squeeze_release_surface,oos_negative_not_survivor,oos_negative_not_survivor,-194.92,-194.92,0.921698,0.921698,paired_failure_memory_not_survivor,failure_memory,none,not_claimed,paired_failure_memory_not_survivor,do_not_call_candidate_without_new_thesis_or_repair_gate
