variant_id,variant_token,package_id,record_view,tier_scope,split,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,slice_read
run276A_cp275D_q03_q04_distance_focus,q03_q04_distance_focus,cp275D_macro_volatility_squeeze_release_surface,mt5_cp275D_q03_q04_distance_focus_tier_a_oos,Tier A,oos,chron_segment,chron_late,256,-520.74,630.43,-1151.17,0.547643,-2.03414,0.3125,7.88037,-6.54074,1.20481,537.96,104.01,246,0.992188,10,-0.96799,deep_negative_or_dd_slice
run276A_cp275D_q03_q04_distance_focus,q03_q04_distance_focus,cp275D_macro_volatility_squeeze_release_surface,mt5_cp275D_q03_q04_distance_focus_tier_b_oos,Tier B,oos,chron_segment,chron_late,256,-520.74,630.43,-1151.17,0.547643,-2.03414,0.3125,7.88037,-6.54074,1.20481,537.96,104.01,246,0.992188,10,-0.96799,deep_negative_or_dd_slice
run276A_cp275B_q03_q04_distance_focus,q03_q04_distance_focus,cp275B_cross_asset_divergence_reversal_surface,mt5_cp275B_q03_q04_distance_focus_tier_a_oos,Tier A,oos,session_report,session_13_20_report_time,491,-519.84,1437.08,-1956.92,0.734358,-1.05874,0.439919,6.65315,-7.11607,0.934947,623.24,103.288,450,0.979633,8,-0.834093,deep_negative_or_dd_slice
run276A_cp275D_q01_base_surface,q01_base_surface,cp275D_macro_volatility_squeeze_release_surface,mt5_cp275D_q01_base_surface_tier_a_oos,Tier A,oos,chron_segment,chron_late,333,-516.78,787.74,-1304.52,0.603854,-1.55189,0.315315,7.50229,-5.72158,1.31123,598.03,108.151,281,0.978979,11,-0.864137,deep_negative_or_dd_slice
run276A_cp275D_q01_base_surface,q01_base_surface,cp275D_macro_volatility_squeeze_release_surface,mt5_cp275D_q01_base_surface_tier_b_oos,Tier B,oos,chron_segment,chron_late,333,-516.78,787.74,-1304.52,0.603854,-1.55189,0.315315,7.50229,-5.72158,1.31123,598.03,108.151,281,0.978979,11,-0.864137,deep_negative_or_dd_slice
run276A_cp275B_q01_base_surface,q01_base_surface,cp275B_cross_asset_divergence_reversal_surface,mt5_cp275B_q01_base_surface_tier_a_oos,Tier A,oos,session_report,session_13_20_report_time,843,-472.99,2168.66,-2641.65,0.820949,-0.561079,0.41637,6.17852,-5.36921,1.15073,574.09,95.5066,779,0.982206,12,-0.823895,deep_negative_or_dd_slice
run276A_cp275B_q03_q04_distance_focus,q03_q04_distance_focus,cp275B_cross_asset_divergence_reversal_surface,mt5_cp275B_q03_q04_distance_focus_tier_a_oos,Tier A,oos,chron_segment,chron_late,189,-445.35,402.09,-847.44,0.474476,-2.35635,0.391534,5.43365,-7.36904,0.737361,453.87,89.2531,188,0.994709,7,-0.981228,deep_negative_or_dd_slice
run276A_cp275D_q01_base_surface,q01_base_surface,cp275D_macro_volatility_squeeze_release_surface,mt5_cp275D_q01_base_surface_tier_a_oos,Tier A,oos,month,2026-03,203,-435.89,388.91,-824.8,0.47152,-2.14724,0.305419,6.27274,-5.84965,1.07233,524.19,102.901,201,0.990148,11,-0.83155,deep_negative_or_dd_slice
run276A_cp275D_q01_base_surface,q01_base_surface,cp275D_macro_volatility_squeeze_release_surface,mt5_cp275D_q01_base_surface_tier_b_oos,Tier B,oos,month,2026-03,203,-435.89,388.91,-824.8,0.47152,-2.14724,0.305419,6.27274,-5.84965,1.07233,524.19,102.901,201,0.990148,11,-0.83155,deep_negative_or_dd_slice
run276A_cp275D_q02_score_q70_focus,q02_score_q70_focus,cp275D_macro_volatility_squeeze_release_surface,mt5_cp275D_q02_score_q70_focus_tier_a_oos,Tier A,oos,month,2026-03,192,-398.06,365.59,-763.65,0.47874,-2.07323,0.302083,6.30328,-5.69888,1.10606,477.41,93.7182,190,0.989583,11,-0.833791,deep_negative_or_dd_slice
run276A_cp275D_q02_score_q70_focus,q02_score_q70_focus,cp275D_macro_volatility_squeeze_release_surface,mt5_cp275D_q02_score_q70_focus_tier_b_oos,Tier B,oos,month,2026-03,192,-398.06,365.59,-763.65,0.47874,-2.07323,0.302083,6.30328,-5.69888,1.10606,477.41,93.7182,190,0.989583,11,-0.833791,deep_negative_or_dd_slice
run276A_cp275D_q02_score_q70_focus,q02_score_q70_focus,cp275D_macro_volatility_squeeze_release_surface,mt5_cp275D_q02_score_q70_focus_tier_a_oos,Tier A,oos,chron_segment,chron_late,300,-391.47,743.43,-1134.9,0.655062,-1.3049,0.32,7.74406,-5.56324,1.39201,512.34,86.4592,268,0.96,11,-0.764082,deep_negative_or_dd_slice
