run_id,adapter_id,tier_scope,window_id,feature_file,from_date,to_date,window_rows,original_long_signals,original_short_signals,filtered_long_signals,filtered_short_signals,base_adx_removed_short_signals,firewall_removed_short_signals,adapter_blocked_long_signals,adapter_blocked_short_signals,rule_description,source_files
run48A_cost_aware_side_permission_filter_v1,csp00_stage51_control,Tier A,w01_2025q2,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_a_csp00_stage51_control_w01_2025q2_s54.csv,2025.04.01,2025.07.01,3597,61,72,61,40,11,21,0,0,no additional cost-aware side permission filter,"c08_a_val_s45.csv,c08_a_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp00_stage51_control,Tier A,w02_2025q3,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_a_csp00_stage51_control_w02_2025q3_s54.csv,2025.07.01,2025.10.01,2977,137,133,137,80,27,26,0,0,no additional cost-aware side permission filter,"c08_a_val_s45.csv,c08_a_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp00_stage51_control,Tier A,w03_2025q4,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_a_csp00_stage51_control_w03_2025q4_s54.csv,2025.10.01,2026.01.01,3509,103,103,103,60,17,26,0,0,no additional cost-aware side permission filter,"c08_a_val_s45.csv,c08_a_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp00_stage51_control,Tier A,w04_2026q1,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_a_csp00_stage51_control_w04_2026q1_s54.csv,2026.01.01,2026.04.14,4075,72,57,72,35,9,13,0,0,no additional cost-aware side permission filter,"c08_a_val_s45.csv,c08_a_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp00_stage51_control,Tier B,w01_2025q2,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_b_csp00_stage51_control_w01_2025q2_s54.csv,2025.04.01,2025.07.01,495,8,9,8,9,0,0,0,0,no additional cost-aware side permission filter,"c08_b_val_s45.csv,c08_b_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp00_stage51_control,Tier B,w02_2025q3,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_b_csp00_stage51_control_w02_2025q3_s54.csv,2025.07.01,2025.10.01,1181,29,28,29,28,0,0,0,0,no additional cost-aware side permission filter,"c08_b_val_s45.csv,c08_b_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp00_stage51_control,Tier B,w03_2025q4,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_b_csp00_stage51_control_w03_2025q4_s54.csv,2025.10.01,2026.01.01,583,13,14,13,14,0,0,0,0,no additional cost-aware side permission filter,"c08_b_val_s45.csv,c08_b_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp00_stage51_control,Tier B,w04_2026q1,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_b_csp00_stage51_control_w04_2026q1_s54.csv,2026.01.01,2026.04.14,479,10,11,10,11,0,0,0,0,no additional cost-aware side permission filter,"c08_b_val_s45.csv,c08_b_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp01_stage53_candidate_retest,Tier A,w01_2025q2,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_a_csp01_stage53_candidate_retest_w01_2025q2_s54.csv,2025.04.01,2025.07.01,3597,61,72,11,40,11,21,50,0,retest the Stage53 user-review candidate by blocking long entries during early session or ADX greater than 25,"c08_a_val_s45.csv,c08_a_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp01_stage53_candidate_retest,Tier A,w02_2025q3,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_a_csp01_stage53_candidate_retest_w02_2025q3_s54.csv,2025.07.01,2025.10.01,2977,137,133,37,80,27,26,100,0,retest the Stage53 user-review candidate by blocking long entries during early session or ADX greater than 25,"c08_a_val_s45.csv,c08_a_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp01_stage53_candidate_retest,Tier A,w03_2025q4,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_a_csp01_stage53_candidate_retest_w03_2025q4_s54.csv,2025.10.01,2026.01.01,3509,103,103,34,60,17,26,69,0,retest the Stage53 user-review candidate by blocking long entries during early session or ADX greater than 25,"c08_a_val_s45.csv,c08_a_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp01_stage53_candidate_retest,Tier A,w04_2026q1,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_a_csp01_stage53_candidate_retest_w04_2026q1_s54.csv,2026.01.01,2026.04.14,4075,72,57,25,35,9,13,47,0,retest the Stage53 user-review candidate by blocking long entries during early session or ADX greater than 25,"c08_a_val_s45.csv,c08_a_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp01_stage53_candidate_retest,Tier B,w01_2025q2,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_b_csp01_stage53_candidate_retest_w01_2025q2_s54.csv,2025.04.01,2025.07.01,495,8,9,8,9,0,0,0,0,retest the Stage53 user-review candidate by blocking long entries during early session or ADX greater than 25,"c08_b_val_s45.csv,c08_b_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp01_stage53_candidate_retest,Tier B,w02_2025q3,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_b_csp01_stage53_candidate_retest_w02_2025q3_s54.csv,2025.07.01,2025.10.01,1181,29,28,29,28,0,0,0,0,retest the Stage53 user-review candidate by blocking long entries during early session or ADX greater than 25,"c08_b_val_s45.csv,c08_b_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp01_stage53_candidate_retest,Tier B,w03_2025q4,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_b_csp01_stage53_candidate_retest_w03_2025q4_s54.csv,2025.10.01,2026.01.01,583,13,14,13,14,0,0,0,0,retest the Stage53 user-review candidate by blocking long entries during early session or ADX greater than 25,"c08_b_val_s45.csv,c08_b_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp01_stage53_candidate_retest,Tier B,w04_2026q1,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_b_csp01_stage53_candidate_retest_w04_2026q1_s54.csv,2026.01.01,2026.04.14,479,10,11,10,11,0,0,0,0,retest the Stage53 user-review candidate by blocking long entries during early session or ADX greater than 25,"c08_b_val_s45.csv,c08_b_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp02_no_early_longs_no_lowadx_shorts,Tier A,w01_2025q2,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_a_csp02_no_early_longs_no_lowadx_shorts_w01_2025q2_s54.csv,2025.04.01,2025.07.01,3597,61,72,21,26,11,21,40,14,block early-session long entries and block short entries when ADX is below 20,"c08_a_val_s45.csv,c08_a_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp02_no_early_longs_no_lowadx_shorts,Tier A,w02_2025q3,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_a_csp02_no_early_longs_no_lowadx_shorts_w02_2025q3_s54.csv,2025.07.01,2025.10.01,2977,137,133,61,46,27,26,76,34,block early-session long entries and block short entries when ADX is below 20,"c08_a_val_s45.csv,c08_a_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp02_no_early_longs_no_lowadx_shorts,Tier A,w03_2025q4,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_a_csp02_no_early_longs_no_lowadx_shorts_w03_2025q4_s54.csv,2025.10.01,2026.01.01,3509,103,103,47,30,17,26,56,30,block early-session long entries and block short entries when ADX is below 20,"c08_a_val_s45.csv,c08_a_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp02_no_early_longs_no_lowadx_shorts,Tier A,w04_2026q1,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_a_csp02_no_early_longs_no_lowadx_shorts_w04_2026q1_s54.csv,2026.01.01,2026.04.14,4075,72,57,34,22,9,13,38,13,block early-session long entries and block short entries when ADX is below 20,"c08_a_val_s45.csv,c08_a_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp02_no_early_longs_no_lowadx_shorts,Tier B,w01_2025q2,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_b_csp02_no_early_longs_no_lowadx_shorts_w01_2025q2_s54.csv,2025.04.01,2025.07.01,495,8,9,8,9,0,0,0,0,block early-session long entries and block short entries when ADX is below 20,"c08_b_val_s45.csv,c08_b_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp02_no_early_longs_no_lowadx_shorts,Tier B,w02_2025q3,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_b_csp02_no_early_longs_no_lowadx_shorts_w02_2025q3_s54.csv,2025.07.01,2025.10.01,1181,29,28,29,28,0,0,0,0,block early-session long entries and block short entries when ADX is below 20,"c08_b_val_s45.csv,c08_b_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp02_no_early_longs_no_lowadx_shorts,Tier B,w03_2025q4,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_b_csp02_no_early_longs_no_lowadx_shorts_w03_2025q4_s54.csv,2025.10.01,2026.01.01,583,13,14,13,14,0,0,0,0,block early-session long entries and block short entries when ADX is below 20,"c08_b_val_s45.csv,c08_b_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp02_no_early_longs_no_lowadx_shorts,Tier B,w04_2026q1,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_b_csp02_no_early_longs_no_lowadx_shorts_w04_2026q1_s54.csv,2026.01.01,2026.04.14,479,10,11,10,11,0,0,0,0,block early-session long entries and block short entries when ADX is below 20,"c08_b_val_s45.csv,c08_b_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp03_midlate_longs_strong_shorts,Tier A,w01_2025q2,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_a_csp03_midlate_longs_strong_shorts_w01_2025q2_s54.csv,2025.04.01,2025.07.01,3597,61,72,11,35,11,21,50,5,"block early/trend long entries and allow shorts only in late, trend, or DI-short-strong context","c08_a_val_s45.csv,c08_a_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp03_midlate_longs_strong_shorts,Tier A,w02_2025q3,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_a_csp03_midlate_longs_strong_shorts_w02_2025q3_s54.csv,2025.07.01,2025.10.01,2977,137,133,37,69,27,26,100,11,"block early/trend long entries and allow shorts only in late, trend, or DI-short-strong context","c08_a_val_s45.csv,c08_a_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp03_midlate_longs_strong_shorts,Tier A,w03_2025q4,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_a_csp03_midlate_longs_strong_shorts_w03_2025q4_s54.csv,2025.10.01,2026.01.01,3509,103,103,34,49,17,26,69,11,"block early/trend long entries and allow shorts only in late, trend, or DI-short-strong context","c08_a_val_s45.csv,c08_a_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp03_midlate_longs_strong_shorts,Tier A,w04_2026q1,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_a_csp03_midlate_longs_strong_shorts_w04_2026q1_s54.csv,2026.01.01,2026.04.14,4075,72,57,25,30,9,13,47,5,"block early/trend long entries and allow shorts only in late, trend, or DI-short-strong context","c08_a_val_s45.csv,c08_a_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp03_midlate_longs_strong_shorts,Tier B,w01_2025q2,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_b_csp03_midlate_longs_strong_shorts_w01_2025q2_s54.csv,2025.04.01,2025.07.01,495,8,9,8,0,0,0,0,9,"block early/trend long entries and allow shorts only in late, trend, or DI-short-strong context","c08_b_val_s45.csv,c08_b_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp03_midlate_longs_strong_shorts,Tier B,w02_2025q3,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_b_csp03_midlate_longs_strong_shorts_w02_2025q3_s54.csv,2025.07.01,2025.10.01,1181,29,28,29,0,0,0,0,28,"block early/trend long entries and allow shorts only in late, trend, or DI-short-strong context","c08_b_val_s45.csv,c08_b_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp03_midlate_longs_strong_shorts,Tier B,w03_2025q4,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_b_csp03_midlate_longs_strong_shorts_w03_2025q4_s54.csv,2025.10.01,2026.01.01,583,13,14,13,0,0,0,0,14,"block early/trend long entries and allow shorts only in late, trend, or DI-short-strong context","c08_b_val_s45.csv,c08_b_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp03_midlate_longs_strong_shorts,Tier B,w04_2026q1,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_b_csp03_midlate_longs_strong_shorts_w04_2026q1_s54.csv,2026.01.01,2026.04.14,479,10,11,10,0,0,0,0,11,"block early/trend long entries and allow shorts only in late, trend, or DI-short-strong context","c08_b_val_s45.csv,c08_b_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp04_late_longs_no_volmid_shorts,Tier A,w01_2025q2,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_a_csp04_late_longs_no_volmid_shorts_w01_2025q2_s54.csv,2025.04.01,2025.07.01,3597,61,72,11,22,11,21,50,18,allow longs only during late session and block shorts in vol-mid or low-ADX context,"c08_a_val_s45.csv,c08_a_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp04_late_longs_no_volmid_shorts,Tier A,w02_2025q3,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_a_csp04_late_longs_no_volmid_shorts_w02_2025q3_s54.csv,2025.07.01,2025.10.01,2977,137,133,37,42,27,26,100,38,allow longs only during late session and block shorts in vol-mid or low-ADX context,"c08_a_val_s45.csv,c08_a_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp04_late_longs_no_volmid_shorts,Tier A,w03_2025q4,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_a_csp04_late_longs_no_volmid_shorts_w03_2025q4_s54.csv,2025.10.01,2026.01.01,3509,103,103,24,25,17,26,79,35,allow longs only during late session and block shorts in vol-mid or low-ADX context,"c08_a_val_s45.csv,c08_a_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp04_late_longs_no_volmid_shorts,Tier A,w04_2026q1,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_a_csp04_late_longs_no_volmid_shorts_w04_2026q1_s54.csv,2026.01.01,2026.04.14,4075,72,57,22,15,9,13,50,20,allow longs only during late session and block shorts in vol-mid or low-ADX context,"c08_a_val_s45.csv,c08_a_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp04_late_longs_no_volmid_shorts,Tier B,w01_2025q2,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_b_csp04_late_longs_no_volmid_shorts_w01_2025q2_s54.csv,2025.04.01,2025.07.01,495,8,9,0,9,0,0,8,0,allow longs only during late session and block shorts in vol-mid or low-ADX context,"c08_b_val_s45.csv,c08_b_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp04_late_longs_no_volmid_shorts,Tier B,w02_2025q3,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_b_csp04_late_longs_no_volmid_shorts_w02_2025q3_s54.csv,2025.07.01,2025.10.01,1181,29,28,0,28,0,0,29,0,allow longs only during late session and block shorts in vol-mid or low-ADX context,"c08_b_val_s45.csv,c08_b_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp04_late_longs_no_volmid_shorts,Tier B,w03_2025q4,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_b_csp04_late_longs_no_volmid_shorts_w03_2025q4_s54.csv,2025.10.01,2026.01.01,583,13,14,0,14,0,0,13,0,allow longs only during late session and block shorts in vol-mid or low-ADX context,"c08_b_val_s45.csv,c08_b_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp04_late_longs_no_volmid_shorts,Tier B,w04_2026q1,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_b_csp04_late_longs_no_volmid_shorts_w04_2026q1_s54.csv,2026.01.01,2026.04.14,479,10,11,0,11,0,0,10,0,allow longs only during late session and block shorts in vol-mid or low-ADX context,"c08_b_val_s45.csv,c08_b_oos_s45.csv"
run48A_cost_aware_side_permission_filter_v1,csp05_short_only_trend_or_di,Tier A,w01_2025q2,stages/54_adapter_signal__cost_aware_side_permission_filter/02_runs/run48A/features/run48A_a_csp05_short_only_trend_or_di_w01_2025q2_s54.csv,2025.04.01,2025.07.01,3597,61,72,0,32,11,21,61,8,block all longs and allow shorts only when ADX is greater than 25 or DI-short-strong context is present,"c08_a_val_s45.csv,c08_a_oos_s45.csv"
