adapter_id,route_view,validation_closed_trades,oos_closed_trades,combined_closed_trades,validation_trades_per_month,oos_trades_per_month,weakest_wfo_window_trade_count,single_trade_share,day_share,week_share,month_share,status,failed_reasons
csp00_stage51_control,tier_a_side_filter_separate,217,190,407,36.092555,29.657051,69,0.117167,0.097809,0.166676,0.289253,passed,[]
csp00_stage51_control,tier_b_side_filter_separate,62,36,98,10.312158,5.619231,15,0.31446,0.31446,0.341796,0.429163,failed,"['oos_closed_trades_lt_40', 'combined_closed_trades_lt_100', 'single_trade_share_gt_25pct']"
csp01_stage53_candidate_retest,tier_a_side_filter_separate,119,104,223,19.792691,16.233333,36,0.111509,0.10691,0.162181,0.22848,passed,[]
csp01_stage53_candidate_retest,tier_b_side_filter_separate,62,36,98,10.312158,5.619231,15,0.31446,0.31446,0.341796,0.429163,failed,"['oos_closed_trades_lt_40', 'combined_closed_trades_lt_100', 'single_trade_share_gt_25pct']"
csp02_no_early_longs_no_lowadx_shorts,tier_a_side_filter_separate,111,92,203,18.46209,14.360256,36,0.151813,0.145551,0.177002,0.227666,passed,[]
csp02_no_early_longs_no_lowadx_shorts,tier_b_side_filter_separate,62,36,98,10.312158,5.619231,15,0.31446,0.31446,0.341796,0.429163,failed,"['oos_closed_trades_lt_40', 'combined_closed_trades_lt_100', 'single_trade_share_gt_25pct']"
csp03_midlate_longs_strong_shorts,tier_a_side_filter_separate,108,92,200,17.963115,14.360256,33,0.106404,0.102015,0.154755,0.211486,passed,[]
csp03_midlate_longs_strong_shorts,tier_b_side_filter_separate,26,15,41,4.324454,2.341346,6,1.12074,1.12074,1.49075,1.301363,failed,"['validation_closed_trades_lt_40', 'oos_closed_trades_lt_40', 'combined_closed_trades_lt_100', 'oos_density_lt_3_per_month', 'weakest_wfo_window_lt_12', 'single_trade_share_gt_25pct', 'day_share_gt_35pct', 'week_share_gt_50pct', 'month_share_gt_65pct']"
csp04_late_longs_no_volmid_shorts,tier_a_side_filter_separate,81,63,144,13.472336,9.833654,27,0.138077,0.132382,0.184416,0.2525,passed,[]
csp04_late_longs_no_volmid_shorts,tier_b_side_filter_separate,26,17,43,4.324454,2.653526,7,0.873942,0.873942,0.873942,1.090355,failed,"['validation_closed_trades_lt_40', 'oos_closed_trades_lt_40', 'combined_closed_trades_lt_100', 'oos_density_lt_3_per_month', 'weakest_wfo_window_lt_12', 'single_trade_share_gt_25pct', 'day_share_gt_35pct', 'week_share_gt_50pct', 'month_share_gt_65pct']"
csp05_short_only_trend_or_di,tier_a_side_filter_separate,62,46,108,10.312158,7.180128,17,0.192657,0.192657,0.302898,0.407997,passed,[]
csp05_short_only_trend_or_di,tier_b_side_filter_separate,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,failed,"['validation_closed_trades_lt_40', 'oos_closed_trades_lt_40', 'combined_closed_trades_lt_100', 'validation_density_lt_3_per_month', 'oos_density_lt_3_per_month', 'weakest_wfo_window_lt_12']"
