adapter_id,route_view,closed_trades,net_profit,single_trade_share,day_share,week_share,month_share,long_trades,short_trades,status
csp00_stage51_control,tier_a_side_filter_separate,407,364.18,0.117167,0.097809,0.166676,0.289253,244,163,passed
csp00_stage51_control,tier_b_side_filter_separate,98,164.25,0.31446,0.31446,0.341796,0.429163,47,51,failed_concentrated
csp01_stage53_candidate_retest,tier_a_side_filter_separate,223,382.66,0.111509,0.10691,0.162181,0.22848,82,141,passed
csp01_stage53_candidate_retest,tier_b_side_filter_separate,98,164.25,0.31446,0.31446,0.341796,0.429163,47,51,failed_concentrated
csp02_no_early_longs_no_lowadx_shorts,tier_a_side_filter_separate,203,281.07,0.151813,0.145551,0.177002,0.227666,124,79,passed
csp02_no_early_longs_no_lowadx_shorts,tier_b_side_filter_separate,98,164.25,0.31446,0.31446,0.341796,0.429163,47,51,failed_concentrated
csp03_midlate_longs_strong_shorts,tier_a_side_filter_separate,200,401.02,0.106404,0.102015,0.154755,0.211486,81,119,passed
csp03_midlate_longs_strong_shorts,tier_b_side_filter_separate,41,41.08,1.12074,1.12074,1.49075,1.301363,41,0,failed_concentrated
csp04_late_longs_no_volmid_shorts,tier_a_side_filter_separate,144,309.03,0.138077,0.132382,0.184416,0.2525,72,72,passed
csp04_late_longs_no_volmid_shorts,tier_b_side_filter_separate,43,59.1,0.873942,0.873942,0.873942,1.090355,0,43,failed_concentrated
csp05_short_only_trend_or_di,tier_a_side_filter_separate,108,208.09,0.192657,0.192657,0.302898,0.407997,0,108,passed
csp05_short_only_trend_or_di,tier_b_side_filter_separate,0,0.0,0.0,0.0,0.0,0.0,0,0,passed
