split,selection_split_role,session_bucket,hour_utc,best_score_decile,rows,good_shape_rate,bad_risk_rate,mean_shape_score_r,mean_mae_r,mean_mfe_r,tp_first_rate,mean_best_score
oos,locked_oos_readout,cash_late,20,1,21,0.19047619047619047,0.8095238095238095,-0.2857142857142857,3.7979591836734645,3.239795918367347,0.23809523809523808,3.3671492176001856e-06
oos,locked_oos_readout,cash_late,21,1,9,0.3333333333333333,0.6666666666666666,0.0,2.135714285714332,3.5634920634920633,0.3333333333333333,7.056582212836205e-06
oos,locked_oos_readout,cash_late,22,1,1,1.0,0.0,2.0,0.7142857142857143,4.035714285714286,1.0,1.2562687828897624e-06
oos,locked_oos_readout,cash_mid,17,1,170,0.16470588235294117,0.8529411764705882,-0.047058823529411764,3.8588571428571465,3.4920504201680616,0.3176470588235294,4.287326407021809e-06
oos,locked_oos_readout,cash_mid,18,1,103,0.21359223300970873,0.8058252427184466,-0.009708737864077669,3.0575450762829273,3.0399583911234416,0.3300970873786408,2.9982758960573017e-06
oos,locked_oos_readout,cash_mid,19,1,54,0.24074074074074073,0.7777777777777778,-0.0280952380952354,2.891190476190445,3.162116402116399,0.3148148148148148,5.415046862655743e-06
oos,locked_oos_readout,cash_open_or_pre_open,16,1,46,0.15217391304347827,0.8478260869565217,-0.15217391304347827,3.732546583850957,4.264999999999961,0.2826086956521739,5.893312244449354e-06
oos,locked_oos_readout,cash_late,20,2,22,0.45454545454545453,0.5909090909090909,0.7727272727272727,3.4535714285714194,4.623376623376623,0.5909090909090909,0.00023011692583219172
oos,locked_oos_readout,cash_late,21,2,11,0.45454545454545453,0.5454545454545454,0.6363636363636364,1.711038961038961,4.204545454545454,0.5454545454545454,0.00020994369699507654
oos,locked_oos_readout,cash_late,22,2,2,0.0,1.0,-1.0,6.928571428571429,1.8392857142857144,0.0,0.0001504403726577127
oos,locked_oos_readout,cash_mid,17,2,216,0.1712962962962963,0.8425925925925926,0.19444444444444445,4.107169312169315,4.352857142857146,0.39814814814814814,0.00021813081142903982
oos,locked_oos_readout,cash_mid,18,2,77,0.2077922077922078,0.8051948051948052,0.012987012987012988,3.7071614100185593,4.048775510204083,0.33766233766233766,0.00022883490453796964
oos,locked_oos_readout,cash_mid,19,2,18,0.1111111111111111,0.8888888888888888,-0.3333333333333333,5.977777777777755,3.284523809523798,0.2222222222222222,0.00025235544460935325
