trade_id,source,trade_index,side,entry_time,exit_time,entry_hour,entry_month,entry_quarter,pnl,p_short,p_flat,p_long,margin_vs_opposite,margin_vs_flat,claim_boundary,displaced_by
parent_0001,parent_kept(부모 유지),1,long,2025-01-02T17:00:00,2025-01-02T17:30:00,17,2025-01,2025Q1,-10.4,0.3827101886,0.2041354328,0.4131543338,0.030444145199999995,0.209018901,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0002,parent_kept(부모 유지),2,long,2025-01-02T17:35:00,2025-01-02T18:10:00,17,2025-01,2025Q1,-3.76,0.3826957643,0.2228299826,0.394474268,0.011778503699999998,0.1716442854,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0003,parent_kept(부모 유지),3,long,2025-01-02T18:25:00,2025-01-02T18:55:00,18,2025-01,2025Q1,1.71,0.3807926476,0.2353815734,0.3838257492,0.003033101600000032,0.14844417580000002,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0004,parent_kept(부모 유지),4,long,2025-01-02T19:00:00,2025-01-02T19:30:00,19,2025-01,2025Q1,-16.61,0.388086915,0.2170082033,0.3949050307,0.006818115700000016,0.17789682739999998,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
bm04_short_router_ps0440_h17_20_overlay_fixed6__syn0001,synthetic_fixed6_short_proxy(합성 고정6봉 숏 프록시),,short,2025-01-02T19:35:00,2025-01-02T20:05:00,19,2025-01,2025Q1,9.955,0.4440986216,0.1666195691,0.3892818689,0.0548167527,0.2774790525,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
bm04_short_router_ps0440_h17_20_overlay_fixed6__syn0002,synthetic_fixed6_short_proxy(합성 고정6봉 숏 프록시),,short,2025-01-02T20:20:00,2025-01-02T20:50:00,20,2025-01,2025Q1,1.205,0.4427019656,0.1876235157,0.3696745634,0.0730274022,0.2550784499,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0007,parent_kept(부모 유지),7,long,2025-01-02T20:50:00,2025-01-02T21:20:00,20,2025-01,2025Q1,5.16,0.3657931387,0.2664216757,0.3677851856,0.0019920468999999885,0.10136350989999998,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0008,parent_kept(부모 유지),8,long,2025-01-03T16:40:00,2025-01-03T17:10:00,16,2025-01,2025Q1,-1.0,0.3620528281,0.2651500702,0.3727970719,0.010744243799999997,0.10764700170000002,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0009,parent_kept(부모 유지),9,long,2025-01-03T17:15:00,2025-01-03T17:45:00,17,2025-01,2025Q1,2.53,0.3541457057,0.244043678,0.4018105865,0.04766488080000003,0.1577669085,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
parent_0010,parent_kept(부모 유지),10,long,2025-01-03T17:50:00,2025-01-03T18:20:00,17,2025-01,2025Q1,0.29,0.3689465225,0.2443871051,0.3866663873,0.01771986480000004,0.14227928220000002,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,
