run_id,segment_type,segment_id,business_days,net_profit,profit_factor,expectancy,trade_count,trade_density_per_business_day,gross_profit,gross_loss,closed_drawdown_amount,closed_drawdown_percent,recovery_factor,win_rate_percent,long_trade_count,short_trade_count,long_share,short_share,claim_boundary
run364BM_train_h19_stress_short_balance_proxy_scout_without_db_v1,quarter,2025Q1,62,135.3,1.2673187906,0.7274247312,186,3.0,641.442,506.141,53.18,10.4672676456,2.544208349,51.6129032258,139,47,0.747311828,0.252688172,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BM_train_h19_stress_short_balance_proxy_scout_without_db_v1,quarter,2025Q2,65,295.76,1.3796053738,1.1035708955,268,4.1230769231,1074.874,779.117,67.67,12.3384757324,4.370577804,52.2388059701,240,28,0.8955223881,0.1044776119,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BM_train_h19_stress_short_balance_proxy_scout_without_db_v1,quarter,2025Q3,66,56.93,1.2087385049,0.4248358209,134,2.0303030303,329.652,272.724,29.637,5.7006289792,1.9208421905,46.2686567164,124,10,0.9253731343,0.0746268657,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BM_train_h19_stress_short_balance_proxy_scout_without_db_v1,quarter,2025Q4,65,271.64,1.4736664063,1.1914122807,228,3.5076923077,845.13,573.488,68.502,8.5137533495,3.9654608625,56.5789473684,197,31,0.8640350877,0.1359649123,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BM_train_h19_stress_short_balance_proxy_scout_without_db_v1,quarter,2026Q1,62,200.04,1.4884567019,1.0755107527,186,3.0,609.59,409.545,52.755,10.3107593081,3.7919628471,55.376344086,152,34,0.8172043011,0.1827956989,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BM_train_h19_stress_short_balance_proxy_scout_without_db_v1,quarter,2026Q2,9,8.09,1.0736056774,0.1758695652,46,5.1111111111,118.0,109.91,60.42,11.3520216444,0.1338960609,54.347826087,45,1,0.9782608696,0.0217391304,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BM_train_h19_stress_short_balance_proxy_scout_without_db_v1,month,2025-01,22,67.11,1.2776488402,0.7457,90,4.0909090909,308.832,241.719,53.18,10.4672676456,1.2619969914,52.2222222222,78,12,0.8666666667,0.1333333333,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BM_train_h19_stress_short_balance_proxy_scout_without_db_v1,month,2025-02,20,93.65,1.5242552143,1.24872,75,3.75,272.296,178.642,35.662,6.0558410287,2.6261566934,54.6666666667,61,14,0.8133333333,0.1866666667,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BM_train_h19_stress_short_balance_proxy_scout_without_db_v1,month,2025-03,20,-25.47,0.7031242714,-1.2126666667,21,1.05,60.314,85.78,40.692,8.0049573608,-0.6258232576,38.0952380952,0,21,0.0,1.0,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BM_train_h19_stress_short_balance_proxy_scout_without_db_v1,month,2025-04,22,212.13,1.4320155921,1.7246097561,123,5.5909090909,703.144,491.017,67.67,12.3384757324,3.1347273533,51.2195121951,104,19,0.8455284553,0.1544715447,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BM_train_h19_stress_short_balance_proxy_scout_without_db_v1,month,2025-05,22,40.0,1.2486325211,0.5263157895,76,3.4545454545,200.88,160.88,39.25,7.296759681,1.0191082803,53.9473684211,70,6,0.9210526316,0.0789473684,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BM_train_h19_stress_short_balance_proxy_scout_without_db_v1,month,2025-06,21,43.63,1.3429492218,0.6323188406,69,3.2857142857,170.85,127.22,29.338,5.574938052,1.4871497716,52.1739130435,66,3,0.9565217391,0.0434782609,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
