variant_id,synthetic_trade_id,displaced_parent_trade_index,displaced_entry_time,displaced_exit_time,displaced_side,displaced_pnl,displacement_reason,claim_boundary
bm03_short_router_ps0445_all_hours_fixed6,bm03_short_router_ps0445_all_hours_fixed6__syn0001,1,2025-01-02T17:00:00,2025-01-02T17:30:00,long,-10.4,one_position_semantics(단일 포지션 의미),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bm03_short_router_ps0445_all_hours_fixed6,bm03_short_router_ps0445_all_hours_fixed6__syn0002,5,2025-01-02T19:45:00,2025-01-02T20:15:00,short,1.71,one_position_semantics(단일 포지션 의미),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bm03_short_router_ps0445_all_hours_fixed6,bm03_short_router_ps0445_all_hours_fixed6__syn0003,22,2025-01-07T17:40:00,2025-01-07T18:05:00,short,-11.51,one_position_semantics(단일 포지션 의미),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bm03_short_router_ps0445_all_hours_fixed6,bm03_short_router_ps0445_all_hours_fixed6__syn0005,32,2025-01-10T17:10:00,2025-01-10T17:40:00,short,-17.23,one_position_semantics(단일 포지션 의미),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bm03_short_router_ps0445_all_hours_fixed6,bm03_short_router_ps0445_all_hours_fixed6__syn0006,57,2025-01-21T17:20:00,2025-01-21T17:30:00,short,-3.61,one_position_semantics(단일 포지션 의미),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bm03_short_router_ps0445_all_hours_fixed6,bm03_short_router_ps0445_all_hours_fixed6__syn0007,82,2025-01-30T18:30:00,2025-01-30T19:00:00,long,5.86,one_position_semantics(단일 포지션 의미),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bm03_short_router_ps0445_all_hours_fixed6,bm03_short_router_ps0445_all_hours_fixed6__syn0010,137,2025-02-24T17:05:00,2025-02-24T17:35:00,short,-1.17,one_position_semantics(단일 포지션 의미),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bm03_short_router_ps0445_all_hours_fixed6,bm03_short_router_ps0445_all_hours_fixed6__syn0011,141,2025-02-25T17:10:00,2025-02-25T17:40:00,short,8.11,one_position_semantics(단일 포지션 의미),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bm03_short_router_ps0445_all_hours_fixed6,bm03_short_router_ps0445_all_hours_fixed6__syn0012,142,2025-02-25T18:05:00,2025-02-25T18:35:00,short,1.81,one_position_semantics(단일 포지션 의미),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bm03_short_router_ps0445_all_hours_fixed6,bm03_short_router_ps0445_all_hours_fixed6__syn0018,162,2025-03-06T19:10:00,2025-03-06T19:40:00,short,7.22,one_position_semantics(단일 포지션 의미),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bm03_short_router_ps0445_all_hours_fixed6,bm03_short_router_ps0445_all_hours_fixed6__syn0019,163,2025-03-06T19:55:00,2025-03-06T20:25:00,short,-6.47,one_position_semantics(단일 포지션 의미),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bm03_short_router_ps0445_all_hours_fixed6,bm03_short_router_ps0445_all_hours_fixed6__syn0022,165,2025-03-10T18:10:00,2025-03-10T18:40:00,short,4.48,one_position_semantics(단일 포지션 의미),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bm03_short_router_ps0445_all_hours_fixed6,bm03_short_router_ps0445_all_hours_fixed6__syn0026,167,2025-03-18T17:05:00,2025-03-18T17:35:00,short,-1.48,one_position_semantics(단일 포지션 의미),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bm03_short_router_ps0445_all_hours_fixed6,bm03_short_router_ps0445_all_hours_fixed6__syn0029,168,2025-03-28T17:35:00,2025-03-28T18:05:00,short,5.57,one_position_semantics(단일 포지션 의미),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bm03_short_router_ps0445_all_hours_fixed6,bm03_short_router_ps0445_all_hours_fixed6__syn0031,180,2025-04-04T18:05:00,2025-04-04T18:35:00,long,-11.33,one_position_semantics(단일 포지션 의미),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bm03_short_router_ps0445_all_hours_fixed6,bm03_short_router_ps0445_all_hours_fixed6__syn0032,182,2025-04-07T16:55:00,2025-04-07T17:25:00,long,33.88,one_position_semantics(단일 포지션 의미),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bm03_short_router_ps0445_all_hours_fixed6,bm03_short_router_ps0445_all_hours_fixed6__syn0033,190,2025-04-08T18:35:00,2025-04-08T19:05:00,short,-0.66,one_position_semantics(단일 포지션 의미),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
