condition_id,family,feature,operator,quantile_label,threshold_value,polarity,train_coverage,condition_rank_score,definition
f22cond_001,shock,return_1_over_atr_14,>=,q80,0.5466777086257935,positive,0.20002053247553214,0.24896761202432902,return_1_over_atr_14 >= q80
f22cond_002,shock,gap_percent,<=,q20,-1.6809559383546002e-05,negative,0.20002053247553214,0.2035797321166625,gap_percent <= q20
f22cond_003,shock,close_prev_close_ratio,>=,q80,1.000805139541626,positive,0.20008897406063925,0.19494597661903526,close_prev_close_ratio >= q80
f22cond_004,shock,log_return_1,>=,q80,0.0008047919254750013,positive,0.20002053247553214,0.19406108987670836,log_return_1 >= q80
f22cond_005,shock,return_1_over_atr_14,>=,q70,0.34797704219818115,positive,0.3000136883170214,0.15635292099059728,return_1_over_atr_14 >= q70
f22cond_006,shock,log_return_1,>=,q70,0.0004964561085216701,positive,0.3000136883170214,0.14098448145324638,log_return_1 >= q70
f22cond_007,shock,close_prev_close_ratio,>=,q70,1.000496506690979,positive,0.3000136883170214,0.14098448145324638,close_prev_close_ratio >= q70
f22cond_008,shock,gap_percent,<=,q30,-8.313376383739524e-06,negative,0.3000136883170214,0.11559862661312921,gap_percent <= q30
f22cond_009,volatility,vix_zscore_20,<=,q30,-1.037143588066101,context,0.3000136883170214,0.6440637541397406,vix_zscore_20 <= q30
f22cond_010,volatility,vix_zscore_20,<=,q20,-1.3821895122528076,context,0.20008897406063925,0.5962869850765441,vix_zscore_20 <= q20
f22cond_011,volatility,hl_zscore_50,<=,q20,-0.6906867623329163,context,0.20002053247553214,0.33929192072902814,hl_zscore_50 <= q20
f22cond_012,volatility,vix_zscore_20,>=,q70,0.7718462944030762,context,0.3000136883170214,0.3173893481387062,vix_zscore_20 >= q70
f22cond_013,volatility,atr_14_over_atr_50,<=,q20,1.0613566637039185,context,0.20002053247553214,0.2854790425133116,atr_14_over_atr_50 <= q20
f22cond_014,volatility,vix_zscore_20,>=,q80,1.2572370767593384,context,0.20022585723085345,0.267713482558112,vix_zscore_20 >= q80
f22cond_015,volatility,historical_vol_5_over_20,<=,q30,0.6718683242797852,context,0.3000136883170214,0.18249641131993313,historical_vol_5_over_20 <= q30
f22cond_016,volatility,hl_zscore_50,<=,q30,-0.47061625123023987,context,0.3000136883170214,0.17675486882949745,hl_zscore_50 <= q30
f22cond_017,trend_chop,ema20_ema50_spread_zscore_50,>=,q80,1.5066677331924438,context,0.20002053247553214,0.5478531729201016,ema20_ema50_spread_zscore_50 >= q80
f22cond_018,trend_chop,ema20_ema50_spread_zscore_50,>=,q70,1.0368465185165405,context,0.3000136883170214,0.48734566866011775,ema20_ema50_spread_zscore_50 >= q70
f22cond_019,trend_chop,adx_14,<=,q20,17.749109268188477,context,0.20002053247553214,0.3667476567390963,adx_14 <= q20
f22cond_020,trend_chop,ema20_ema50_diff,>=,q80,20.80042266845703,context,0.20002053247553214,0.32856923736696186,ema20_ema50_diff >= q80
f22cond_021,trend_chop,adx_14,<=,q30,20.25643539428711,context,0.3000136883170214,0.14604956755901713,adx_14 <= q30
f22cond_022,trend_chop,adx_14,>=,q70,31.774648666381836,context,0.3000136883170214,0.12167872687638744,adx_14 >= q70
f22cond_023,trend_chop,adx_14,>=,q80,36.43568420410156,context,0.20002053247553214,0.11603733358440063,adx_14 >= q80
f22cond_024,trend_chop,ema20_ema50_diff,>=,q70,12.037338256835938,context,0.3000136883170214,0.11277295760969178,ema20_ema50_diff >= q70
f22cond_025,session_age,minutes_from_cash_open,<=,q30,95.0,context,0.3027171309287523,0.17481953771169378,minutes_from_cash_open <= q30
f22cond_026,session_age,minutes_from_cash_open,>=,q80,265.0,context,0.20299774142769147,0.16560631850292667,minutes_from_cash_open >= q80
f22cond_027,session_age,minutes_from_cash_open,>=,q70,230.0,context,0.3008692081308603,0.09181318522323534,minutes_from_cash_open >= q70
f22cond_028,session_age,is_first_30m_after_open,>=,ge0p5,0.5,context,0.08849496954349463,-0.01484081746555043,is_first_30m_after_open >= ge0p5
f22cond_029,session_age,minutes_from_cash_open,<=,q20,65.0,context,0.20337417014578058,-0.018805367060275774,minutes_from_cash_open <= q20
f22cond_030,breadth,mega8_dispersion_5,<=,q30,0.0018319512018933892,context,0.3000136883170214,0.22616495190448432,mega8_dispersion_5 <= q30
f22cond_031,breadth,mega8_dispersion_5,<=,q20,0.0015441615832969546,context,0.20002053247553214,0.2031735811665356,mega8_dispersion_5 <= q20
f22cond_032,breadth,mega8_dispersion_5,>=,q70,0.0034802465233951807,context,0.3000136883170214,0.19602640392838794,mega8_dispersion_5 >= q70
f22cond_033,breadth,mega8_dispersion_5,>=,q80,0.004408762324601412,context,0.20002053247553214,0.16614935757537222,mega8_dispersion_5 >= q80
f22cond_034,breadth,mega8_pos_breadth_1,>=,q70,0.75,context,0.3446718225994114,0.12889140184161074,mega8_pos_breadth_1 >= q70
f22cond_035,breadth,mega8_pos_breadth_1,>=,q80,0.875,context,0.24180412018342345,0.12377825126845728,mega8_pos_breadth_1 >= q80
f22cond_036,breadth,mega8_pos_breadth_1,<=,q30,0.25,context,0.35309013756758606,0.10239811544838372,mega8_pos_breadth_1 <= q30
f22cond_037,breadth,us100_minus_mega8_equal_return_1,<=,q30,-0.00026809750124812126,context,0.3000136883170214,0.09056295878752949,us100_minus_mega8_equal_return_1 <= q30
