attempt_name,queue_id,candidate_id,candidate_alias,candidate_role,test_id,tier,attempt_role,set_path,set_sha256,ini_path,ini_sha256,execution_status
run267w_01_s264_aih_abl_volatility_bandwidth_ta_2024,run267W_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,Tier A,tier_only_total,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_01_s264_aih_abl_volatility_bandwidth_ta_2024.set,a15d52fe163de8c30743f430597bcec50103ec9d5914a041927fb7db13419617,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_01_s264_aih_abl_volatility_bandwidth_ta_2024.ini,c84d9cd978d32ee6b2e6482dd4099c1409538902ad229a9782118726e8bc2847,not_executed
run267w_01_s264_aih_abl_volatility_bandwidth_rt_2024,run267W_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,Tier A+B,routed_total,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_01_s264_aih_abl_volatility_bandwidth_rt_2024.set,ec266cd6d4422a10f92d8e25ad66fbc88086869cae0fe3017c85e781bcff6fb0,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_01_s264_aih_abl_volatility_bandwidth_rt_2024.ini,35a48402985747a591d8a3de312c1a636c2f2114ab040ca7f78478eeedb528c4,not_executed
run267w_02_s264_aih_abl_trend_strength_direction_ta_2024,run267W_02_s264_aih_abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_trend_strength_direction,Tier A,tier_only_total,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_02_s264_aih_abl_trend_strength_direction_ta_2024.set,42e57be63b58de38b612b8d0a46422bf46f4d311d74b007b243278cf0e6c7750,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_02_s264_aih_abl_trend_strength_direction_ta_2024.ini,981de9bbe82308a0ddbe6d69fa601c76e3e383c24aabb964b589b659f72041b1,not_executed
run267w_02_s264_aih_abl_trend_strength_direction_rt_2024,run267W_02_s264_aih_abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_trend_strength_direction,Tier A+B,routed_total,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_02_s264_aih_abl_trend_strength_direction_rt_2024.set,4ce700309a3fc692938bb28142b6b2bc6c33ab62f1e12914f29bc74f27b52398,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_02_s264_aih_abl_trend_strength_direction_rt_2024.ini,f4a065ff74f7ed2d477d143a61fc12f6c04254c70f6f668834778e89c2ef44b8,not_executed
run267w_03_s264_aih_rep_trend_strength_adx_ta_2024,run267W_03_s264_aih_rep_trend_strength_adx,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_trend_strength_adx,Tier A,tier_only_total,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_03_s264_aih_rep_trend_strength_adx_ta_2024.set,f596f1798035a2bf64282afd160a627ae22192593be1dd97e19690bd62050471,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_03_s264_aih_rep_trend_strength_adx_ta_2024.ini,cfe0ce7f93c98e2137eb7f6155a8891fc81518ddbfb4511e53ad65ef5cf948e8,not_executed
run267w_03_s264_aih_rep_trend_strength_adx_rt_2024,run267W_03_s264_aih_rep_trend_strength_adx,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_trend_strength_adx,Tier A+B,routed_total,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_03_s264_aih_rep_trend_strength_adx_rt_2024.set,99c761da3985bc21e0a815292ed94d140030ea5dcfdeaccd07b77bde32b1b599,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_03_s264_aih_rep_trend_strength_adx_rt_2024.ini,34c7a2caad175bfa3e4cc8dbb4dd6f76b0f5525e03d4f58de88ff078d7923c77,not_executed
run267w_04_s264_aih_rep_volatility_atr_ta_2024,run267W_04_s264_aih_rep_volatility_atr,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,Tier A,tier_only_total,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_04_s264_aih_rep_volatility_atr_ta_2024.set,a7ad32c4d10c2a69bd053678b608b5f0dd3686b199800704a5ea31239bf8c2e3,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_04_s264_aih_rep_volatility_atr_ta_2024.ini,e684848ea0052649fbc0a372ecad5ae874082695c968c78d277ba77200912e11,not_executed
run267w_04_s264_aih_rep_volatility_atr_rt_2024,run267W_04_s264_aih_rep_volatility_atr,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,Tier A+B,routed_total,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_04_s264_aih_rep_volatility_atr_rt_2024.set,32f8d8489764f26b62793bb329a4382b8f186f35f469d2cd3d4217aaac731f91,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_04_s264_aih_rep_volatility_atr_rt_2024.ini,49ceaab141e7f59164426b38cce287ba8743f2e7767138b98bc5c12689ef1b4b,not_executed
run267w_05_s264_lc_abl_gate_rank_bucket_ta_2024,run267W_05_s264_lc_abl_gate_rank_bucket,s264_lowrank_control,s264_lc,defensive_control,abl_gate_rank_bucket,Tier A,tier_only_total,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_05_s264_lc_abl_gate_rank_bucket_ta_2024.set,2f3a353ace2c9e2039f2945825fde17564bcbfab7554d072a439147eff598c74,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_05_s264_lc_abl_gate_rank_bucket_ta_2024.ini,b1f539f5b9d3020022bfb9f164b634b050d0165e21612307325e63e53506932f,not_executed
run267w_05_s264_lc_abl_gate_rank_bucket_rt_2024,run267W_05_s264_lc_abl_gate_rank_bucket,s264_lowrank_control,s264_lc,defensive_control,abl_gate_rank_bucket,Tier A+B,routed_total,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_05_s264_lc_abl_gate_rank_bucket_rt_2024.set,89499252cc9d6c672564d0171b0df926c2d82af5f5d6040ce0ed0d4f91c50203,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_05_s264_lc_abl_gate_rank_bucket_rt_2024.ini,5337b822331a52acb23bfb1725b28bb83c872e8de0e6b0cfe26838e992d1a580,not_executed
run267w_06_s264_lc_abl_gate_variant_rule_ta_2024,run267W_06_s264_lc_abl_gate_variant_rule,s264_lowrank_control,s264_lc,defensive_control,abl_gate_variant_rule,Tier A,tier_only_total,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_06_s264_lc_abl_gate_variant_rule_ta_2024.set,0521af485fef5a3998f03f54b4d0a73b21cd155d7a6dba81f069a6518ae69412,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_06_s264_lc_abl_gate_variant_rule_ta_2024.ini,2981a57b4980fdfb9e9f87fa9c6091c5bd0ff6cb65aebd495669c3bb16b972a6,not_executed
run267w_06_s264_lc_abl_gate_variant_rule_rt_2024,run267W_06_s264_lc_abl_gate_variant_rule,s264_lowrank_control,s264_lc,defensive_control,abl_gate_variant_rule,Tier A+B,routed_total,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_06_s264_lc_abl_gate_variant_rule_rt_2024.set,07aed3f89dda665936f83f81cb0c292f076fb2ffd452625d8ba8270d49c50642,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_06_s264_lc_abl_gate_variant_rule_rt_2024.ini,e789058ac47d2986437e89d667ea27c5abc0da28f2b4c881ef58df9ba385633e,not_executed
run267w_07_s264_lc_abl_trend_strength_direction_ta_2024,run267W_07_s264_lc_abl_trend_strength_direction,s264_lowrank_control,s264_lc,defensive_control,abl_trend_strength_direction,Tier A,tier_only_total,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_07_s264_lc_abl_trend_strength_direction_ta_2024.set,7b86b8d0c0fca3db910f938775c1ac70f325d5b8d6b9a134bc1ee4a39a75bb7d,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_07_s264_lc_abl_trend_strength_direction_ta_2024.ini,f210996bdbe1799b66dccd1892d138e93cdfd3056c3d295e7720ea65f8577365,not_executed
run267w_07_s264_lc_abl_trend_strength_direction_rt_2024,run267W_07_s264_lc_abl_trend_strength_direction,s264_lowrank_control,s264_lc,defensive_control,abl_trend_strength_direction,Tier A+B,routed_total,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_07_s264_lc_abl_trend_strength_direction_rt_2024.set,68e0d0c820d446171bca5482122e6f97e42b1e422e03805cd83578e92892b16d,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_07_s264_lc_abl_trend_strength_direction_rt_2024.ini,63bfaf6dff24b975d7bd391d6f0b2b08840cc7e0b0b8920ccf858fbc90d7cdf6,not_executed
run267w_08_s264_lc_rep_trend_strength_adx_ta_2024,run267W_08_s264_lc_rep_trend_strength_adx,s264_lowrank_control,s264_lc,defensive_control,rep_trend_strength_adx,Tier A,tier_only_total,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_08_s264_lc_rep_trend_strength_adx_ta_2024.set,aac1b9dc5903deb74ca1f6e5ed37c671df2af7fc74fa68e71836a333c4ef8e73,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_08_s264_lc_rep_trend_strength_adx_ta_2024.ini,5ab8d4e5872accf1099723a69d8ba57f7ec9f35b4c3e3bafa66102f7d4278e9f,not_executed
run267w_08_s264_lc_rep_trend_strength_adx_rt_2024,run267W_08_s264_lc_rep_trend_strength_adx,s264_lowrank_control,s264_lc,defensive_control,rep_trend_strength_adx,Tier A+B,routed_total,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_08_s264_lc_rep_trend_strength_adx_rt_2024.set,37f3764327a1f1e981d06f870b1e5027004ce18ffe6aabe0cf4349c9b4b17b57,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_08_s264_lc_rep_trend_strength_adx_rt_2024.ini,fcc84e416e600e104d9ad856ee711b927f6f061280e853dfa403eb26a714a468,not_executed
run267w_09_s264_lc_rep_volatility_atr_ta_2024,run267W_09_s264_lc_rep_volatility_atr,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,Tier A,tier_only_total,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_09_s264_lc_rep_volatility_atr_ta_2024.set,afb9d9c6b1d370be09c2e5e6a513c406ae255c9f08d1c844fa8f2c22eaca0752,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_09_s264_lc_rep_volatility_atr_ta_2024.ini,0ff060ca92a8ab3131bc4c95cd45c0c3e003786b98ecb59587410e741646f007,not_executed
run267w_09_s264_lc_rep_volatility_atr_rt_2024,run267W_09_s264_lc_rep_volatility_atr,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,Tier A+B,routed_total,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_09_s264_lc_rep_volatility_atr_rt_2024.set,d2ca365f1dc587ca15ffaed5e5022835179e768523d68381e0d42d75d5ff4fb7,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_09_s264_lc_rep_volatility_atr_rt_2024.ini,4800c7e0890f0925983fe98dc2fff6df4f9b9334a43314f9deb07c9a3dcde237,not_executed
