queue_id,candidate_alias,test_id,run267V_schema_hash,run267W_actual_hash,target_hash_status,correction_reason,removed_columns_actual,feature_count_actual
run267W_01_s264_aih_abl_volatility_bandwidth,s264_aih,abl_volatility_bandwidth,b0933b35988ab3c9a85120263af70997c2c176442c0fbea07f28f99964a92e47,b0933b35988ab3c9a85120263af70997c2c176442c0fbea07f28f99964a92e47,matches_run267V_schema,none,atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20,25
run267W_02_s264_aih_abl_trend_strength_direction,s264_aih,abl_trend_strength_direction,c1ec777e6efa210b0f3af76692e8315f614b74cdf17912ecfa9103e30c54ea28,c1ec777e6efa210b0f3af76692e8315f614b74cdf17912ecfa9103e30c54ea28,matches_run267V_schema,none,adx_14;di_spread_14;supertrend_10_3;vortex_indicator,29
run267W_03_s264_aih_rep_trend_strength_adx,s264_aih,rep_trend_strength_adx,129ce96a0e184682383602f54ff8edc3acd50fa26339a71c61328c13214c27cd,129ce96a0e184682383602f54ff8edc3acd50fa26339a71c61328c13214c27cd,matches_run267V_schema,none,adx_14,32
run267W_04_s264_aih_rep_volatility_atr,s264_aih,rep_volatility_atr,9a73828f6d51f71329536d8603e4ca27dcaa4c63ad7f6b254f7a293d899dd00d,9a73828f6d51f71329536d8603e4ca27dcaa4c63ad7f6b254f7a293d899dd00d,matches_run267V_schema,none,atr_14,32
run267W_05_s264_lc_abl_gate_rank_bucket,s264_lc,abl_gate_rank_bucket,e9724db50f6a8e92adc33a913ac1197f9b20631f8653c8b36d97831f3d72574f,867f73b26be04eec6b0b802203c0d7fb9fb692b3cd8b08dfc3048ebc009401b0,corrected_from_run267V_schema,direct_rank_column_removed_in_run267W,stage264_source_feature_rank_bucket,32
run267W_06_s264_lc_abl_gate_variant_rule,s264_lc,abl_gate_variant_rule,e9724db50f6a8e92adc33a913ac1197f9b20631f8653c8b36d97831f3d72574f,dab1ba09f10ec06821ade754cd81bd2d824e70c639ccd188369163acd9e15e07,corrected_from_run267V_schema,direct_gate_column_removed_in_run267W,stage264_source_feature_gate_lowrank_control,32
run267W_07_s264_lc_abl_trend_strength_direction,s264_lc,abl_trend_strength_direction,9536470beb4d2a4806f5054173f8007b7bf9323af7ea6a27e0ceba26b7d1bd87,9536470beb4d2a4806f5054173f8007b7bf9323af7ea6a27e0ceba26b7d1bd87,matches_run267V_schema,none,adx_14;di_spread_14;supertrend_10_3;vortex_indicator,29
run267W_08_s264_lc_rep_trend_strength_adx,s264_lc,rep_trend_strength_adx,9379f2bc0775d13254edac21e7b0643c13deed4cd0d3610a4dbfac31c0622878,9379f2bc0775d13254edac21e7b0643c13deed4cd0d3610a4dbfac31c0622878,matches_run267V_schema,none,adx_14,32
run267W_09_s264_lc_rep_volatility_atr,s264_lc,rep_volatility_atr,7a0b68ab4fd7060aa98cc39c4d86e65bd918cc713b6d225555c3e59f7419877e,7a0b68ab4fd7060aa98cc39c4d86e65bd918cc713b6d225555c3e59f7419877e,matches_run267V_schema,none,atr_14,32
run267W_10_s262_lih_abl_gate_rank_bucket,s262_lih,abl_gate_rank_bucket,962c6a5160e2a407440f94f5fc87422cd79f6aeb77baa9e29e0825233fd6b713,a3ca49146d4d4efa28bc8e79a014af23da52447af0ee468171a171b2d582d390,corrected_from_run267V_schema,direct_rank_column_removed_in_run267W,stage262_source_feature_rank_bucket,32
run267W_11_s262_lih_abl_ma_trend,s262_lih,abl_ma_trend,7ce446883c049f8de05b14cf7e84414f1d6df8b014fcd5e59112694bfc1b8f71,7ce446883c049f8de05b14cf7e84414f1d6df8b014fcd5e59112694bfc1b8f71,matches_run267V_schema,none,ema9_ema20_diff;ema20_ema50_diff;ema50_ema200_diff;sma50_sma200_ratio;close_ema20_ratio;close_ema50_ratio,27
run267W_12_s262_lih_abl_trend_strength_direction,s262_lih,abl_trend_strength_direction,550d97afbf6b7ed679baa81e9364ec919f733cc224d6ad6e435931e5e71e116c,550d97afbf6b7ed679baa81e9364ec919f733cc224d6ad6e435931e5e71e116c,matches_run267V_schema,none,adx_14;di_spread_14;supertrend_10_3;vortex_indicator,29
run267W_13_s262_lih_rep_trend_strength_adx,s262_lih,rep_trend_strength_adx,e8c788c3bb0ef37f39c7b9d3e3f963bbe80b877b2aa9d2dccc623b6ee1a6a320,e8c788c3bb0ef37f39c7b9d3e3f963bbe80b877b2aa9d2dccc623b6ee1a6a320,matches_run267V_schema,none,adx_14,32
run267W_14_s262_lih_rep_volatility_atr,s262_lih,rep_volatility_atr,96e663581264f20e6acc29f06f8d267a2af27e7ced4c3fa851d18e0c645ec725,96e663581264f20e6acc29f06f8d267a2af27e7ced4c3fa851d18e0c645ec725,matches_run267V_schema,none,atr_14,32
run267W_15_s264_aia_abl_volatility_bandwidth,s264_aia,abl_volatility_bandwidth,25771098b903afabca2f0245af6e04b4e1d08379572d081c583cc431001a0729,25771098b903afabca2f0245af6e04b4e1d08379572d081c583cc431001a0729,matches_run267V_schema,none,atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20,25
run267W_16_s264_aia_abl_trend_strength_direction,s264_aia,abl_trend_strength_direction,a8683f8b70e14d48e5a925daaf95e723800a7a708d2dfc078ffc150423e74997,a8683f8b70e14d48e5a925daaf95e723800a7a708d2dfc078ffc150423e74997,matches_run267V_schema,none,adx_14;di_spread_14;supertrend_10_3;vortex_indicator,29
run267W_17_s264_aia_abl_session_timing,s264_aia,abl_session_timing,5ff40f20228b5e9208098ae962c431c8f07efcd65da3df64e96e96df6e6f9025,5ff40f20228b5e9208098ae962c431c8f07efcd65da3df64e96e96df6e6f9025,matches_run267V_schema,none,minutes_from_cash_open;is_us_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close,29
run267W_18_s264_aia_rep_trend_strength_adx,s264_aia,rep_trend_strength_adx,3fa971741f7384c060223564505aa4e6fc5a87ace83bf50c8e82bc4f01fa4a2e,3fa971741f7384c060223564505aa4e6fc5a87ace83bf50c8e82bc4f01fa4a2e,matches_run267V_schema,none,adx_14,32
run267W_19_s264_aia_rep_volatility_atr,s264_aia,rep_volatility_atr,057a939561d360f5b6f80e7e505f4ded89da87cb4f89dec12bf23756e6199274,057a939561d360f5b6f80e7e505f4ded89da87cb4f89dec12bf23756e6199274,matches_run267V_schema,none,atr_14,32
run267W_20_s258_stc_abl_price_return_range,s258_stc,abl_price_return_range,93d4c35ee6b1f7382d4199fe81a9452ce77c3a4938fbf7b13ec22f5ebcc713f5,93d4c35ee6b1f7382d4199fe81a9452ce77c3a4938fbf7b13ec22f5ebcc713f5,matches_run267V_schema,none,log_return_1;log_return_3;hl_range;return_zscore_20;return_1_over_atr_14;close_open_ratio;gap_percent;close_prev_close_ratio,25
run267W_21_s258_stc_abl_volatility_bandwidth,s258_stc,abl_volatility_bandwidth,e20165e6ca8df58b798291dfe80774499f7a2550597fbcbae4e8f1009f118ed5,e20165e6ca8df58b798291dfe80774499f7a2550597fbcbae4e8f1009f118ed5,matches_run267V_schema,none,atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20,25
run267W_22_s258_stc_abl_trend_strength_direction,s258_stc,abl_trend_strength_direction,a6bdf76bcc91065f60e380f755ba59771b8263b1b543d2bc369b48df714d8a40,a6bdf76bcc91065f60e380f755ba59771b8263b1b543d2bc369b48df714d8a40,matches_run267V_schema,none,adx_14;di_spread_14;supertrend_10_3;vortex_indicator,29
run267W_23_s258_stc_abl_session_timing,s258_stc,abl_session_timing,cd452a0a6fdaaec0d8ba22d9953f11e23a8180087da9caba684893b04ddb8d51,cd452a0a6fdaaec0d8ba22d9953f11e23a8180087da9caba684893b04ddb8d51,matches_run267V_schema,none,minutes_from_cash_open;is_us_cash_open;is_first_30m_after_open;is_last_30m_before_cash_close,29
run267W_24_s258_stc_rep_trend_strength_adx,s258_stc,rep_trend_strength_adx,d2bbf9430fc7a98d780f3c4b76321df58d89e58dda79fcae753ec25fac4dd2ce,d2bbf9430fc7a98d780f3c4b76321df58d89e58dda79fcae753ec25fac4dd2ce,matches_run267V_schema,none,adx_14,32
