queue_id,candidate_id,candidate_alias,test_id,shared_contract,feature_count,feature_order_hash,model_backend,model_materialization_type,short_threshold,long_threshold,min_margin,max_hold_bars,close_on_flat_signal,reverse_on_opposite_signal,close_only_on_opposite_signal,side_filter_status,side_filter_feature_index,known_difference,runtime_claim_boundary
run267W_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,abl_volatility_bandwidth,US100 M5;2024 historical stress window;RuntimeProbeEA;true_internal_feature_order;supervised_EBM_score_table_csv;attempt set/ini identity,25,b0933b35988ab3c9a85120263af70997c2c176442c0fbea07f28f99964a92e47,ebm_table,supervised_ebm_true_internal_ablation_main_effect_v1,0.54,0.52,0,3,false,true,false,enabled,2,score table is supervised retrain over true internal feature order; MT5 execution not yet run; no candidate selection,research_only_execution_pending_no_selected_candidate_no_onnx
run267W_02_s264_aih_abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,abl_trend_strength_direction,US100 M5;2024 historical stress window;RuntimeProbeEA;true_internal_feature_order;supervised_EBM_score_table_csv;attempt set/ini identity,29,c1ec777e6efa210b0f3af76692e8315f614b74cdf17912ecfa9103e30c54ea28,ebm_table,supervised_ebm_true_internal_ablation_main_effect_v1,0.54,0.52,0,3,false,true,false,enabled,2,score table is supervised retrain over true internal feature order; MT5 execution not yet run; no candidate selection,research_only_execution_pending_no_selected_candidate_no_onnx
run267W_03_s264_aih_rep_trend_strength_adx,s264_allow_inner_high_quarter,s264_aih,rep_trend_strength_adx,US100 M5;2024 historical stress window;RuntimeProbeEA;true_internal_feature_order;supervised_EBM_score_table_csv;attempt set/ini identity,32,129ce96a0e184682383602f54ff8edc3acd50fa26339a71c61328c13214c27cd,ebm_table,supervised_ebm_true_internal_ablation_main_effect_v1,0.54,0.52,0,3,false,true,false,enabled,2,score table is supervised retrain over true internal feature order; MT5 execution not yet run; no candidate selection,research_only_execution_pending_no_selected_candidate_no_onnx
run267W_04_s264_aih_rep_volatility_atr,s264_allow_inner_high_quarter,s264_aih,rep_volatility_atr,US100 M5;2024 historical stress window;RuntimeProbeEA;true_internal_feature_order;supervised_EBM_score_table_csv;attempt set/ini identity,32,9a73828f6d51f71329536d8603e4ca27dcaa4c63ad7f6b254f7a293d899dd00d,ebm_table,supervised_ebm_true_internal_ablation_main_effect_v1,0.54,0.52,0,3,false,true,false,enabled,2,score table is supervised retrain over true internal feature order; MT5 execution not yet run; no candidate selection,research_only_execution_pending_no_selected_candidate_no_onnx
run267W_05_s264_lc_abl_gate_rank_bucket,s264_lowrank_control,s264_lc,abl_gate_rank_bucket,US100 M5;2024 historical stress window;RuntimeProbeEA;true_internal_feature_order;supervised_EBM_score_table_csv;attempt set/ini identity,32,867f73b26be04eec6b0b802203c0d7fb9fb692b3cd8b08dfc3048ebc009401b0,ebm_table,supervised_ebm_true_internal_ablation_main_effect_v1,0.54,0.52,0,3,false,true,false,enabled,1,score table is supervised retrain over true internal feature order; MT5 execution not yet run; no candidate selection,research_only_execution_pending_no_selected_candidate_no_onnx
run267W_06_s264_lc_abl_gate_variant_rule,s264_lowrank_control,s264_lc,abl_gate_variant_rule,US100 M5;2024 historical stress window;RuntimeProbeEA;true_internal_feature_order;supervised_EBM_score_table_csv;attempt set/ini identity,32,dab1ba09f10ec06821ade754cd81bd2d824e70c639ccd188369163acd9e15e07,ebm_table,supervised_ebm_true_internal_ablation_main_effect_v1,0.54,0.52,0,3,false,true,false,disabled_gate_removed,,score table is supervised retrain over true internal feature order; MT5 execution not yet run; no candidate selection,research_only_execution_pending_no_selected_candidate_no_onnx
run267W_07_s264_lc_abl_trend_strength_direction,s264_lowrank_control,s264_lc,abl_trend_strength_direction,US100 M5;2024 historical stress window;RuntimeProbeEA;true_internal_feature_order;supervised_EBM_score_table_csv;attempt set/ini identity,29,9536470beb4d2a4806f5054173f8007b7bf9323af7ea6a27e0ceba26b7d1bd87,ebm_table,supervised_ebm_true_internal_ablation_main_effect_v1,0.54,0.52,0,3,false,true,false,enabled,2,score table is supervised retrain over true internal feature order; MT5 execution not yet run; no candidate selection,research_only_execution_pending_no_selected_candidate_no_onnx
run267W_08_s264_lc_rep_trend_strength_adx,s264_lowrank_control,s264_lc,rep_trend_strength_adx,US100 M5;2024 historical stress window;RuntimeProbeEA;true_internal_feature_order;supervised_EBM_score_table_csv;attempt set/ini identity,32,9379f2bc0775d13254edac21e7b0643c13deed4cd0d3610a4dbfac31c0622878,ebm_table,supervised_ebm_true_internal_ablation_main_effect_v1,0.54,0.52,0,3,false,true,false,enabled,2,score table is supervised retrain over true internal feature order; MT5 execution not yet run; no candidate selection,research_only_execution_pending_no_selected_candidate_no_onnx
run267W_09_s264_lc_rep_volatility_atr,s264_lowrank_control,s264_lc,rep_volatility_atr,US100 M5;2024 historical stress window;RuntimeProbeEA;true_internal_feature_order;supervised_EBM_score_table_csv;attempt set/ini identity,32,7a0b68ab4fd7060aa98cc39c4d86e65bd918cc713b6d225555c3e59f7419877e,ebm_table,supervised_ebm_true_internal_ablation_main_effect_v1,0.54,0.52,0,3,false,true,false,enabled,2,score table is supervised retrain over true internal feature order; MT5 execution not yet run; no candidate selection,research_only_execution_pending_no_selected_candidate_no_onnx
run267W_10_s262_lih_abl_gate_rank_bucket,s262_lowrank_inner_half_filter,s262_lih,abl_gate_rank_bucket,US100 M5;2024 historical stress window;RuntimeProbeEA;true_internal_feature_order;supervised_EBM_score_table_csv;attempt set/ini identity,32,a3ca49146d4d4efa28bc8e79a014af23da52447af0ee468171a171b2d582d390,ebm_table,supervised_ebm_true_internal_ablation_main_effect_v1,0.54,0.52,0,3,false,true,false,enabled,1,score table is supervised retrain over true internal feature order; MT5 execution not yet run; no candidate selection,research_only_execution_pending_no_selected_candidate_no_onnx
