queue_id,candidate_alias,test_id,split,rows,class_counts,missing_feature_cells
run267W_01_s264_aih_abl_volatility_bandwidth,s264_aih,abl_volatility_bandwidth,train,29222,"{""0"": 9064, ""1"": 9643, ""2"": 10515}",0
run267W_01_s264_aih_abl_volatility_bandwidth,s264_aih,abl_volatility_bandwidth,validation,9844,"{""0"": 2920, ""1"": 3631, ""2"": 3293}",0
run267W_01_s264_aih_abl_volatility_bandwidth,s264_aih,abl_volatility_bandwidth,oos,7584,"{""0"": 2259, ""1"": 2968, ""2"": 2357}",0
run267W_01_s264_aih_abl_volatility_bandwidth,s264_aih,abl_volatility_bandwidth,historical_2024_tier_a_train_era_stress,11651,"{""0"": 3404, ""1"": 4327, ""2"": 3920}",0
run267W_02_s264_aih_abl_trend_strength_direction,s264_aih,abl_trend_strength_direction,train,29222,"{""0"": 9064, ""1"": 9643, ""2"": 10515}",0
run267W_02_s264_aih_abl_trend_strength_direction,s264_aih,abl_trend_strength_direction,validation,9844,"{""0"": 2920, ""1"": 3631, ""2"": 3293}",0
run267W_02_s264_aih_abl_trend_strength_direction,s264_aih,abl_trend_strength_direction,oos,7584,"{""0"": 2259, ""1"": 2968, ""2"": 2357}",0
run267W_02_s264_aih_abl_trend_strength_direction,s264_aih,abl_trend_strength_direction,historical_2024_tier_a_train_era_stress,11651,"{""0"": 3404, ""1"": 4327, ""2"": 3920}",0
run267W_03_s264_aih_rep_trend_strength_adx,s264_aih,rep_trend_strength_adx,train,29222,"{""0"": 9064, ""1"": 9643, ""2"": 10515}",0
run267W_03_s264_aih_rep_trend_strength_adx,s264_aih,rep_trend_strength_adx,validation,9844,"{""0"": 2920, ""1"": 3631, ""2"": 3293}",0
run267W_03_s264_aih_rep_trend_strength_adx,s264_aih,rep_trend_strength_adx,oos,7584,"{""0"": 2259, ""1"": 2968, ""2"": 2357}",0
run267W_03_s264_aih_rep_trend_strength_adx,s264_aih,rep_trend_strength_adx,historical_2024_tier_a_train_era_stress,11651,"{""0"": 3404, ""1"": 4327, ""2"": 3920}",0
run267W_04_s264_aih_rep_volatility_atr,s264_aih,rep_volatility_atr,train,29222,"{""0"": 9064, ""1"": 9643, ""2"": 10515}",0
run267W_04_s264_aih_rep_volatility_atr,s264_aih,rep_volatility_atr,validation,9844,"{""0"": 2920, ""1"": 3631, ""2"": 3293}",0
run267W_04_s264_aih_rep_volatility_atr,s264_aih,rep_volatility_atr,oos,7584,"{""0"": 2259, ""1"": 2968, ""2"": 2357}",0
run267W_04_s264_aih_rep_volatility_atr,s264_aih,rep_volatility_atr,historical_2024_tier_a_train_era_stress,11651,"{""0"": 3404, ""1"": 4327, ""2"": 3920}",0
run267W_05_s264_lc_abl_gate_rank_bucket,s264_lc,abl_gate_rank_bucket,train,29222,"{""0"": 9064, ""1"": 9643, ""2"": 10515}",0
run267W_05_s264_lc_abl_gate_rank_bucket,s264_lc,abl_gate_rank_bucket,validation,9844,"{""0"": 2920, ""1"": 3631, ""2"": 3293}",0
run267W_05_s264_lc_abl_gate_rank_bucket,s264_lc,abl_gate_rank_bucket,oos,7584,"{""0"": 2259, ""1"": 2968, ""2"": 2357}",0
run267W_05_s264_lc_abl_gate_rank_bucket,s264_lc,abl_gate_rank_bucket,historical_2024_tier_a_train_era_stress,11651,"{""0"": 3404, ""1"": 4327, ""2"": 3920}",0
run267W_06_s264_lc_abl_gate_variant_rule,s264_lc,abl_gate_variant_rule,train,29222,"{""0"": 9064, ""1"": 9643, ""2"": 10515}",0
run267W_06_s264_lc_abl_gate_variant_rule,s264_lc,abl_gate_variant_rule,validation,9844,"{""0"": 2920, ""1"": 3631, ""2"": 3293}",0
run267W_06_s264_lc_abl_gate_variant_rule,s264_lc,abl_gate_variant_rule,oos,7584,"{""0"": 2259, ""1"": 2968, ""2"": 2357}",0
run267W_06_s264_lc_abl_gate_variant_rule,s264_lc,abl_gate_variant_rule,historical_2024_tier_a_train_era_stress,11651,"{""0"": 3404, ""1"": 4327, ""2"": 3920}",0
run267W_07_s264_lc_abl_trend_strength_direction,s264_lc,abl_trend_strength_direction,train,29222,"{""0"": 9064, ""1"": 9643, ""2"": 10515}",0
run267W_07_s264_lc_abl_trend_strength_direction,s264_lc,abl_trend_strength_direction,validation,9844,"{""0"": 2920, ""1"": 3631, ""2"": 3293}",0
run267W_07_s264_lc_abl_trend_strength_direction,s264_lc,abl_trend_strength_direction,oos,7584,"{""0"": 2259, ""1"": 2968, ""2"": 2357}",0
run267W_07_s264_lc_abl_trend_strength_direction,s264_lc,abl_trend_strength_direction,historical_2024_tier_a_train_era_stress,11651,"{""0"": 3404, ""1"": 4327, ""2"": 3920}",0
run267W_08_s264_lc_rep_trend_strength_adx,s264_lc,rep_trend_strength_adx,train,29222,"{""0"": 9064, ""1"": 9643, ""2"": 10515}",0
run267W_08_s264_lc_rep_trend_strength_adx,s264_lc,rep_trend_strength_adx,validation,9844,"{""0"": 2920, ""1"": 3631, ""2"": 3293}",0
run267W_08_s264_lc_rep_trend_strength_adx,s264_lc,rep_trend_strength_adx,oos,7584,"{""0"": 2259, ""1"": 2968, ""2"": 2357}",0
run267W_08_s264_lc_rep_trend_strength_adx,s264_lc,rep_trend_strength_adx,historical_2024_tier_a_train_era_stress,11651,"{""0"": 3404, ""1"": 4327, ""2"": 3920}",0
run267W_09_s264_lc_rep_volatility_atr,s264_lc,rep_volatility_atr,train,29222,"{""0"": 9064, ""1"": 9643, ""2"": 10515}",0
