queue_id,candidate_id,candidate_alias,test_id,feature_family,term_index,term_name,feature,term_degree,importance,gain,gain_share,score_abs_max,score_std,short_range,flat_range,long_range
run267W_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,abl_volatility_bandwidth,volatility_bandwidth,22,close_open_ratio,close_open_ratio,1,0.00934141938578,0.00934141938578,0.0180705129682,0.0345457383571,0.0109785331287,0.0184569629401,0.0496121000647,0.0327794659012
run267W_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,abl_volatility_bandwidth,volatility_bandwidth,7,ema9_ema20_diff,ema9_ema20_diff,1,0.00877574112102,0.00877574112102,0.0169762363924,0.0333398216827,0.0104616703177,0.0490598593143,0.0243484322399,0.0416814724186
run267W_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,abl_volatility_bandwidth,volatility_bandwidth,17,log_return_1,log_return_1,1,0.00761314022057,0.00761314022057,0.0147272425531,0.0394244781428,0.00963368927945,0.0126840443602,0.0532987069724,0.0385185486051
run267W_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,abl_volatility_bandwidth,volatility_bandwidth,24,close_prev_close_ratio,close_prev_close_ratio,1,0.00700872188776,0.00700872188776,0.013558025235,0.0321198333703,0.00938749618595,0.0216833602201,0.0451253358484,0.025645466534
run267W_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,abl_volatility_bandwidth,volatility_bandwidth,2,stage264_source_feature_gate_allow_inner_high_quarter,stage264_source_feature_gate_allow_inner_high_quarter,1,0.00478322713548,0.00478322713548,0.00925291590198,0.260022613622,0.131523668251,0.386065073762,0.278227883512,0.49988205799
run267W_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,abl_volatility_bandwidth,volatility_bandwidth,16,is_last_30m_before_cash_close,is_last_30m_before_cash_close,1,0,0,0,0,0,0,0,0
run267W_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,abl_volatility_bandwidth,volatility_bandwidth,14,is_us_cash_open,is_us_cash_open,1,0,0,0,0,0,0,0,0
run267W_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,abl_volatility_bandwidth,volatility_bandwidth,5,supertrend_10_3,supertrend_10_3,1,0,0,0,0,0,0,0,0
run267W_02_s264_aih_abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,abl_trend_strength_direction,trend_strength_direction,1,stage264_source_feature_rank_bucket,stage264_source_feature_rank_bucket,1,0.176872879342,0.176872879342,0.315343570537,0.768834117073,0.33223959597,0.936174953676,0.828349506196,0.319854744953
run267W_02_s264_aih_abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,abl_trend_strength_direction,trend_strength_direction,9,historical_vol_20,historical_vol_20,1,0.043627514241,0.043627514241,0.0777827339362,0.215623376701,0.0560824150332,0.152891350876,0.330950255652,0.199402054738
run267W_02_s264_aih_abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,abl_trend_strength_direction,trend_strength_direction,23,hl_range,hl_range,1,0.0417651894216,0.0417651894216,0.0744624275091,0.183693446435,0.0518407238184,0.135300176028,0.314930114294,0.160889133133
run267W_02_s264_aih_abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,abl_trend_strength_direction,trend_strength_direction,6,bollinger_width_20,bollinger_width_20,1,0.0352021134798,0.0352021134798,0.0627612339237,0.195043188342,0.0454859645894,0.165245846322,0.180691722328,0.285082473577
run267W_02_s264_aih_abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,abl_trend_strength_direction,trend_strength_direction,19,is_first_30m_after_open,is_first_30m_after_open,1,0.0253841599351,0.0253841599351,0.0452569758506,0.233323842292,0.0803128978734,0.0660000904162,0.255976472423,0.150060827325
run267W_02_s264_aih_abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,abl_trend_strength_direction,trend_strength_direction,17,minutes_from_cash_open,minutes_from_cash_open,1,0.0250297479126,0.0250297479126,0.0446251008393,0.0863209541587,0.0316806698708,0.042411040283,0.168316903917,0.134173877189
run267W_02_s264_aih_abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,abl_trend_strength_direction,trend_strength_direction,16,close_ema50_ratio,close_ema50_ratio,1,0.0216676395302,0.0216676395302,0.0386308564657,0.223266702842,0.0370860071159,0.255048358481,0.177423802326,0.126085543488
run267W_02_s264_aih_abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,abl_trend_strength_direction,trend_strength_direction,4,atr_50,atr_50,1,0.0212021969084,0.0212021969084,0.0378010269362,0.106290525871,0.0279002425361,0.0498988421158,0.161412198076,0.0983330545251
run267W_02_s264_aih_abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,abl_trend_strength_direction,trend_strength_direction,12,ema20_ema50_diff,ema20_ema50_diff,1,0.0166360996765,0.0166360996765,0.0296602118498,0.124622046363,0.0252173951548,0.122941312934,0.147171585497,0.081238863695
run267W_02_s264_aih_abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,abl_trend_strength_direction,trend_strength_direction,3,atr_14,atr_14,1,0.0147412837557,0.0147412837557,0.0262819776051,0.125070720441,0.0205895583765,0.0650963208537,0.164973784103,0.0692370569418
run267W_02_s264_aih_abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,abl_trend_strength_direction,trend_strength_direction,0,stage56_context_et_event_signal,stage56_context_et_event_signal,1,0.0146143429646,0.0146143429646,0.0260556570835,0.594304634828,0.228228885649,0.696807082129,0.319430964023,0.83192110595
run267W_02_s264_aih_abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,abl_trend_strength_direction,trend_strength_direction,14,sma50_sma200_ratio,sma50_sma200_ratio,1,0.0126280389057,0.0126280389057,0.0225143102334,0.0509576313393,0.0166115955967,0.0725863938803,0.0579859682984,0.0807274071631
run267W_02_s264_aih_abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,abl_trend_strength_direction,trend_strength_direction,13,ema50_ema200_diff,ema50_ema200_diff,1,0.0122479569779,0.0122479569779,0.021836668796,0.061617737122,0.0154822440391,0.0850132874834,0.0302961009357,0.0598639922397
run267W_02_s264_aih_abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,abl_trend_strength_direction,trend_strength_direction,8,bb_squeeze,bb_squeeze,1,0.0114855681723,0.0114855681723,0.0204774190965,0.0765581115248,0.0292562799232,0.0207403687637,0.085952863646,0.0702719817188
run267W_02_s264_aih_abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,abl_trend_strength_direction,trend_strength_direction,11,ema9_ema20_diff,ema9_ema20_diff,1,0.010911835685,0.010911835685,0.0194545214553,0.067146981538,0.0161688095189,0.0828139648585,0.0815347245794,0.0163296382741
run267W_02_s264_aih_abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,abl_trend_strength_direction,trend_strength_direction,27,gap_percent,gap_percent,1,0.0097666034412,0.0097666034412,0.0174127068696,0.042815817436,0.0133209361038,0.0548749787759,0.0542620933225,0.0542757530578
run267W_02_s264_aih_abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,abl_trend_strength_direction,trend_strength_direction,7,bb_position_20,bb_position_20,1,0.00834263011093,0.00834263011093,0.0148739296642,0.022176612232,0.00974120047012,0.0369818692915,0.0345084374721,0.0313880638951
run267W_02_s264_aih_abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,abl_trend_strength_direction,trend_strength_direction,10,historical_vol_5_over_20,historical_vol_5_over_20,1,0.00774452095795,0.00774452095795,0.0138075712911,0.0439704624369,0.0104676516742,0.0368344779183,0.0630102345225,0.0300863049165
run267W_02_s264_aih_abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,abl_trend_strength_direction,trend_strength_direction,15,close_ema20_ratio,close_ema20_ratio,1,0.00723853980306,0.00723853980306,0.0129054663183,0.0317227861198,0.00939797790413,0.0445150923651,0.0208351302687,0.0416899527939
