queue_id,candidate_alias,test_id,passed,max_abs_diff,tolerance,rows,table_path
run267W_01_s264_aih_abl_volatility_bandwidth,s264_aih,abl_volatility_bandwidth,true,1.11022302463e-16,1e-10,2048,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s264_aih/run267w_01_s264_aih_abl_volatility_bandwidth/models/s264_aih_abl_volatility_bandwidth_true_internal_model.csv
run267W_02_s264_aih_abl_trend_strength_direction,s264_aih,abl_trend_strength_direction,true,1.11022302463e-16,1e-10,2048,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s264_aih/run267w_02_s264_aih_abl_trend_strength_direction/models/s264_aih_abl_trend_strength_direction_true_internal_model.csv
run267W_03_s264_aih_rep_trend_strength_adx,s264_aih,rep_trend_strength_adx,true,2.22044604925e-16,1e-10,2048,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s264_aih/run267w_03_s264_aih_rep_trend_strength_adx/models/s264_aih_rep_trend_strength_adx_true_internal_model.csv
run267W_04_s264_aih_rep_volatility_atr,s264_aih,rep_volatility_atr,true,1.11022302463e-16,1e-10,2048,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s264_aih/run267w_04_s264_aih_rep_volatility_atr/models/s264_aih_rep_volatility_atr_true_internal_model.csv
run267W_05_s264_lc_abl_gate_rank_bucket,s264_lc,abl_gate_rank_bucket,true,1.11022302463e-16,1e-10,2048,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s264_lc/run267w_05_s264_lc_abl_gate_rank_bucket/models/s264_lc_abl_gate_rank_bucket_true_internal_model.csv
run267W_06_s264_lc_abl_gate_variant_rule,s264_lc,abl_gate_variant_rule,true,1.11022302463e-16,1e-10,2048,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s264_lc/run267w_06_s264_lc_abl_gate_variant_rule/models/s264_lc_abl_gate_variant_rule_true_internal_model.csv
run267W_07_s264_lc_abl_trend_strength_direction,s264_lc,abl_trend_strength_direction,true,1.11022302463e-16,1e-10,2048,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s264_lc/run267w_07_s264_lc_abl_trend_strength_direction/models/s264_lc_abl_trend_strength_direction_true_internal_model.csv
run267W_08_s264_lc_rep_trend_strength_adx,s264_lc,rep_trend_strength_adx,true,1.11022302463e-16,1e-10,2048,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s264_lc/run267w_08_s264_lc_rep_trend_strength_adx/models/s264_lc_rep_trend_strength_adx_true_internal_model.csv
run267W_09_s264_lc_rep_volatility_atr,s264_lc,rep_volatility_atr,true,1.11022302463e-16,1e-10,2048,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s264_lc/run267w_09_s264_lc_rep_volatility_atr/models/s264_lc_rep_volatility_atr_true_internal_model.csv
run267W_10_s262_lih_abl_gate_rank_bucket,s262_lih,abl_gate_rank_bucket,true,1.11022302463e-16,1e-10,2048,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s262_lih/run267w_10_s262_lih_abl_gate_rank_bucket/models/s262_lih_abl_gate_rank_bucket_true_internal_model.csv
run267W_11_s262_lih_abl_ma_trend,s262_lih,abl_ma_trend,true,1.11022302463e-16,1e-10,2048,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s262_lih/run267w_11_s262_lih_abl_ma_trend/models/s262_lih_abl_ma_trend_true_internal_model.csv
run267W_12_s262_lih_abl_trend_strength_direction,s262_lih,abl_trend_strength_direction,true,1.11022302463e-16,1e-10,2048,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s262_lih/run267w_12_s262_lih_abl_trend_strength_direction/models/s262_lih_abl_trend_strength_direction_true_internal_model.csv
run267W_13_s262_lih_rep_trend_strength_adx,s262_lih,rep_trend_strength_adx,true,1.11022302463e-16,1e-10,2048,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s262_lih/run267w_13_s262_lih_rep_trend_strength_adx/models/s262_lih_rep_trend_strength_adx_true_internal_model.csv
run267W_14_s262_lih_rep_volatility_atr,s262_lih,rep_volatility_atr,true,1.11022302463e-16,1e-10,2048,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s262_lih/run267w_14_s262_lih_rep_volatility_atr/models/s262_lih_rep_volatility_atr_true_internal_model.csv
run267W_15_s264_aia_abl_volatility_bandwidth,s264_aia,abl_volatility_bandwidth,true,1.11022302463e-16,1e-10,2048,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s264_aia/run267w_15_s264_aia_abl_volatility_bandwidth/models/s264_aia_abl_volatility_bandwidth_true_internal_model.csv
run267W_16_s264_aia_abl_trend_strength_direction,s264_aia,abl_trend_strength_direction,true,1.11022302463e-16,1e-10,2048,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s264_aia/run267w_16_s264_aia_abl_trend_strength_direction/models/s264_aia_abl_trend_strength_direction_true_internal_model.csv
run267W_17_s264_aia_abl_session_timing,s264_aia,abl_session_timing,true,1.11022302463e-16,1e-10,2048,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s264_aia/run267w_17_s264_aia_abl_session_timing/models/s264_aia_abl_session_timing_true_internal_model.csv
run267W_18_s264_aia_rep_trend_strength_adx,s264_aia,rep_trend_strength_adx,true,1.11022302463e-16,1e-10,2048,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s264_aia/run267w_18_s264_aia_rep_trend_strength_adx/models/s264_aia_rep_trend_strength_adx_true_internal_model.csv
run267W_19_s264_aia_rep_volatility_atr,s264_aia,rep_volatility_atr,true,2.22044604925e-16,1e-10,2048,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s264_aia/run267w_19_s264_aia_rep_volatility_atr/models/s264_aia_rep_volatility_atr_true_internal_model.csv
run267W_20_s258_stc_abl_price_return_range,s258_stc,abl_price_return_range,true,1.11022302463e-16,1e-10,2048,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s258_stc/run267w_20_s258_stc_abl_price_return_range/models/s258_stc_abl_price_return_range_true_internal_model.csv
run267W_21_s258_stc_abl_volatility_bandwidth,s258_stc,abl_volatility_bandwidth,true,1.11022302463e-16,1e-10,2048,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s258_stc/run267w_21_s258_stc_abl_volatility_bandwidth/models/s258_stc_abl_volatility_bandwidth_true_internal_model.csv
run267W_22_s258_stc_abl_trend_strength_direction,s258_stc,abl_trend_strength_direction,true,1.11022302463e-16,1e-10,2048,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/variants/s258_stc/run267w_22_s258_stc_abl_trend_strength_direction/models/s258_stc_abl_trend_strength_direction_true_internal_model.csv
