attempt_index,attempt_name,selected_candidate,adapter_package,tier,split,attempt_role,status,runtime_output_status,model_backend,feature_order_hash,source_stage322_set,source_stage322_feature,ini_path,set_path,claim_boundary
1,run322A_cp322A_cp321b_exact_replay_control_tier_a_val_onnx,cp322A_cp321b_exact_replay_control_surface,stage323_cp322a_selected_curve_adapter_package_v1,Tier A,validation_is,tier_only_total,completed,completed,onnx,839a84eca981d034211de743c0f9830335149e2a4817e947de6b96dd9fb5a70c,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5/run322A_cp322A_cp321b_exact_replay_control_tier_a_val.set,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/features/run322A_cp322A_cp321b_exact_replay_control_tier_a_val_route_signal.csv,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/325_onnx_candidate_campaign__onnx_export_parity_runtime_reproduction_cp322a/02_runs/run325A/mt5/run322A_cp322A_cp321b_exact_replay_control_tier_a_val_onnx.ini,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/325_onnx_candidate_campaign__onnx_export_parity_runtime_reproduction_cp322a/02_runs/run325A/mt5/run322A_cp322A_cp321b_exact_replay_control_tier_a_val_onnx.set,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_final_package_for_onnx_research_handoff_only
2,run322A_cp322A_cp321b_exact_replay_control_tier_b_val_onnx,cp322A_cp321b_exact_replay_control_surface,stage323_cp322a_selected_curve_adapter_package_v1,Tier B,validation_is,tier_b_fallback_only_total,completed,completed,onnx,839a84eca981d034211de743c0f9830335149e2a4817e947de6b96dd9fb5a70c,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5/run322A_cp322A_cp321b_exact_replay_control_tier_b_val.set,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/features/run322A_cp322A_cp321b_exact_replay_control_tier_b_val_route_signal.csv,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/325_onnx_candidate_campaign__onnx_export_parity_runtime_reproduction_cp322a/02_runs/run325A/mt5/run322A_cp322A_cp321b_exact_replay_control_tier_b_val_onnx.ini,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/325_onnx_candidate_campaign__onnx_export_parity_runtime_reproduction_cp322a/02_runs/run325A/mt5/run322A_cp322A_cp321b_exact_replay_control_tier_b_val_onnx.set,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_final_package_for_onnx_research_handoff_only
3,run322A_cp322A_cp321b_exact_replay_control_routed_val_onnx,cp322A_cp321b_exact_replay_control_surface,stage323_cp322a_selected_curve_adapter_package_v1,Tier A+B,validation_is,actual_routed_total,completed,completed,onnx,839a84eca981d034211de743c0f9830335149e2a4817e947de6b96dd9fb5a70c,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5/run322A_cp322A_cp321b_exact_replay_control_routed_val.set,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/features/run322A_cp322A_cp321b_exact_replay_control_tier_a_val_route_signal.csv;stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/features/run322A_cp322A_cp321b_exact_replay_control_tier_b_val_route_signal.csv,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/325_onnx_candidate_campaign__onnx_export_parity_runtime_reproduction_cp322a/02_runs/run325A/mt5/run322A_cp322A_cp321b_exact_replay_control_routed_val_onnx.ini,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/325_onnx_candidate_campaign__onnx_export_parity_runtime_reproduction_cp322a/02_runs/run325A/mt5/run322A_cp322A_cp321b_exact_replay_control_routed_val_onnx.set,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_final_package_for_onnx_research_handoff_only
4,run322A_cp322A_cp321b_exact_replay_control_tier_a_oos_onnx,cp322A_cp321b_exact_replay_control_surface,stage323_cp322a_selected_curve_adapter_package_v1,Tier A,oos,tier_only_total,completed,completed,onnx,839a84eca981d034211de743c0f9830335149e2a4817e947de6b96dd9fb5a70c,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5/run322A_cp322A_cp321b_exact_replay_control_tier_a_oos.set,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/features/run322A_cp322A_cp321b_exact_replay_control_tier_a_oos_route_signal.csv,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/325_onnx_candidate_campaign__onnx_export_parity_runtime_reproduction_cp322a/02_runs/run325A/mt5/run322A_cp322A_cp321b_exact_replay_control_tier_a_oos_onnx.ini,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/325_onnx_candidate_campaign__onnx_export_parity_runtime_reproduction_cp322a/02_runs/run325A/mt5/run322A_cp322A_cp321b_exact_replay_control_tier_a_oos_onnx.set,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_final_package_for_onnx_research_handoff_only
5,run322A_cp322A_cp321b_exact_replay_control_tier_b_oos_onnx,cp322A_cp321b_exact_replay_control_surface,stage323_cp322a_selected_curve_adapter_package_v1,Tier B,oos,tier_b_fallback_only_total,completed,completed,onnx,839a84eca981d034211de743c0f9830335149e2a4817e947de6b96dd9fb5a70c,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5/run322A_cp322A_cp321b_exact_replay_control_tier_b_oos.set,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/features/run322A_cp322A_cp321b_exact_replay_control_tier_b_oos_route_signal.csv,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/325_onnx_candidate_campaign__onnx_export_parity_runtime_reproduction_cp322a/02_runs/run325A/mt5/run322A_cp322A_cp321b_exact_replay_control_tier_b_oos_onnx.ini,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/325_onnx_candidate_campaign__onnx_export_parity_runtime_reproduction_cp322a/02_runs/run325A/mt5/run322A_cp322A_cp321b_exact_replay_control_tier_b_oos_onnx.set,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_final_package_for_onnx_research_handoff_only
6,run322A_cp322A_cp321b_exact_replay_control_routed_oos_onnx,cp322A_cp321b_exact_replay_control_surface,stage323_cp322a_selected_curve_adapter_package_v1,Tier A+B,oos,actual_routed_total,completed,completed,onnx,839a84eca981d034211de743c0f9830335149e2a4817e947de6b96dd9fb5a70c,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/mt5/run322A_cp322A_cp321b_exact_replay_control_routed_oos.set,stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/features/run322A_cp322A_cp321b_exact_replay_control_tier_a_oos_route_signal.csv;stages/322_onnx_candidate_campaign__cp321b_curve_stability_pressure/02_runs/run322B/features/run322A_cp322A_cp321b_exact_replay_control_tier_b_oos_route_signal.csv,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/325_onnx_candidate_campaign__onnx_export_parity_runtime_reproduction_cp322a/02_runs/run325A/mt5/run322A_cp322A_cp321b_exact_replay_control_routed_oos_onnx.ini,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/325_onnx_candidate_campaign__onnx_export_parity_runtime_reproduction_cp322a/02_runs/run325A/mt5/run322A_cp322A_cp321b_exact_replay_control_routed_oos_onnx.set,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_final_package_for_onnx_research_handoff_only
