comparison_key,split,tier_scope,route_role,metric,source_value,onnx_value,absolute_diff,tolerance,status
validation_is|Tier A|tier_only_total,validation_is,Tier A,tier_only_total,net_profit,472738,472738,0,0.01,passed
validation_is|Tier A|tier_only_total,validation_is,Tier A,tier_only_total,profit_factor,1.64,1.64,0,0.01,passed
validation_is|Tier A|tier_only_total,validation_is,Tier A,tier_only_total,max_drawdown_amount,108888,108888,0,0.01,passed
validation_is|Tier A|tier_only_total,validation_is,Tier A,tier_only_total,max_drawdown_percent,19.11,19.11,0,0.01,passed
validation_is|Tier A|tier_only_total,validation_is,Tier A,tier_only_total,recovery_factor,4.34,4.34,0,0.01,passed
validation_is|Tier A|tier_only_total,validation_is,Tier A,tier_only_total,expectancy,514.41,514.41,0,0.01,passed
validation_is|Tier A|tier_only_total,validation_is,Tier A,tier_only_total,trade_count,919,919,0,0,passed
validation_is|Tier A|tier_only_total,validation_is,Tier A,tier_only_total,order_attempt_count,1086,1086,0,0,passed
validation_is|Tier A|tier_only_total,validation_is,Tier A,tier_only_total,fill_count,1085,1085,0,0,passed
validation_is|Tier A|tier_only_total,validation_is,Tier A,tier_only_total,reject_count,1,1,0,0,passed
validation_is|Tier A|tier_only_total,validation_is,Tier A,tier_only_total,skip_count,42964,42964,0,0,passed
validation_is|Tier A|tier_only_total,validation_is,Tier A,tier_only_total,model_ok_count,9844,9844,0,0,passed
validation_is|Tier A|tier_only_total,validation_is,Tier A,tier_only_total,model_fail_count,42964,42964,0,0,passed
validation_is|Tier B|tier_b_fallback_only_total,validation_is,Tier B,tier_b_fallback_only_total,net_profit,472738,472738,0,0.01,passed
validation_is|Tier B|tier_b_fallback_only_total,validation_is,Tier B,tier_b_fallback_only_total,profit_factor,1.64,1.64,0,0.01,passed
validation_is|Tier B|tier_b_fallback_only_total,validation_is,Tier B,tier_b_fallback_only_total,max_drawdown_amount,108888,108888,0,0.01,passed
validation_is|Tier B|tier_b_fallback_only_total,validation_is,Tier B,tier_b_fallback_only_total,max_drawdown_percent,19.11,19.11,0,0.01,passed
validation_is|Tier B|tier_b_fallback_only_total,validation_is,Tier B,tier_b_fallback_only_total,recovery_factor,4.34,4.34,0,0.01,passed
validation_is|Tier B|tier_b_fallback_only_total,validation_is,Tier B,tier_b_fallback_only_total,expectancy,514.41,514.41,0,0.01,passed
validation_is|Tier B|tier_b_fallback_only_total,validation_is,Tier B,tier_b_fallback_only_total,trade_count,919,919,0,0,passed
validation_is|Tier B|tier_b_fallback_only_total,validation_is,Tier B,tier_b_fallback_only_total,order_attempt_count,1086,1086,0,0,passed
validation_is|Tier B|tier_b_fallback_only_total,validation_is,Tier B,tier_b_fallback_only_total,fill_count,1085,1085,0,0,passed
validation_is|Tier B|tier_b_fallback_only_total,validation_is,Tier B,tier_b_fallback_only_total,reject_count,1,1,0,0,passed
validation_is|Tier B|tier_b_fallback_only_total,validation_is,Tier B,tier_b_fallback_only_total,skip_count,42964,42964,0,0,passed
validation_is|Tier B|tier_b_fallback_only_total,validation_is,Tier B,tier_b_fallback_only_total,model_ok_count,9844,9844,0,0,passed
validation_is|Tier B|tier_b_fallback_only_total,validation_is,Tier B,tier_b_fallback_only_total,model_fail_count,42964,42964,0,0,passed
validation_is|Tier A+B|actual_routed_total,validation_is,Tier A+B,actual_routed_total,net_profit,472738,472738,0,0.01,passed
validation_is|Tier A+B|actual_routed_total,validation_is,Tier A+B,actual_routed_total,profit_factor,1.64,1.64,0,0.01,passed
validation_is|Tier A+B|actual_routed_total,validation_is,Tier A+B,actual_routed_total,max_drawdown_amount,108888,108888,0,0.01,passed
validation_is|Tier A+B|actual_routed_total,validation_is,Tier A+B,actual_routed_total,max_drawdown_percent,19.11,19.11,0,0.01,passed
validation_is|Tier A+B|actual_routed_total,validation_is,Tier A+B,actual_routed_total,recovery_factor,4.34,4.34,0,0.01,passed
validation_is|Tier A+B|actual_routed_total,validation_is,Tier A+B,actual_routed_total,expectancy,514.41,514.41,0,0.01,passed
validation_is|Tier A+B|actual_routed_total,validation_is,Tier A+B,actual_routed_total,trade_count,919,919,0,0,passed
validation_is|Tier A+B|actual_routed_total,validation_is,Tier A+B,actual_routed_total,order_attempt_count,1086,1086,0,0,passed
validation_is|Tier A+B|actual_routed_total,validation_is,Tier A+B,actual_routed_total,fill_count,1085,1085,0,0,passed
validation_is|Tier A+B|actual_routed_total,validation_is,Tier A+B,actual_routed_total,reject_count,1,1,0,0,passed
validation_is|Tier A+B|actual_routed_total,validation_is,Tier A+B,actual_routed_total,skip_count,42964,42964,0,0,passed
validation_is|Tier A+B|actual_routed_total,validation_is,Tier A+B,actual_routed_total,model_ok_count,9844,9844,0,0,passed
validation_is|Tier A+B|actual_routed_total,validation_is,Tier A+B,actual_routed_total,model_fail_count,42964,42964,0,0,passed
oos|Tier A|tier_only_total,oos,Tier A,tier_only_total,net_profit,237628,237628,0,0.01,passed
oos|Tier A|tier_only_total,oos,Tier A,tier_only_total,profit_factor,1.51,1.51,0,0.01,passed
oos|Tier A|tier_only_total,oos,Tier A,tier_only_total,max_drawdown_amount,41510,41510,0,0.01,passed
oos|Tier A|tier_only_total,oos,Tier A,tier_only_total,max_drawdown_percent,15.51,15.51,0,0.01,passed
oos|Tier A|tier_only_total,oos,Tier A,tier_only_total,recovery_factor,5.72,5.72,0,0.01,passed
oos|Tier A|tier_only_total,oos,Tier A,tier_only_total,expectancy,373.04,373.04,0,0.01,passed
oos|Tier A|tier_only_total,oos,Tier A,tier_only_total,trade_count,637,637,0,0,passed
oos|Tier A|tier_only_total,oos,Tier A,tier_only_total,order_attempt_count,757,757,0,0,passed
oos|Tier A|tier_only_total,oos,Tier A,tier_only_total,fill_count,757,757,0,0,passed
oos|Tier A|tier_only_total,oos,Tier A,tier_only_total,reject_count,0,0,0,0,passed
oos|Tier A|tier_only_total,oos,Tier A,tier_only_total,skip_count,29753,29753,0,0,passed
oos|Tier A|tier_only_total,oos,Tier A,tier_only_total,model_ok_count,7584,7584,0,0,passed
oos|Tier A|tier_only_total,oos,Tier A,tier_only_total,model_fail_count,29753,29753,0,0,passed
oos|Tier B|tier_b_fallback_only_total,oos,Tier B,tier_b_fallback_only_total,net_profit,237628,237628,0,0.01,passed
oos|Tier B|tier_b_fallback_only_total,oos,Tier B,tier_b_fallback_only_total,profit_factor,1.51,1.51,0,0.01,passed
oos|Tier B|tier_b_fallback_only_total,oos,Tier B,tier_b_fallback_only_total,max_drawdown_amount,41510,41510,0,0.01,passed
oos|Tier B|tier_b_fallback_only_total,oos,Tier B,tier_b_fallback_only_total,max_drawdown_percent,15.51,15.51,0,0.01,passed
oos|Tier B|tier_b_fallback_only_total,oos,Tier B,tier_b_fallback_only_total,recovery_factor,5.72,5.72,0,0.01,passed
oos|Tier B|tier_b_fallback_only_total,oos,Tier B,tier_b_fallback_only_total,expectancy,373.04,373.04,0,0.01,passed
oos|Tier B|tier_b_fallback_only_total,oos,Tier B,tier_b_fallback_only_total,trade_count,637,637,0,0,passed
oos|Tier B|tier_b_fallback_only_total,oos,Tier B,tier_b_fallback_only_total,order_attempt_count,757,757,0,0,passed
oos|Tier B|tier_b_fallback_only_total,oos,Tier B,tier_b_fallback_only_total,fill_count,757,757,0,0,passed
oos|Tier B|tier_b_fallback_only_total,oos,Tier B,tier_b_fallback_only_total,reject_count,0,0,0,0,passed
oos|Tier B|tier_b_fallback_only_total,oos,Tier B,tier_b_fallback_only_total,skip_count,29753,29753,0,0,passed
oos|Tier B|tier_b_fallback_only_total,oos,Tier B,tier_b_fallback_only_total,model_ok_count,7584,7584,0,0,passed
oos|Tier B|tier_b_fallback_only_total,oos,Tier B,tier_b_fallback_only_total,model_fail_count,29753,29753,0,0,passed
oos|Tier A+B|actual_routed_total,oos,Tier A+B,actual_routed_total,net_profit,237628,237628,0,0.01,passed
oos|Tier A+B|actual_routed_total,oos,Tier A+B,actual_routed_total,profit_factor,1.51,1.51,0,0.01,passed
oos|Tier A+B|actual_routed_total,oos,Tier A+B,actual_routed_total,max_drawdown_amount,41510,41510,0,0.01,passed
oos|Tier A+B|actual_routed_total,oos,Tier A+B,actual_routed_total,max_drawdown_percent,15.51,15.51,0,0.01,passed
oos|Tier A+B|actual_routed_total,oos,Tier A+B,actual_routed_total,recovery_factor,5.72,5.72,0,0.01,passed
oos|Tier A+B|actual_routed_total,oos,Tier A+B,actual_routed_total,expectancy,373.04,373.04,0,0.01,passed
oos|Tier A+B|actual_routed_total,oos,Tier A+B,actual_routed_total,trade_count,637,637,0,0,passed
oos|Tier A+B|actual_routed_total,oos,Tier A+B,actual_routed_total,order_attempt_count,757,757,0,0,passed
oos|Tier A+B|actual_routed_total,oos,Tier A+B,actual_routed_total,fill_count,757,757,0,0,passed
oos|Tier A+B|actual_routed_total,oos,Tier A+B,actual_routed_total,reject_count,0,0,0,0,passed
oos|Tier A+B|actual_routed_total,oos,Tier A+B,actual_routed_total,skip_count,29753,29753,0,0,passed
oos|Tier A+B|actual_routed_total,oos,Tier A+B,actual_routed_total,model_ok_count,7584,7584,0,0,passed
oos|Tier A+B|actual_routed_total,oos,Tier A+B,actual_routed_total,model_fail_count,29753,29753,0,0,passed
