variant_id,objective_id,model_family,feature_count,threshold_source,strength_quantile,target_trades_per_day,strength_threshold,tier_gap_penalty,mfe_weight,mae_weight,both_touch_weight,density_score_weight,view,split,selected_strength_mean,selected_margin_mean,realized_utility_sum,realized_utility_mean,realized_utility_min,rows,days,trade_count,trades_per_day,net_proxy,gross_profit,gross_loss,proxy_pf,win_rate,avg_win,avg_loss,payoff_ratio,expectancy,max_drawdown,recovery_factor,time_under_water_bars,max_consecutive_loss,long_count,short_count,side_min_share,avg_cost_penalty,regime_coverage_count,cost_high_trade_share,random_net_proxy_mean,random_proxy_pf_mean,random_max_drawdown_mean
v01_worst_tier_path_utility,worst_tier_path_utility,ridge_utility,58,train_quantile,0.85,,-0.0006069271,0.5,0.35,0.75,0.25,0.0,tier_a_separate,train,-0.00032135,0.00203076,-2.01103942,-0.00050707,-0.02619084,29217,573,3966,6.921466,1.08907206,5.07335736,3.9842853,1.273342,0.490671,0.00260707,-0.00197242,1.321763,0.0002746,0.38061459,2.861351,3607,27,1681,2285,0.423853,0.00024363,45,0.191377,-0.07693147,0.986726,0.42279689
v01_worst_tier_path_utility,worst_tier_path_utility,ridge_utility,58,train_quantile,0.85,,-0.0006069271,0.5,0.35,0.75,0.25,0.0,tier_a_separate,validation,-0.00023668,0.00231466,-2.44847098,-0.00113146,-0.09605469,9836,183,2164,11.825137,-0.5204698,1.87856819,2.39903799,0.783051,0.432532,0.00200702,-0.00195361,1.027336,-0.00024051,0.64581687,-0.805909,2135,40,535,1629,0.247227,0.00024815,44,0.177911,-1.00496686,0.727475,1.02697939
v01_worst_tier_path_utility,worst_tier_path_utility,ridge_utility,58,train_quantile,0.85,,-0.0006069271,0.5,0.35,0.75,0.25,0.0,tier_a_separate,oos,-0.00018573,0.00231152,-1.97486335,-0.00095914,-0.02566858,7575,131,2059,15.717557,-0.17032952,1.99378691,2.16411643,0.921294,0.446333,0.00216952,-0.00189835,1.142845,-8.272e-05,0.45550537,-0.373935,2014,53,488,1571,0.237008,0.00023561,40,0.175814,-0.20327031,0.924667,0.33317107
v01_worst_tier_path_utility,worst_tier_path_utility,ridge_utility,58,train_quantile,0.85,,-0.0006069271,0.5,0.35,0.75,0.25,0.0,tier_b_separate,train,-0.0003345,0.00157904,-1.13570073,-0.00064492,-0.02601131,8963,555,1761,3.172973,0.03913287,1.60856504,1.56943217,1.024934,0.483816,0.00188799,-0.00172655,1.093504,2.222e-05,0.25715367,0.152177,1692,27,894,867,0.492334,0.00021698,39,0.093129,-0.36063252,0.824939,0.4254468
v01_worst_tier_path_utility,worst_tier_path_utility,ridge_utility,58,train_quantile,0.85,,-0.0006069271,0.5,0.35,0.75,0.25,0.0,tier_b_separate,validation,-0.00036371,0.00139868,-0.72766314,-0.00114412,-0.01780275,2361,148,636,4.297297,-0.23217454,0.28877385,0.52094838,0.554323,0.388365,0.00116912,-0.0013392,0.873003,-0.00036505,0.25760791,-0.901271,632,29,250,386,0.393082,0.00020198,34,0.037736,-0.1344576,0.760048,0.18358172
v01_worst_tier_path_utility,worst_tier_path_utility,ridge_utility,58,train_quantile,0.85,,-0.0006069271,0.5,0.35,0.75,0.25,0.0,tier_b_separate,oos,-0.00021224,0.00199719,-0.20749891,-0.00055481,-0.01254342,1058,120,374,3.116667,0.02378067,0.29804402,0.27426334,1.086707,0.491979,0.0016198,-0.00144349,1.122144,6.358e-05,0.04782235,0.497271,346,15,73,301,0.195187,0.00020872,32,0.05615,-0.01182828,0.970643,0.09216142
v01_worst_tier_path_utility,worst_tier_path_utility,ridge_utility,58,train_quantile,0.85,,-0.0006069271,0.5,0.35,0.75,0.25,0.0,tier_ab_combined,train,-0.00032538,0.00189186,-3.14674015,-0.00054946,-0.02619084,38180,579,5727,9.891192,1.12820493,6.68192239,5.55371746,1.203144,0.488563,0.00238811,-0.00189611,1.259474,0.000197,0.487121,2.316067,5318,40,2575,3152,0.449625,0.00023544,48,0.161166,-0.23828851,0.969503,0.66618625
v01_worst_tier_path_utility,worst_tier_path_utility,ridge_utility,58,train_quantile,0.85,,-0.0006069271,0.5,0.35,0.75,0.25,0.0,tier_ab_combined,validation,-0.00026553,0.00210661,-3.17613412,-0.00113433,-0.09605469,12198,185,2800,15.135135,-0.75264434,2.16734204,2.91998638,0.742244,0.4225,0.00183207,-0.0018058,1.014546,-0.0002688,0.90170416,-0.834691,2769,42,785,2015,0.280357,0.00023766,44,0.146071,-1.15464799,0.730946,1.18615624
v01_worst_tier_path_utility,worst_tier_path_utility,ridge_utility,58,train_quantile,0.85,,-0.0006069271,0.5,0.35,0.75,0.25,0.0,tier_ab_combined,oos,-0.0001898,0.0022632,-2.18236226,-0.00089698,-0.02566858,8634,131,2433,18.572519,-0.14654884,2.29183093,2.43837977,0.939899,0.45335,0.00207782,-0.00183337,1.133333,-6.023e-05,0.45519596,-0.321947,2376,35,561,1872,0.23058,0.00023148,43,0.157419,-0.22400581,0.928248,0.4080257
v02_hard_tier_gap_minimax,hard_tier_gap_minimax,extra_trees_utility,58,train_quantile,0.85,,-0.0010746118,1.0,0.35,0.75,0.25,0.0,tier_a_separate,train,-0.00088046,0.0013654,4.37542576,0.0012263,-0.032342,29217,573,3568,6.226876,5.46596833,7.7457967,2.27982838,3.397535,0.642937,0.00337655,-0.0017895,1.886861,0.00153194,0.06655478,82.127361,2210,16,2639,929,0.26037,0.00025585,47,0.216928,1.19005123,1.275997,0.1598996
v02_hard_tier_gap_minimax,hard_tier_gap_minimax,extra_trees_utility,58,train_quantile,0.85,,-0.0010746118,1.0,0.35,0.75,0.25,0.0,tier_a_separate,validation,-0.00077495,0.00206488,-3.02205293,-0.00286995,-0.0737547,9836,183,1053,5.754098,-0.95319611,1.18679255,2.13998866,0.554579,0.402659,0.00279904,-0.00340221,0.822713,-0.00090522,0.96831988,-0.984381,1043,33,825,228,0.216524,0.00030991,45,0.322887,-0.38693234,0.781852,0.41818405
v02_hard_tier_gap_minimax,hard_tier_gap_minimax,extra_trees_utility,58,train_quantile,0.85,,-0.0010746118,1.0,0.35,0.75,0.25,0.0,tier_a_separate,oos,-0.00092506,0.00108494,-0.8494868,-0.00112366,-0.02538367,7575,131,756,5.770992,-0.18000223,0.53005172,0.71005395,0.746495,0.464286,0.00151012,-0.00175322,0.86134,-0.0002381,0.32763988,-0.54939,690,22,583,173,0.228836,0.00022333,36,0.198413,-0.23346956,0.786395,0.28035177
