timestamp,source_tier,route_role,label,future_log_return_12,regime_key,cost_bucket,variant_id,split,side,strength,pred_long_utility,pred_short_utility,actual_realized_utility
2025-01-03 19:50:00+00:00,Tier A,tier_a_primary,long,0.0030487061012536287,vol_low|cost_low|trend_low|session_mid,cost_low,v01_worst_tier_path_utility,validation,-1,-0.0005948620766625748,-0.001860112863633821,-0.0005948620766625748,-0.0057762820077957204
2025-01-03 20:00:00+00:00,Tier A,tier_a_primary,long,0.0017893059412017465,vol_low|cost_low|trend_low|session_mid,cost_low,v01_worst_tier_path_utility,validation,-1,-0.0005305136722579828,-0.0017162477177023407,-0.0005305136722579828,-0.004007731264740846
2025-01-06 17:25:00+00:00,Tier A,tier_a_primary,flat,0.00039866691804490983,vol_high|cost_mid|trend_mid|session_mid,cost_mid,v01_worst_tier_path_utility,validation,1,-0.0004874491146127963,-0.0004874491146127963,-0.0023235748749636177,6.801015491480523e-05
2025-01-06 19:35:00+00:00,Tier A,tier_a_primary,short,-0.0026960084214806557,vol_low|cost_low|trend_mid|session_mid,cost_low,v01_worst_tier_path_utility,validation,-1,-0.0005335782558733571,-0.0019978766084023975,-0.0005335782558733571,0.003500156755313982
2025-01-06 19:40:00+00:00,Tier A,tier_a_primary,short,-0.001763668842613697,vol_low|cost_mid|trend_mid|session_mid,cost_mid,v01_worst_tier_path_utility,validation,-1,-0.00035235464454150484,-0.002517240203287737,-0.00035235464454150484,0.0023984652254230455
2025-01-06 19:45:00+00:00,Tier A,tier_a_primary,short,-0.0017419082578271627,vol_low|cost_mid|trend_mid|session_mid,cost_mid,v01_worst_tier_path_utility,validation,-1,-0.00027926977454875105,-0.002641914495269778,-0.00027926977454875105,0.0015000116604650194
2025-01-06 19:50:00+00:00,Tier A,tier_a_primary,short,-0.0032888075802475214,vol_low|cost_mid|trend_mid|session_mid,cost_mid,v01_worst_tier_path_utility,validation,-1,-0.0002801417455016533,-0.0025478590679833576,-0.0002801417455016533,0.0036344700315580417
2025-01-06 20:00:00+00:00,Tier A,tier_a_primary,short,-0.004143520724028349,vol_low|cost_mid|trend_mid|session_mid,cost_mid,v01_worst_tier_path_utility,validation,-1,-0.0005657694628088765,-0.0023190023645038547,-0.0005657694628088765,0.005356195932835652
2025-01-06 20:05:00+00:00,Tier A,tier_a_primary,short,-0.004257727414369583,vol_low|cost_high|trend_high|session_mid,cost_high,v01_worst_tier_path_utility,validation,-1,-0.0002557113779590528,-0.0033870211276856616,-0.0002557113779590528,0.0049343701893737706
2025-01-06 20:10:00+00:00,Tier A,tier_a_primary,short,-0.00369191518984735,vol_low|cost_low|trend_high|session_mid,cost_low,v01_worst_tier_path_utility,validation,-1,-0.00010137453837018523,-0.0025173667418688975,-0.00010137453837018523,0.004788440390167147
2025-01-06 20:15:00+00:00,Tier A,tier_a_primary,short,-0.003226224100217223,vol_low|cost_low|trend_high|session_mid,cost_low,v01_worst_tier_path_utility,validation,-1,-0.00012415148908392166,-0.002315569622376785,-0.00012415148908392166,0.004088839014486996
2025-01-06 20:20:00+00:00,Tier A,tier_a_primary,short,-0.002855408936738968,vol_low|cost_mid|trend_high|session_mid,cost_mid,v01_worst_tier_path_utility,validation,-1,-0.00020456078737846354,-0.002720895968161185,-0.00020456078737846354,0.0030516502193120416
2025-01-06 20:25:00+00:00,Tier A,tier_a_primary,short,-0.0030343744438141584,vol_low|cost_mid|trend_high|session_mid,cost_mid,v01_worst_tier_path_utility,validation,-1,-0.0005736647152945694,-0.00222919125470029,-0.0005736647152945694,0.0038974002026880166
2025-01-06 20:30:00+00:00,Tier A,tier_a_primary,short,-0.0035394299775362015,vol_low|cost_low|trend_high|session_mid,cost_low,v01_worst_tier_path_utility,validation,-1,-0.0005229368845179861,-0.0017527198648894535,-0.0005229368845179861,0.004990871544200797
