variant_id,view,split,bucket_type,bucket,bucket_trade_count,bucket_trade_share,utility_sum,utility_mean,utility_min
v01_worst_tier_path_utility,tier_a_separate,train,source_tier,Tier A,3966,1.0,-2.01103942,-0.00050707,-0.02619084
v01_worst_tier_path_utility,tier_a_separate,train,cost_bucket,cost_high,759,0.191377,0.50312469,0.00066288,-0.02619084
v01_worst_tier_path_utility,tier_a_separate,train,cost_bucket,cost_low,1807,0.455623,-1.39161682,-0.00077013,-0.0187865
v01_worst_tier_path_utility,tier_a_separate,train,cost_bucket,cost_mid,1400,0.353001,-1.12254728,-0.00080182,-0.01631447
v01_worst_tier_path_utility,tier_a_separate,train,regime_key,vol_high|cost_high|trend_high|session_first_30m,5,0.001261,-0.01391913,-0.00278383,-0.01424659
v01_worst_tier_path_utility,tier_a_separate,train,regime_key,vol_high|cost_high|trend_high|session_mid,121,0.030509,0.1970779,0.00162874,-0.02619084
v01_worst_tier_path_utility,tier_a_separate,train,regime_key,vol_high|cost_high|trend_low|session_first_30m,4,0.001009,0.04753274,0.01188319,-0.00909176
v01_worst_tier_path_utility,tier_a_separate,train,regime_key,vol_high|cost_high|trend_low|session_mid,31,0.007816,0.04982975,0.00160741,-0.00859277
v01_worst_tier_path_utility,tier_a_separate,train,regime_key,vol_high|cost_high|trend_mid|session_first_30m,0,0.0,0.0,,
v01_worst_tier_path_utility,tier_a_separate,train,regime_key,vol_high|cost_high|trend_mid|session_mid,75,0.018911,0.4465154,0.00595354,-0.01855521
v01_worst_tier_path_utility,tier_a_separate,train,regime_key,vol_high|cost_low|trend_high|session_mid,47,0.011851,-0.13901679,-0.0029578,-0.01330952
v01_worst_tier_path_utility,tier_a_separate,train,regime_key,vol_high|cost_low|trend_low|session_first_30m,0,0.0,0.0,,
v01_worst_tier_path_utility,tier_a_separate,train,regime_key,vol_high|cost_low|trend_low|session_mid,10,0.002521,-0.02064851,-0.00206485,-0.01267933
v01_worst_tier_path_utility,tier_a_separate,train,regime_key,vol_high|cost_low|trend_mid|session_mid,15,0.003782,0.00221755,0.00014784,-0.00852277
v01_worst_tier_path_utility,tier_a_separate,train,regime_key,vol_high|cost_mid|trend_high|session_first_30m,1,0.000252,0.00698311,0.00698311,0.00698311
v01_worst_tier_path_utility,tier_a_separate,train,regime_key,vol_high|cost_mid|trend_high|session_mid,124,0.031266,0.02558617,0.00020634,-0.01169101
v01_worst_tier_path_utility,tier_a_separate,train,regime_key,vol_high|cost_mid|trend_low|session_first_30m,1,0.000252,0.01196446,0.01196446,0.01196446
v01_worst_tier_path_utility,tier_a_separate,train,regime_key,vol_high|cost_mid|trend_low|session_mid,21,0.005295,0.03021291,0.00143871,-0.01631447
v01_worst_tier_path_utility,tier_a_separate,train,regime_key,vol_high|cost_mid|trend_mid|session_first_30m,0,0.0,0.0,,
v01_worst_tier_path_utility,tier_a_separate,train,regime_key,vol_high|cost_mid|trend_mid|session_mid,58,0.014624,-0.19329647,-0.0033327,-0.01409735
v01_worst_tier_path_utility,tier_a_separate,train,regime_key,vol_low|cost_high|trend_high|session_first_30m,35,0.008825,0.02484137,0.00070975,-0.01881298
